category,"office name","office city","office state","report begin date","report end date","published date",commodity,"market type","slug id","slug name","report title","report date",grp,"trade Loc",class,grade,variety,protein,application,pkg,"quote type","basis unit","sale type","basis min","min basis futures month","basis max","max basis futures month","basis min change","basis min direction","basis max change","basis max direction","price unit","price min","price max","price min change","price min direction","price max change","price max direction","avg price","avg price year ago",freight,"trans mode"
Mast,"Minneapolis, MN",Minneapolis,MN,12/09/2024,12/13/2024,"12/13/2024 13:22:23","Almond Hulls","Point of Sale - Feedstuffs",3512,AMS_3512,"National Mill-Feeds and Miscellaneous Feedstuff Report",12/09/2024,Feedstuffs,"CA-Sacramento Valley",,,,,,,Price,,Ask,,,,,,"No Comp",,"No Comp","$ Per Ton",55,55,0,UNCH,0,UNCH,55,100,F.O.B.,Truck/Rail
Mast,"Minneapolis, MN",Minneapolis,MN,12/09/2024,12/13/2024,"12/13/2024 13:22:23","Almond Hulls","Point of Sale - Feedstuffs",3512,AMS_3512,"National Mill-Feeds and Miscellaneous Feedstuff Report",12/09/2024,Feedstuffs,"CA-San Joaquin Valley",,,,,,,Price,,Ask,,,,,,"No Comp",,"No Comp","$ Per Ton",60,65,0,UNCH,0,UNCH,63.33,110,F.O.B.,Truck/Rail
Mast,"Minneapolis, MN",Minneapolis,MN,12/09/2024,12/13/2024,"12/13/2024 13:22:23","Almond Hulls","Point of Sale - Feedstuffs",3512,AMS_3512,"National Mill-Feeds and Miscellaneous Feedstuff Report",12/09/2024,Feedstuffs,"CA-San Joaquin Valley",,,,,,,Price,,Ask,,,,,,"No Comp",,"No Comp","$ Per Ton",70,95,0,UNCH,0,UNCH,82.14,128.86,Delivered,Truck
Mast,"Minneapolis, MN",Minneapolis,MN,12/09/2024,12/13/2024,"12/13/2024 13:22:23","Almond Hulls","Point of Sale - Feedstuffs",3512,AMS_3512,"National Mill-Feeds and Miscellaneous Feedstuff Report",12/09/2024,Feedstuffs,CA-South,,,,,,,Price,,Ask,,,,,,"No Comp",,"No Comp","$ Per Ton",75,75,0,UNCH,0,UNCH,75,120,F.O.B.,Truck/Rail
Mast,"Minneapolis, MN",Minneapolis,MN,12/09/2024,12/13/2024,"12/13/2024 13:22:23","Almond Hulls","Point of Sale - Feedstuffs",3512,AMS_3512,"National Mill-Feeds and Miscellaneous Feedstuff Report",12/09/2024,Feedstuffs,CA-South,,,,,,,Price,,Ask,,,,,,"No Comp",,"No Comp","$ Per Ton",85,105,0,UNCH,0,UNCH,100,147,Delivered,Truck
"Grain By-Products","Minneapolis, MN",Minneapolis,MN,12/09/2024,12/13/2024,"12/13/2024 13:22:23","Wheat Middlings","Point of Sale - Feedstuffs",3512,AMS_3512,"National Mill-Feeds and Miscellaneous Feedstuff Report",12/09/2024,Feedstuffs,"Buffalo, NY",,,,,,,Price,,Ask,,,,,,"No Comp",,"No Comp","$ Per Ton",100,100,5,DN,5,DN,100,160,F.O.B.,Truck
"Grain By-Products","Minneapolis, MN",Minneapolis,MN,12/09/2024,12/13/2024,"12/13/2024 13:22:23","Wheat Middlings","Point of Sale - Feedstuffs",3512,AMS_3512,"National Mill-Feeds and Miscellaneous Feedstuff Report",12/09/2024,Feedstuffs,Minnesota,,,,,,,Price,,Ask,,,,,,"No Comp",,"No Comp","$ Per Ton",100,125,0,UNCH,1,DN,114.5,151.75,F.O.B.,Truck
"Grain By-Products","Minneapolis, MN",Minneapolis,MN,12/09/2024,12/13/2024,"12/13/2024 13:22:23","Wheat Middlings","Point of Sale - Feedstuffs",3512,AMS_3512,"National Mill-Feeds and Miscellaneous Feedstuff Report",12/09/2024,Feedstuffs,"Chicago, IL",,,,,,,Price,,Ask,,,,,,"No Comp",,"No Comp","$ Per Ton",105,105,5,UP,5,UP,105,160,F.O.B.,Truck
"Grain By-Products","Minneapolis, MN",Minneapolis,MN,12/09/2024,12/13/2024,"12/13/2024 13:22:23","Wheat Millrun","Point of Sale - Feedstuffs",3512,AMS_3512,"National Mill-Feeds and Miscellaneous Feedstuff Report",12/09/2024,Feedstuffs,CA-South,,,,,,,Price,,Ask,,,,,,"No Comp",,"No Comp","$ Per Ton",120,216,0,UNCH,0,UNCH,165.25,204,F.O.B.,Truck/Rail
"Grain By-Products","Minneapolis, MN",Minneapolis,MN,12/09/2024,12/13/2024,"12/13/2024 13:22:23","Wheat Middlings","Point of Sale - Feedstuffs",3512,AMS_3512,"National Mill-Feeds and Miscellaneous Feedstuff Report",12/09/2024,Feedstuffs,"KC Region",,,,,,,Price,,Ask,,,,,,"No Comp",,"No Comp","$ Per Ton",130,148,0,UNCH,6,UP,139.33,148.33,F.O.B.,Rail
