DATE,PCU212391212391
1984-12-01,100.0
1985-01-01,98.0
1985-02-01,99.7
1985-03-01,100.3
1985-04-01,101.9
1985-05-01,100.3
1985-06-01,100.5
1985-07-01,101.4
1985-08-01,100.3
1985-09-01,100.6
1985-10-01,96.7
1985-11-01,98.1
1985-12-01,98.9
1986-01-01,97.9
1986-02-01,94.0
1986-03-01,99.1
1986-04-01,97.8
1986-05-01,100.5
1986-06-01,99.2
1986-07-01,97.3
1986-08-01,94.5
1986-09-01,98.1
1986-10-01,97.1
1986-11-01,97.0
1986-12-01,96.0
1987-01-01,96.7
1987-02-01,97.6
1987-03-01,99.0
1987-04-01,97.8
1987-05-01,97.7
1987-06-01,97.9
1987-07-01,99.0
1987-08-01,99.4
1987-09-01,99.8
1987-10-01,99.9
1987-11-01,101.9
1987-12-01,103.0
1988-01-01,105.0
1988-02-01,104.9
1988-03-01,105.8
1988-04-01,106.0
1988-05-01,108.9
1988-06-01,109.9
1988-07-01,111.5
1988-08-01,112.1
1988-09-01,112.2
1988-10-01,112.0
1988-11-01,112.7
1988-12-01,112.4
1989-01-01,112.9
1989-02-01,114.4
1989-03-01,114.7
1989-04-01,114.8
1989-05-01,115.5
1989-06-01,117.6
1989-07-01,114.1
1989-08-01,114.5
1989-09-01,113.4
1989-10-01,114.7
1989-11-01,114.9
1989-12-01,113.9
1990-01-01,113.8
1990-02-01,113.5
1990-03-01,114.8
1990-04-01,114.9
1990-05-01,116.2
1990-06-01,114.9
1990-07-01,117.9
1990-08-01,117.5
1990-09-01,116.5
1990-10-01,119.2
1990-11-01,119.7
1990-12-01,118.0
1991-01-01,118.1
1991-02-01,117.8
1991-03-01,118.0
1991-04-01,119.2
1991-05-01,120.4
1991-06-01,119.5
1991-07-01,119.0
1991-08-01,118.8
1991-09-01,118.4
1991-10-01,118.2
1991-11-01,117.3
1991-12-01,117.8
1992-01-01,118.9
1992-02-01,119.7
1992-03-01,119.6
1992-04-01,119.7
1992-05-01,119.4
1992-06-01,118.9
1992-07-01,118.6
1992-08-01,117.6
1992-09-01,116.1
1992-10-01,115.5
1992-11-01,115.1
1992-12-01,118.7
1993-01-01,115.4
1993-02-01,115.2
1993-03-01,112.9
1993-04-01,115.5
1993-05-01,115.1
1993-06-01,114.8
1993-07-01,115.3
1993-08-01,114.3
1993-09-01,114.4
1993-10-01,114.0
1993-11-01,114.2
1993-12-01,114.8
1994-01-01,113.6
1994-02-01,113.5
1994-03-01,114.5
1994-04-01,114.4
1994-05-01,115.1
1994-06-01,113.4
1994-07-01,112.8
1994-08-01,112.0
1994-09-01,111.7
1994-10-01,111.5
1994-11-01,111.4
1994-12-01,111.5
1995-01-01,111.6
1995-02-01,113.8
1995-03-01,114.2
1995-04-01,112.3
1995-05-01,111.2
1995-06-01,112.5
1995-07-01,114.9
1995-08-01,115.0
1995-09-01,115.4
1995-10-01,114.2
1995-11-01,114.9
1995-12-01,115.0
1996-01-01,122.5
1996-02-01,121.4
1996-03-01,121.3
1996-04-01,122.1
1996-05-01,121.9
1996-06-01,120.6
1996-07-01,121.0
1996-08-01,120.6
1996-09-01,121.0
1996-10-01,120.9
1996-11-01,120.6
1996-12-01,120.6
1997-01-01,119.0
1997-02-01,118.2
1997-03-01,116.8
1997-04-01,116.7
1997-05-01,115.8
1997-06-01,116.3
1997-07-01,117.6
1997-08-01,116.5
1997-09-01,116.6
1997-10-01,118.4
1997-11-01,118.6
1997-12-01,118.5
1998-01-01,117.9
1998-02-01,118.5
1998-03-01,119.1
1998-04-01,120.0
1998-05-01,118.2
1998-06-01,119.3
1998-07-01,118.2
1998-08-01,120.1
1998-09-01,119.6
1998-10-01,119.2
1998-11-01,119.6
1998-12-01,117.4
1999-01-01,114.2
1999-02-01,114.8
1999-03-01,115.6
1999-04-01,114.8
1999-05-01,113.6
1999-06-01,114.6
1999-07-01,113.4
1999-08-01,112.5
1999-09-01,112.2
1999-10-01,112.4
1999-11-01,112.7
1999-12-01,112.5
2000-01-01,111.7
2000-02-01,112.2
2000-03-01,112.6
2000-04-01,113.0
2000-05-01,113.3
2000-06-01,112.5
2000-07-01,110.5
2000-08-01,109.7
2000-09-01,110.8
2000-10-01,111.3
2000-11-01,111.3
2000-12-01,110.7
2001-01-01,109.2
2001-02-01,110.0
2001-03-01,110.3
2001-04-01,112.9
2001-05-01,111.3
2001-06-01,112.1
2001-07-01,109.5
2001-08-01,108.7
2001-09-01,109.7
2001-10-01,110.0
2001-11-01,108.2
2001-12-01,108.3
2002-01-01,108.9
2002-02-01,109.3
2002-03-01,108.3
2002-04-01,107.0
2002-05-01,107.8
2002-06-01,108.4
2002-07-01,107.3
2002-08-01,106.6
2002-09-01,106.7
2002-10-01,107.2
2002-11-01,107.0
2002-12-01,107.4
2003-01-01,106.0
2003-02-01,105.7
2003-03-01,106.0
2003-04-01,106.1
2003-05-01,106.1
2003-06-01,106.2
2003-07-01,106.0
2003-08-01,106.5
2003-09-01,105.5
2003-10-01,106.4
2003-11-01,106.4
2003-12-01,106.5
2004-01-01,106.7
2004-02-01,107.6
2004-03-01,107.4
2004-04-01,108.7
2004-05-01,109.1
2004-06-01,110.2
2004-07-01,111.2
2004-08-01,111.1
2004-09-01,112.4
2004-10-01,113.0
2004-11-01,113.4
2004-12-01,118.5
2005-01-01,121.7
2005-02-01,125.1
2005-03-01,127.8
2005-04-01,127.4
2005-05-01,127.4
2005-06-01,129.7
2005-07-01,132.6
2005-08-01,132.1
2005-09-01,135.7
2005-10-01,136.4
2005-11-01,134.4
2005-12-01,138.2
2006-01-01,145.7
2006-02-01,147.3
2006-03-01,147.3
2006-04-01,154.3
2006-05-01,156.1
2006-06-01,156.0
2006-07-01,155.3
2006-08-01,155.3
2006-09-01,156.0
2006-10-01,156.1
2006-11-01,153.0
2006-12-01,153.7
2007-01-01,157.1
2007-02-01,159.6
2007-03-01,161.9
2007-04-01,161.1
2007-05-01,163.7
2007-06-01,167.1
2007-07-01,168.6
2007-08-01,171.1
2007-09-01,171.1
2007-10-01,178.7
2007-11-01,190.9
2007-12-01,218.6
2008-01-01,235.1
2008-02-01,252.4
2008-03-01,260.5
2008-04-01,292.9
2008-05-01,312.8
2008-06-01,344.7
2008-07-01,346.9
2008-08-01,421.0
2008-09-01,432.3
2008-10-01,432.3
2008-11-01,430.4
2008-12-01,429.3
2009-01-01,418.3
2009-02-01,419.9
2009-03-01,421.6
2009-04-01,412.5
2009-05-01,390.7
2009-06-01,362.1
2009-07-01,356.0
2009-08-01,323.8
2009-09-01,301.3
2009-10-01,300.3
2009-11-01,289.2
2009-12-01,289.1
2010-01-01,258.7
2010-02-01,252.0
2010-03-01,261.6
2010-04-01,260.1
2010-05-01,260.6
2010-06-01,260.9
2010-07-01,253.8
2010-08-01,252.2
2010-09-01,252.0
2010-10-01,258.2
2010-11-01,286.6
2010-12-01,286.6
2011-01-01,297.9
2011-02-01,301.8
2011-03-01,302.3
2011-04-01,306.4
2011-05-01,312.0
2011-06-01,317.2
2011-07-01,338.3
2011-08-01,342.2
2011-09-01,337.2
2011-10-01,341.2
2011-11-01,342.6
2011-12-01,339.5
2012-01-01,337.0
2012-02-01,347.5
2012-03-01,353.1
2012-04-01,347.6
2012-05-01,347.4
2012-06-01,347.2
2012-07-01,343.0
2012-08-01,341.6
2012-09-01,345.5
2012-10-01,344.5
2012-11-01,347.0
2012-12-01,347.2
2013-01-01,334.3
2013-02-01,332.9
2013-03-01,328.8
2013-04-01,332.5
2013-05-01,333.7
2013-06-01,338.1
2013-07-01,333.7
2013-08-01,308.5
2013-09-01,306.0
2013-10-01,312.1
2013-11-01,309.9
2013-12-01,309.8
2014-01-01,313.6
2014-02-01,312.0
2014-03-01,312.5
2014-04-01,313.7
2014-05-01,313.1
2014-06-01,316.9
2014-07-01,320.3
2014-08-01,320.6
2014-09-01,329.3
2014-10-01,324.5
2014-11-01,323.3
2014-12-01,328.3
2015-01-01,332.2
2015-02-01,333.3
2015-03-01,338.2
2015-04-01,343.0
2015-05-01,340.9
2015-06-01,344.0
2015-07-01,342.4
2015-08-01,337.6
2015-09-01,336.2
2015-10-01,341.5
2015-11-01,334.2
2015-12-01,332.3
2016-01-01,322.8
2016-02-01,312.3
2016-03-01,314.6
2016-04-01,316.6
2016-05-01,308.5
2016-06-01,305.3
2016-07-01,308.5
2016-08-01,300.5
2016-09-01,296.9
2016-10-01,297.0
2016-11-01,291.7
2016-12-01,292.4
2017-01-01,290.6
2017-02-01,286.0
2017-03-01,283.8
2017-04-01,285.6
2017-05-01,285.3
2017-06-01,284.7
2017-07-01,281.7
2017-08-01,284.4
2017-09-01,281.4
2017-10-01,282.7
2017-11-01,281.1
2017-12-01,283.2
2018-01-01,284.5
2018-02-01,283.4
2018-03-01,281.1
2018-04-01,281.4
2018-05-01,282.6
2018-06-01,284.0
2018-07-01,285.8
2018-08-01,287.1
2018-09-01,288.0
2018-10-01,286.3
2018-11-01,287.0
2018-12-01,293.6
2019-01-01,290.8
2019-02-01,293.2
2019-03-01,294.0
2019-04-01,299.1
2019-05-01,298.6
2019-06-01,299.0
2019-07-01,296.1
2019-08-01,296.4
2019-09-01,299.4
2019-10-01,292.5
2019-11-01,291.4
2019-12-01,295.9
2020-01-01,285.2
2020-02-01,274.4
2020-03-01,266.2
2020-04-01,277.4
2020-05-01,281.3
2020-06-01,282.8
2020-07-01,284.0
2020-08-01,287.0
2020-09-01,292.6
2020-10-01,293.0
2020-11-01,281.3
2020-12-01,280.1
2021-01-01,276.7
2021-02-01,268.9
2021-03-01,270.3
2021-04-01,275.1
2021-05-01,272.8
2021-06-01,276.6
2021-07-01,281.484
2021-08-01,292.347
2021-09-01,294.601
2021-10-01,300.655
2021-11-01,305.255
2021-12-01,308.620
2022-01-01,316.939
2022-02-01,334.010
2022-03-01,338.061
2022-04-01,348.770
2022-05-01,360.745
2022-06-01,359.936
2022-07-01,370.917
2022-08-01,369.904
2022-09-01,375.020
2022-10-01,377.771
2022-11-01,377.350
2022-12-01,377.825
