"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2010","MARKETING YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","CATTLE","CATTLE, CALVES - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","108",""
"SURVEY","2010","MARKETING YEAR","","STATE","ALASKA","02","","","","","","","00000000","","CATTLE","CATTLE, CALVES - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","120",""
"SURVEY","2010","MARKETING YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","CATTLE","CATTLE, CALVES - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","118",""
"SURVEY","2010","MARKETING YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","CATTLE","CATTLE, CALVES - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","113",""
"SURVEY","2010","MARKETING YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CATTLE","CATTLE, CALVES - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","116",""
"SURVEY","2010","MARKETING YEAR","","STATE","COLORADO","08","","","","","","","00000000","","CATTLE","CATTLE, CALVES - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","124",""
"SURVEY","2010","MARKETING YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","CATTLE","CATTLE, CALVES - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","100",""
"SURVEY","2010","MARKETING YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","CATTLE","CATTLE, CALVES - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","104",""
"SURVEY","2010","MARKETING YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CATTLE","CATTLE, CALVES - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","111",""
"SURVEY","2010","MARKETING YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","CATTLE","CATTLE, CALVES - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","110",""
"SURVEY","2010","MARKETING YEAR","","STATE","HAWAII","15","","","","","","","00000000","","CATTLE","CATTLE, CALVES - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","91",""
"SURVEY","2010","MARKETING YEAR","","STATE","IDAHO","16","","","","","","","00000000","","CATTLE","CATTLE, CALVES - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","118",""
"SURVEY","2010","MARKETING YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","CATTLE","CATTLE, CALVES - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","112",""
