"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2024","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","2,120",""
"SURVEY","2024","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,890",""
"SURVEY","2024","JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","2,360",""
"SURVEY","2024","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","2,240",""
"SURVEY","2024","OCT","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","2,600",""
"SURVEY","2023","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,720",""
"SURVEY","2023","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,720",""
"SURVEY","2023","JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,760",""
"SURVEY","2023","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,760",""
"SURVEY","2023","OCT","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,850",""
"SURVEY","2022","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,570",""
"SURVEY","2022","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,380",""
"SURVEY","2022","JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,710",""
"SURVEY","2022","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,590",""
"SURVEY","2022","OCT","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,730",""
"SURVEY","2021","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,370",""
"SURVEY","2021","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,360",""
"SURVEY","2021","JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,380",""
"SURVEY","2021","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,360",""
"SURVEY","2021","OCT","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,340",""
"SURVEY","2020","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,250",""
"SURVEY","2020","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,300",""
"SURVEY","2020","JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,310",""
"SURVEY","2020","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,300",""
"SURVEY","2020","OCT","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,340",""
"SURVEY","2019","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,140",""
"SURVEY","2019","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,140",""
"SURVEY","2019","JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,230",""
"SURVEY","2019","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,200",""
"SURVEY","2019","OCT","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,310",""
"SURVEY","2018","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,360",""
"SURVEY","2018","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,520",""
"SURVEY","2018","JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,320",""
"SURVEY","2018","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,360",""
"SURVEY","2018","OCT","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,230",""
"SURVEY","2017","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,640",""
"SURVEY","2017","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,620",""
"SURVEY","2017","JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,620",""
"SURVEY","2017","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,620",""
"SURVEY","2017","OCT","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,610",""
"SURVEY","2016","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,830",""
"SURVEY","2016","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,830",""
"SURVEY","2016","JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,730",""
"SURVEY","2016","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,760",""
"SURVEY","2016","OCT","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,690",""
"SURVEY","2015","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,970",""
"SURVEY","2015","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,990",""
"SURVEY","2015","JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","2,030",""
"SURVEY","2015","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,990",""
"SURVEY","2015","OCT","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,980",""
"SURVEY","2014","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,810",""
"SURVEY","2014","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,440",""
"SURVEY","2014","JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,970",""
"SURVEY","2014","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,830",""
"SURVEY","2014","OCT","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","2,120",""
"SURVEY","2013","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED"," (NA)",""
"SURVEY","2013","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,370",""
"SURVEY","2013","JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED"," (NA)",""
"SURVEY","2013","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,380",""
"SURVEY","2013","OCT","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,410",""
"SURVEY","2012","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,440",""
"SURVEY","2012","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,460",""
"SURVEY","2012","JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,420",""
"SURVEY","2012","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,430",""
"SURVEY","2012","OCT","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,390",""
"SURVEY","2011","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,420",""
"SURVEY","2011","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,300",""
"SURVEY","2011","JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,480",""
"SURVEY","2011","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,420",""
"SURVEY","2011","OCT","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,480",""
"SURVEY","2010","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,330",""
"SURVEY","2010","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,340",""
"SURVEY","2010","JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,320",""
"SURVEY","2010","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,330",""
"SURVEY","2010","OCT","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD","TOTAL","NOT SPECIFIED","1,330",""
