"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2024","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","189",""
"SURVEY","2023","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","177",""
"SURVEY","2022","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","145",""
"SURVEY","2021","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","124",""
"SURVEY","2020","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","111",""
"SURVEY","2019","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","118",""
"SURVEY","2018","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","117",""
"SURVEY","2017","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","122",""
"SURVEY","2016","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","121",""
"SURVEY","2015","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","148",""
"SURVEY","2014","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","153",""
"SURVEY","2013","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","126",""
"SURVEY","2012","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","123",""
"SURVEY","2011","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","117",""
"SURVEY","2010","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","97.7",""
"SURVEY","2009","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","85.4",""
"SURVEY","2008","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","94.5",""
"SURVEY","2007","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","95.4",""
"SURVEY","2006","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","92.3",""
