"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","AUTAUGA","001","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS","TOTAL","NOT SPECIFIED","31,122","21.4"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","BULLOCK","011","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS","TOTAL","NOT SPECIFIED","30,518","21.4"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","DALLAS","047","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS","TOTAL","NOT SPECIFIED","40,028","21.4"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","ELMORE","051","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS","TOTAL","NOT SPECIFIED","16,060","21.4"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","GREENE","063","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS","TOTAL","NOT SPECIFIED","10,269","21.4"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","HALE","065","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS","TOTAL","NOT SPECIFIED","56,218","21.4"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","LOWNDES","085","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS","TOTAL","NOT SPECIFIED","48,062","21.4"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","MACON","087","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS","TOTAL","NOT SPECIFIED","17,774","21.4"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","MARENGO","091","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS","TOTAL","NOT SPECIFIED","39,398","21.4"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","MONTGOMERY","101","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS","TOTAL","NOT SPECIFIED","59,235","21.4"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","PERRY","105","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS","TOTAL","NOT SPECIFIED","30,163","21.4"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","BLACK BELT","40","SUMTER","119","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS","TOTAL","NOT SPECIFIED","28,912","21.4"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","BALDWIN","003","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS","TOTAL","NOT SPECIFIED","19,229","21.4"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","BUTLER","013","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS","TOTAL","NOT SPECIFIED","26,808","21.4"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","CHOCTAW","023","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS","TOTAL","NOT SPECIFIED","7,277","21.4"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","CLARKE","025","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS","TOTAL","NOT SPECIFIED","10,541","21.4"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","CONECUH","035","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS","TOTAL","NOT SPECIFIED","24,821","21.4"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","ESCAMBIA","053","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS","TOTAL","NOT SPECIFIED","15,937","21.4"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","MOBILE","097","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS","TOTAL","NOT SPECIFIED","14,058","21.4"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","MONROE","099","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS","TOTAL","NOT SPECIFIED","18,574","21.4"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","WASHINGTON","129","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS","TOTAL","NOT SPECIFIED","14,824","21.4"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","WILCOX","131","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS","TOTAL","NOT SPECIFIED","18,432","21.4"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","BLOUNT","009","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS","TOTAL","NOT SPECIFIED","55,945","21.4"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","CALHOUN","015","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS","TOTAL","NOT SPECIFIED","17,379","21.4"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","CHEROKEE","019","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS","TOTAL","NOT SPECIFIED","28,143","21.4"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","CLEBURNE","029","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS","TOTAL","NOT SPECIFIED","18,161","21.4"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","CULLMAN","043","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS","TOTAL","NOT SPECIFIED","114,658","21.4"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","DE KALB","049","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS","TOTAL","NOT SPECIFIED","97,464","21.4"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","ETOWAH","055","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS","TOTAL","NOT SPECIFIED","42,987","21.4"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","JACKSON","071","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS","TOTAL","NOT SPECIFIED","74,081","21.4"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","MARSHALL","095","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS","TOTAL","NOT SPECIFIED","62,227","21.4"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","SAINT CLAIR","115","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS","TOTAL","NOT SPECIFIED","33,117","21.4"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","COLBERT","033","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS","TOTAL","NOT SPECIFIED","17,271","21.4"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","FRANKLIN","059","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS","TOTAL","NOT SPECIFIED","40,545","21.4"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","LAUDERDALE","077","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS","TOTAL","NOT SPECIFIED","35,677","21.4"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","LAWRENCE","079","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS","TOTAL","NOT SPECIFIED","49,648","21.4"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","LIMESTONE","083","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS","TOTAL","NOT SPECIFIED","33,111","21.4"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","MADISON","089","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS","TOTAL","NOT SPECIFIED","35,850","21.4"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","MARION","093","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS","TOTAL","NOT SPECIFIED","25,744","21.4"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","MORGAN","103","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS","TOTAL","NOT SPECIFIED","57,397","21.4"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","WINSTON","133","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS","TOTAL","NOT SPECIFIED","14,604","21.4"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","BIBB","007","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS","TOTAL","NOT SPECIFIED","14,413","21.4"
"CENSUS","2022","YEAR","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","CHAMBERS","017","","","00000000","","HAY & HAYLAGE","HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS","TOTAL","NOT SPECIFIED","36,503","21.4"
