Open,Close,High,Low,Volume,Date,
288,293,293.2,288,,3/5/25,
288.4,285.9,288.4,284.3,,3/4/25,
293.3,290.1,293.5,289.3,,3/3/25,
291.5,291.7,292.4,288.5,,2/28/25,
293.2,290.9,295.6,290.7,,2/27/25,
293.7,293.4,295.6,291.5,,2/26/25,
291.9,293.8,294.4,289.1,,2/25/25,
294.5,291.8,296.4,291.5,,2/24/25,
296,294.8,297,293.3,,2/21/25,
294.7,296,297.4,293.4,,2/20/25,
293.8,294.7,298,292.1,,2/19/25,
295.3,293.8,298,293.2,,2/18/25,
292.7,295.9,300.5,292.1,,2/14/25,
294,292.7,296.2,291.6,,2/13/25,
296.9,294.1,298,293.4,,2/12/25,
300.5,296.6,302.9,296.4,,2/11/25,
301,300.5,302.8,299.2,,2/10/25,
306,301.4,307,300.5,,2/7/25,
308.3,306.4,310.5,303.3,,2/6/25,
313.8,308.3,314.7,306.9,,2/5/25,
304,314,314.9,304,,2/4/25,
298.6,303.7,304.2,295.3,,2/3/25,
304,301.1,306.5,299,,1/31/25,
310.1,304.7,310.3,303.7,,1/30/25,
302,309.8,310.8,301.6,,1/29/25,
301,301.6,303.9,298.6,,1/28/25,
302.5,300.8,303.5,298.9,,1/27/25,
309.5,304.9,311.1,303.5,,1/24/25,
315.7,315.3,319,313,,1/23/25,
311,315.8,318.5,307.5,,1/22/25,
299,311,311.4,299,,1/21/25,
295.5,297.2,299.3,294.1,,1/17/25,
301.8,294.4,302,293.5,,1/16/25,
0,302,309.3,301.4,,1/15/25,
0,298.4,0,0,,1/14/25,
296.7,300.2,298.4,296.7,,1/13/25,
290.1,290.6,293,287.8,,1/10/25,
291,291.8,293.1,290.8,,1/9/25,
291.1,292.6,292.9,290.8,,1/8/25,
295.7,295.3,295.7,293.5,,1/7/25,
303.3,298.6,304.7,297.8,,1/6/25,
310.9,299.9,310.9,299.1,,1/3/25,
307.2,310.9,312.4,305.9,,1/2/25,
303.9,307.6,308.4,303.7,,12/31/24,
302.4,302.6,308.3,301,,12/30/24,
305.8,300.9,306.6,300.6,,12/27/24,
295,305.7,306.5,294.6,,12/26/24,
289.7,292.9,293.7,289,,12/24/24,
295.4,289.5,298.9,289.2,,12/23/24,
284.1,294.5,295.5,283.3,,12/20/24,
279.9,284.1,285,278.5,,12/19/24,
287.2,279.5,287.5,279.3,,12/18/24,
286.9,287.2,288.7,284.2,,12/17/24,
