"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","1970","MARKETING YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","CORN","CORN, SILAGE - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","9",""
"SURVEY","1969","MARKETING YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","CORN","CORN, SILAGE - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","10",""
"SURVEY","1968","MARKETING YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","CORN","CORN, SILAGE - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","9.5",""
"SURVEY","1967","MARKETING YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","CORN","CORN, SILAGE - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","8.6",""
"SURVEY","1966","MARKETING YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","CORN","CORN, SILAGE - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","7.7",""
"SURVEY","1965","MARKETING YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","CORN","CORN, SILAGE - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","8.3",""
"SURVEY","1964","MARKETING YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","CORN","CORN, SILAGE - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","8.5",""
"SURVEY","1963","MARKETING YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","CORN","CORN, SILAGE - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","7.5",""
"SURVEY","1962","MARKETING YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","CORN","CORN, SILAGE - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","8.5",""
"SURVEY","1957","MARKETING YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","CORN","CORN, SILAGE - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","6",""
"SURVEY","1952","MARKETING YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","CORN","CORN, SILAGE - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","8",""
"SURVEY","1951","MARKETING YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","CORN","CORN, SILAGE - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","7.5",""
"SURVEY","1950","MARKETING YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","CORN","CORN, SILAGE - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","7.2",""
"SURVEY","1949","MARKETING YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","CORN","CORN, SILAGE - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","7",""
"SURVEY","1948","MARKETING YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","CORN","CORN, SILAGE - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","10",""
"SURVEY","1947","MARKETING YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","CORN","CORN, SILAGE - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","10",""
"SURVEY","1946","MARKETING YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","CORN","CORN, SILAGE - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","10",""
"SURVEY","1945","MARKETING YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","CORN","CORN, SILAGE - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","4.5",""
