"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2023","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","20.38",""
"SURVEY","2022","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","25.39",""
"SURVEY","2021","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","18.54",""
"SURVEY","2020","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","18.16",""
"SURVEY","2019","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","18.65",""
"SURVEY","2018","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","16.28",""
"SURVEY","2017","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","17.69",""
"SURVEY","2016","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","16.34",""
"SURVEY","2015","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","17.21",""
"SURVEY","2014","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","24.07",""
"SURVEY","2013","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","20.11",""
"SURVEY","2012","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","18.56",""
"SURVEY","2011","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","20.24",""
"SURVEY","2010","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","16.35",""
"SURVEY","2009","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","12.93",""
"SURVEY","2008","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","18.45",""
"SURVEY","2007","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","19.21",""
"SURVEY","2006","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","12.96",""
"SURVEY","2005","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","15.19",""
"SURVEY","2004","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","16.13",""
"SURVEY","2003","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","12.55",""
"SURVEY","2002","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","12.18",""
"SURVEY","2001","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","15.04",""
"SURVEY","2000","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","12.4",""
"SURVEY","1999","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","14.38",""
"SURVEY","1998","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","15.46",""
"SURVEY","1997","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","13.36",""
"SURVEY","1996","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","14.75",""
"SURVEY","1995","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","12.78",""
"SURVEY","1994","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","13.01",""
"SURVEY","1993","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","12.84",""
"SURVEY","1992","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","13.15",""
"SURVEY","1991","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","12.27",""
"SURVEY","1990","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","13.74",""
"SURVEY","1989","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","13.56",""
"SURVEY","1988","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","12.26",""
"SURVEY","1987","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","12.54",""
"SURVEY","1986","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","12.51",""
"SURVEY","1985","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","12.76",""
"SURVEY","1984","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","13.46",""
"SURVEY","1983","MARKETING YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MILK","MILK - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","13.58",""
