"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2023","MARKETING YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","MILK","MILK - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","23.3",""
"SURVEY","2023","MARKETING YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","MILK","MILK - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","20.1",""
"SURVEY","2023","MARKETING YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","MILK","MILK - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","22.2",""
"SURVEY","2023","MARKETING YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","MILK","MILK - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","19.9",""
"SURVEY","2023","MARKETING YEAR","","STATE","COLORADO","08","","","","","","","00000000","","MILK","MILK - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","20.9",""
"SURVEY","2023","MARKETING YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","MILK","MILK - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","21.9",""
"SURVEY","2023","MARKETING YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","MILK","MILK - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","22.3",""
"SURVEY","2023","MARKETING YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","MILK","MILK - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","24.8",""
"SURVEY","2023","MARKETING YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","MILK","MILK - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","24.2",""
"SURVEY","2023","MARKETING YEAR","","STATE","IDAHO","16","","","","","","","00000000","","MILK","MILK - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","20.6",""
"SURVEY","2023","MARKETING YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","MILK","MILK - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","20.5",""
