"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2022","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","RYE","RYE - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","RYE","RYE - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","60,857","31.2"
"CENSUS","2022","YEAR","","STATE","COLORADO","08","","","","","","","00000000","","RYE","RYE - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","49,527","22.2"
"CENSUS","2022","YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","RYE","RYE - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","2,307","42.7"
"CENSUS","2022","YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","RYE","RYE - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","RYE","RYE - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","8,351","91.4"
"CENSUS","2022","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","RYE","RYE - PRODUCTION, MEASURED IN BU","AREA HARVESTED","AREA HARVESTED: (1.0 TO 14.9 ACRES)","4,445","33.6"
"CENSUS","2022","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","RYE","RYE - PRODUCTION, MEASURED IN BU","AREA HARVESTED","AREA HARVESTED: (100 TO 249 ACRES)","289,815","44.8"
"CENSUS","2022","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","RYE","RYE - PRODUCTION, MEASURED IN BU","AREA HARVESTED","AREA HARVESTED: (15.0 TO 24.9 ACRES)","7,973","17.4"
"CENSUS","2022","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","RYE","RYE - PRODUCTION, MEASURED IN BU","AREA HARVESTED","AREA HARVESTED: (25.0 TO 49.9 ACRES)","31,391","32.7"
"CENSUS","2022","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","RYE","RYE - PRODUCTION, MEASURED IN BU","AREA HARVESTED","AREA HARVESTED: (250 TO 499 ACRES)","173,132","39.0"
"CENSUS","2022","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","RYE","RYE - PRODUCTION, MEASURED IN BU","AREA HARVESTED","AREA HARVESTED: (50.0 TO 99.9 ACRES)","64,680","29.7"
