"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2024","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","GRASSES","GRASSES, FESCUE, TALL, SEED - PRICE RECEIVED, PARITY, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED","137",""
"SURVEY","2023","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","GRASSES","GRASSES, FESCUE, TALL, SEED - PRICE RECEIVED, PARITY, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED","138",""
"SURVEY","2016","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","GRASSES","GRASSES, FESCUE, TALL, SEED - PRICE RECEIVED, PARITY, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","106",""
"SURVEY","2015","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","GRASSES","GRASSES, FESCUE, TALL, SEED - PRICE RECEIVED, PARITY, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","109",""
"SURVEY","2014","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","GRASSES","GRASSES, FESCUE, TALL, SEED - PRICE RECEIVED, PARITY, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","105",""
"SURVEY","2013","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","GRASSES","GRASSES, FESCUE, TALL, SEED - PRICE RECEIVED, PARITY, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","108",""
"SURVEY","2012","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","GRASSES","GRASSES, FESCUE, TALL, SEED - PRICE RECEIVED, PARITY, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","101",""
"SURVEY","2011","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","GRASSES","GRASSES, FESCUE, TALL, SEED - PRICE RECEIVED, PARITY, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","94.5",""
"SURVEY","2008","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","GRASSES","GRASSES, FESCUE, TALL, SEED - PRICE RECEIVED, PARITY, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","82.4",""
"SURVEY","2006","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","GRASSES","GRASSES, FESCUE, TALL, SEED - PRICE RECEIVED, ADJUSTED BASE, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED","3.67",""
