"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2023","MARKETING YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","6.4",""
"SURVEY","2023","MARKETING YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","6.38",""
"SURVEY","2023","MARKETING YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","8.84",""
"SURVEY","2023","MARKETING YEAR","","STATE","COLORADO","08","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","6.38",""
"SURVEY","2023","MARKETING YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","6",""
"SURVEY","2023","MARKETING YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","5.75",""
"SURVEY","2023","MARKETING YEAR","","STATE","IDAHO","16","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","6.77",""
"SURVEY","2023","MARKETING YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","6.31",""
"SURVEY","2023","MARKETING YEAR","","STATE","INDIANA","18","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","6.38",""
"SURVEY","2023","MARKETING YEAR","","STATE","KANSAS","20","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","7.14",""
"SURVEY","2023","MARKETING YEAR","","STATE","KENTUCKY","21","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","6.7",""
"SURVEY","2023","MARKETING YEAR","","STATE","MARYLAND","24","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","6",""
"SURVEY","2023","MARKETING YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","6.28",""
"SURVEY","2023","MARKETING YEAR","","STATE","MISSISSIPPI","28","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","6.15",""
"SURVEY","2023","MARKETING YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","6.66",""
"SURVEY","2023","MARKETING YEAR","","STATE","MONTANA","30","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","6.4",""
"SURVEY","2023","MARKETING YEAR","","STATE","NEBRASKA","31","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","6.47",""
"SURVEY","2023","MARKETING YEAR","","STATE","NEW JERSEY","34","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","6.26",""
"SURVEY","2023","MARKETING YEAR","","STATE","NEW MEXICO","35","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","6.35",""
"SURVEY","2023","MARKETING YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","6.7",""
"SURVEY","2023","MARKETING YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","6.57",""
"SURVEY","2023","MARKETING YEAR","","STATE","NORTH DAKOTA","38","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","6.63",""
"SURVEY","2023","MARKETING YEAR","","STATE","OHIO","39","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","6.13",""
"SURVEY","2023","MARKETING YEAR","","STATE","OKLAHOMA","40","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","6.91",""
"SURVEY","2023","MARKETING YEAR","","STATE","OREGON","41","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","6.02",""
"SURVEY","2023","MARKETING YEAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","6.4",""
"SURVEY","2023","MARKETING YEAR","","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","6",""
"SURVEY","2023","MARKETING YEAR","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","6.73",""
"SURVEY","2023","MARKETING YEAR","","STATE","TENNESSEE","47","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","6.75",""
"SURVEY","2023","MARKETING YEAR","","STATE","TEXAS","48","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","7.19",""
"SURVEY","2023","MARKETING YEAR","","STATE","UTAH","49","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","6.35",""
"SURVEY","2023","MARKETING YEAR","","STATE","VIRGINIA","51","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","6.4",""
"SURVEY","2023","MARKETING YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","5.87",""
"SURVEY","2023","MARKETING YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","5.9",""
"SURVEY","2023","MARKETING YEAR","","STATE","WYOMING","56","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","6.35",""
"SURVEY","2022","MARKETING YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","8.9",""
"SURVEY","2022","MARKETING YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","7.63",""
"SURVEY","2022","MARKETING YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","10",""
"SURVEY","2022","MARKETING YEAR","","STATE","COLORADO","08","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","8.33",""
"SURVEY","2022","MARKETING YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","7.4",""
"SURVEY","2022","MARKETING YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","8.3",""
"SURVEY","2022","MARKETING YEAR","","STATE","IDAHO","16","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","7.97",""
"SURVEY","2022","MARKETING YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","8.46",""
"SURVEY","2022","MARKETING YEAR","","STATE","INDIANA","18","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","8.01",""
"SURVEY","2022","MARKETING YEAR","","STATE","KANSAS","20","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","8.71",""
"SURVEY","2022","MARKETING YEAR","","STATE","KENTUCKY","21","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","8.16",""
"SURVEY","2022","MARKETING YEAR","","STATE","MARYLAND","24","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","7.4",""
"SURVEY","2022","MARKETING YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","7.71",""
"SURVEY","2022","MARKETING YEAR","","STATE","MISSISSIPPI","28","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","8.45",""
"SURVEY","2022","MARKETING YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","8.46",""
"SURVEY","2022","MARKETING YEAR","","STATE","MONTANA","30","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","8.86",""
"SURVEY","2022","MARKETING YEAR","","STATE","NEBRASKA","31","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","8.38",""
"SURVEY","2022","MARKETING YEAR","","STATE","NEW JERSEY","34","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","7.25",""
"SURVEY","2022","MARKETING YEAR","","STATE","NEW MEXICO","35","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","8.3",""
"SURVEY","2022","MARKETING YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","7.9",""
"SURVEY","2022","MARKETING YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","8.39",""
"SURVEY","2022","MARKETING YEAR","","STATE","NORTH DAKOTA","38","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","8.66",""
"SURVEY","2022","MARKETING YEAR","","STATE","OHIO","39","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","7.85",""
"SURVEY","2022","MARKETING YEAR","","STATE","OKLAHOMA","40","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","8.92",""
"SURVEY","2022","MARKETING YEAR","","STATE","OREGON","41","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","8.87",""
"SURVEY","2022","MARKETING YEAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","7.9",""
"SURVEY","2022","MARKETING YEAR","","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","8",""
"SURVEY","2022","MARKETING YEAR","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","8.67",""
"SURVEY","2022","MARKETING YEAR","","STATE","TENNESSEE","47","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","8.4",""
"SURVEY","2022","MARKETING YEAR","","STATE","TEXAS","48","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","9.15",""
"SURVEY","2022","MARKETING YEAR","","STATE","UTAH","49","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","9.15",""
"SURVEY","2022","MARKETING YEAR","","STATE","VIRGINIA","51","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","8.55",""
"SURVEY","2022","MARKETING YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","8.12",""
"SURVEY","2022","MARKETING YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","7.35",""
"SURVEY","2022","MARKETING YEAR","","STATE","WYOMING","56","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","8.25",""
"SURVEY","2021","MARKETING YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","7.05",""
"SURVEY","2021","MARKETING YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","6.44",""
"SURVEY","2021","MARKETING YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","7.77",""
"SURVEY","2021","MARKETING YEAR","","STATE","COLORADO","08","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","6.84",""
"SURVEY","2021","MARKETING YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","7.35",""
"SURVEY","2021","MARKETING YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","6.55",""
"SURVEY","2021","MARKETING YEAR","","STATE","IDAHO","16","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","6.79",""
"SURVEY","2021","MARKETING YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","6.43",""
"SURVEY","2021","MARKETING YEAR","","STATE","INDIANA","18","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","6.42",""
"SURVEY","2021","MARKETING YEAR","","STATE","KANSAS","20","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","6.74",""
