Average retail price of electricity,,,,,,,,,,,,,,,,,,,,,,,,,
"https://www.eia.gov/electricity/data/browser/#/topic/7?agg=1,0&geo=vvvvvvvvvvvvo&endsec=4&linechart=ELEC.PRICE.US-COM.A&columnchart=ELEC.PRICE.US-COM.A&map=ELEC.PRICE.US-COM.A&freq=A&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin=",,,,,,,,,,,,,,,,,,,,,,,,,
Thu Dec 12 2024 11:58:51 GMT-0700 (Mountain Standard Time),,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,,,,,,,
description,units,source key,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Commercial : United States,cents per kilowatthour,ELEC.PRICE.US-COM.A,7.92,7.89,8.03,8.17,8.67,9.46,9.65,10.26,10.16,10.19,10.24,10.09,10.26,10.74,10.64,10.43,10.66,10.67,10.68,10.59,11.22,12.41,12.59
Commercial : New England,cents per kilowatthour,ELEC.PRICE.NEW-COM.A,10.93,9.85,10.32,10.61,11.94,14.52,14.71,15.77,15.21,14.72,14.31,13.68,13.97,14.7,15.46,15.18,15.48,16.46,16.33,15.84,16.34,18.13,19.42
Commercial : Connecticut,cents per kilowatthour,ELEC.PRICE.CT-COM.A,9.26,9.32,9.93,9.9,11.53,14.03,15.39,17.12,16.87,16.45,15.57,14.65,14.63,15.55,15.97,15.75,16.06,16.76,16.75,16.58,16.46,18.54,19.99
Commercial : Maine,cents per kilowatthour,ELEC.PRICE.ME-COM.A,11.64,10.68,10.34,9.89,10.63,12.42,12.94,12.95,12.6,12.51,12.29,11.53,11.74,12.7,12.47,12.08,12.12,12.51,12.83,12.56,12.9,15.4,17.88
Commercial : Massachusetts,cents per kilowatthour,ELEC.PRICE.MA-COM.A,11.64,10.02,10.48,10.99,12.42,15.54,15.2,16.07,15.37,14.53,14.33,13.84,14.23,14.68,15.79,15.6,15.93,17.17,16.8,16.03,16.99,18.67,19.62
Commercial : New Hampshire,cents per kilowatthour,ELEC.PRICE.NH-COM.A,10.53,10.06,10.3,10.99,12.06,14.07,13.91,14.3,14.36,14.25,14.04,13.36,13.52,14.34,14.96,14.43,14.81,15.81,15.93,15.41,16.13,18.69,20.4
Commercial : Rhode Island,cents per kilowatthour,ELEC.PRICE.RI-COM.A,11.54,8.65,10.09,10.53,11.71,13.51,12.67,15.4,13.66,13.1,12.37,11.87,12.92,14.56,15.78,14.88,15.2,16.58,16.38,15.94,15.51,16.23,17.68
Commercial : Vermont,cents per kilowatthour,ELEC.PRICE.VT-COM.A,11.28,11.1,11.29,11.42,11.33,11.67,12.29,12.49,12.93,13.44,14,14.32,14.66,14.56,14.54,14.54,14.61,15.24,15.98,16.39,16.59,17.29,18
Commercial : Middle Atlantic,cents per kilowatthour,ELEC.PRICE.MAT-COM.A,10.64,10.3,10.79,10.98,11.79,12.7,13.22,13.99,13.37,13.93,13.65,12.97,13.06,13.65,13.13,12.48,12.57,12.43,12.21,12.47,13.37,15.17,15.32
Commercial : New Jersey,cents per kilowatthour,ELEC.PRICE.NJ-COM.A,9.09,8.9,9.11,9.96,10.61,11.62,12.99,14.03,13.84,13.89,13.47,12.78,12.77,13.15,12.79,12.26,12.28,12.21,12.23,12.35,12.69,13.75,14
Commercial : New York,cents per kilowatthour,ELEC.PRICE.NY-COM.A,12.87,12.33,12.93,12.98,14.36,15.51,15.92,16.79,15.48,16.31,15.81,15.06,15.35,16.12,15.31,14.45,14.75,14.5,14.06,14.56,16.07,18.19,18.01
Commercial : Pennsylvania,cents per kilowatthour,ELEC.PRICE.PA-COM.A,8.62,8.5,8.62,8.51,8.5,8.94,9.2,9.39,9.55,10.1,10.03,9.44,9.25,9.73,9.6,9.22,8.98,8.94,8.71,8.5,8.91,10.73,11.26
Commercial : East North Central,cents per kilowatthour,ELEC.PRICE.ENC-COM.A,7.23,7.33,7.22,7.4,7.65,8.15,8.49,9.04,9.21,9.36,9.49,9.46,9.58,10.02,9.95,9.96,10.16,10.19,10.2,10.27,10.66,11.61,11.94
Commercial : Illinois,cents per kilowatthour,ELEC.PRICE.IL-COM.A,7.4,7.52,7.3,7.54,7.75,7.95,8.57,9.25,9.04,8.88,8.64,7.99,8.14,9.26,9.02,9.02,9.09,9.12,9.08,9.15,9.65,11.32,11.24
Commercial : Indiana,cents per kilowatthour,ELEC.PRICE.IN-COM.A,5.29,5.98,6.12,6.31,6.57,7.21,7.29,7.82,8.32,8.38,8.77,9.14,9.6,9.96,9.78,10.01,10.54,10.6,11.03,11.21,11.58,12.86,12.55
Commercial : Michigan,cents per kilowatthour,ELEC.PRICE.MI-COM.A,7.54,7.79,7.55,7.57,7.84,8.51,8.77,9.17,9.24,9.81,10.33,10.93,11.06,10.87,10.55,10.64,11,11.15,11.39,11.71,12.31,12.55,13.4
