"Average retail price of electricity"
"https://www.eia.gov/electricity/data/browser/#/topic/7?agg=1,0&geo=vvvvvvvvvvvvo&endsec=8&linechart=ELEC.PRICE.US-RES.A&columnchart=ELEC.PRICE.US-RES.A&map=ELEC.PRICE.US-RES.A&freq=A&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin="
"Thu Dec 12 2024 11:59:25 GMT-0700 (Mountain Standard Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Average retail price of electricity","cents per kilowatthour",,,,,,,,,,,,,,,,,,,,,,,,
"All sectors",,"ELEC.PRICE.US-ALL.A",,,,,,,,,,,,,,,,,,,,,,,
"Residential","cents per kilowatthour","ELEC.PRICE.US-RES.A",,,,,,,,,,,,,,,,,,,,,,,
"Residential : United States","cents per kilowatthour","ELEC.PRICE.US-RES.A",8.58,8.44,8.72,8.95,9.45,10.40,10.65,11.26,11.51,11.54,11.72,11.88,12.13,12.52,12.65,12.55,12.89,12.87,13.01,13.15,13.66,15.04,16.00
"Residential : New England","cents per kilowatthour","ELEC.PRICE.NEW-RES.A",12.08,11.23,11.68,11.91,13.44,15.98,16.70,17.65,17.48,16.23,15.89,15.71,16.22,17.82,19.43,18.81,19.41,20.60,21.10,21.25,21.51,24.73,28.73
"Residential : Connecticut","cents per kilowatthour","ELEC.PRICE.CT-RES.A",10.90,10.96,11.31,11.63,13.64,16.86,19.11,19.54,20.33,19.25,18.11,17.34,17.55,19.75,20.94,20.01,20.29,21.20,21.87,22.71,21.91,24.61,29.88
"Residential : Maine","cents per kilowatthour","ELEC.PRICE.ME-RES.A",13.13,12.74,12.37,12.16,13.23,13.80,16.52,16.24,15.64,15.72,15.38,14.66,14.35,15.27,15.61,15.83,15.97,16.84,17.89,16.81,17.02,22.44,27.42
"Residential : Massachusetts","cents per kilowatthour","ELEC.PRICE.MA-RES.A",12.47,10.93,11.60,11.75,13.44,16.60,16.23,17.56,16.87,14.59,14.67,14.91,15.83,17.39,19.83,19.00,20.06,21.61,21.92,21.97,22.89,25.97,29.61
"Residential : New Hampshire","cents per kilowatthour","ELEC.PRICE.NH-RES.A",12.49,11.89,11.98,12.49,13.51,14.68,14.88,15.68,16.39,16.32,16.52,16.07,16.33,17.53,18.50,18.38,19.20,19.69,20.05,19.04,19.85,25.46,28.15
"Residential : Rhode Island","cents per kilowatthour","ELEC.PRICE.RI-RES.A",12.13,10.20,11.61,12.19,13.04,15.12,14.05,17.45,15.60,15.92,14.33,14.40,15.20,17.17,19.29,18.62,18.32,20.55,21.73,22.01,22.30,23.21,27.02
