"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2024","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","LABOR","LABOR, HIRED - WAGE RATE, MEASURED IN $ / HOUR","TOTAL","NOT SPECIFIED","21.37",""
"SURVEY","2024","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","LABOR","LABOR, HIRED - WAGE RATE, MEASURED IN $ / HOUR","TOTAL","NOT SPECIFIED","17.21",""
"SURVEY","2024","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","LABOR","LABOR, HIRED - WAGE RATE, MEASURED IN $ / HOUR","TOTAL","NOT SPECIFIED","21.98",""
"SURVEY","2023","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","LABOR","LABOR, HIRED - WAGE RATE, MEASURED IN $ / HOUR","TOTAL","NOT SPECIFIED","21.25",""
"SURVEY","2023","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","LABOR","LABOR, HIRED - WAGE RATE, MEASURED IN $ / HOUR","TOTAL","NOT SPECIFIED","15.69",""
"SURVEY","2023","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","LABOR","LABOR, HIRED - WAGE RATE, MEASURED IN $ / HOUR","TOTAL","NOT SPECIFIED","20.6",""
"SURVEY","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","LABOR","LABOR, HIRED - WAGE RATE, MEASURED IN $ / HOUR","TOTAL","NOT SPECIFIED","20.09",""
"SURVEY","2022","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","LABOR","LABOR, HIRED - WAGE RATE, MEASURED IN $ / HOUR","TOTAL","NOT SPECIFIED","15.26",""
"SURVEY","2022","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","LABOR","LABOR, HIRED - WAGE RATE, MEASURED IN $ / HOUR","TOTAL","NOT SPECIFIED","19.15",""
"SURVEY","2021","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","LABOR","LABOR, HIRED - WAGE RATE, MEASURED IN $ / HOUR","TOTAL","NOT SPECIFIED","18.76",""
"SURVEY","2021","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","LABOR","LABOR, HIRED - WAGE RATE, MEASURED IN $ / HOUR","TOTAL","NOT SPECIFIED","13.3",""
"SURVEY","2021","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","LABOR","LABOR, HIRED - WAGE RATE, MEASURED IN $ / HOUR","TOTAL","NOT SPECIFIED","18.05",""
"SURVEY","2020","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","LABOR","LABOR, HIRED - WAGE RATE, MEASURED IN $ / HOUR","TOTAL","NOT SPECIFIED","17.51",""
"SURVEY","2020","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","LABOR","LABOR, HIRED - WAGE RATE, MEASURED IN $ / HOUR","TOTAL","NOT SPECIFIED","13.12",""
"SURVEY","2020","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","LABOR","LABOR, HIRED - WAGE RATE, MEASURED IN $ / HOUR","TOTAL","NOT SPECIFIED","17.25",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","LABOR","LABOR, HIRED - WAGE RATE, MEASURED IN $ / HOUR","TOTAL","NOT SPECIFIED","16.21",""
"SURVEY","2019","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","LABOR","LABOR, HIRED - WAGE RATE, MEASURED IN $ / HOUR","TOTAL","NOT SPECIFIED","12.58",""
"SURVEY","2019","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","LABOR","LABOR, HIRED - WAGE RATE, MEASURED IN $ / HOUR","TOTAL","NOT SPECIFIED","16.61",""
"SURVEY","2018","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","LABOR","LABOR, HIRED - WAGE RATE, MEASURED IN $ / HOUR","TOTAL","NOT SPECIFIED","15.41",""
"SURVEY","2018","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","LABOR","LABOR, HIRED - WAGE RATE, MEASURED IN $ / HOUR","TOTAL","NOT SPECIFIED","12.13",""
"SURVEY","2018","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","LABOR","LABOR, HIRED - WAGE RATE, MEASURED IN $ / HOUR","TOTAL","NOT SPECIFIED","16.43",""
"SURVEY","2017","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","LABOR","LABOR, HIRED - WAGE RATE, MEASURED IN $ / HOUR","TOTAL","NOT SPECIFIED","14.46",""
"SURVEY","2017","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","LABOR","LABOR, HIRED - WAGE RATE, MEASURED IN $ / HOUR","TOTAL","NOT SPECIFIED","12.61",""
"SURVEY","2017","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","LABOR","LABOR, HIRED - WAGE RATE, MEASURED IN $ / HOUR","TOTAL","NOT SPECIFIED","16.41",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","LABOR","LABOR, HIRED - WAGE RATE, MEASURED IN $ / HOUR","TOTAL","NOT SPECIFIED","13.81",""
"SURVEY","2016","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","LABOR","LABOR, HIRED - WAGE RATE, MEASURED IN $ / HOUR","TOTAL","NOT SPECIFIED","12.21",""
"SURVEY","2016","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","LABOR","LABOR, HIRED - WAGE RATE, MEASURED IN $ / HOUR","TOTAL","NOT SPECIFIED","14.91",""
"SURVEY","2015","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","LABOR","LABOR, HIRED - WAGE RATE, MEASURED IN $ / HOUR","TOTAL","NOT SPECIFIED","13.05",""
"SURVEY","2015","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","LABOR","LABOR, HIRED - WAGE RATE, MEASURED IN $ / HOUR","TOTAL","NOT SPECIFIED","11.76",""
"SURVEY","2015","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","LABOR","LABOR, HIRED - WAGE RATE, MEASURED IN $ / HOUR","TOTAL","NOT SPECIFIED","14.43",""
"SURVEY","2014","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","LABOR","LABOR, HIRED - WAGE RATE, MEASURED IN $ / HOUR","TOTAL","NOT SPECIFIED","12.36",""
"SURVEY","2014","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","LABOR","LABOR, HIRED - WAGE RATE, MEASURED IN $ / HOUR","TOTAL","NOT SPECIFIED","11.18",""
"SURVEY","2014","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","LABOR","LABOR, HIRED - WAGE RATE, MEASURED IN $ / HOUR","TOTAL","NOT SPECIFIED","15.45",""
"SURVEY","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","LABOR","LABOR, HIRED - WAGE RATE, MEASURED IN $ / HOUR","TOTAL","NOT SPECIFIED","11.85",""
"SURVEY","2013","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","LABOR","LABOR, HIRED - WAGE RATE, MEASURED IN $ / HOUR","TOTAL","NOT SPECIFIED","11.6",""
"SURVEY","2013","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","LABOR","LABOR, HIRED - WAGE RATE, MEASURED IN $ / HOUR","TOTAL","NOT SPECIFIED","14.97",""
"SURVEY","2012","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","LABOR","LABOR, HIRED - WAGE RATE, MEASURED IN $ / HOUR","TOTAL","NOT SPECIFIED","11.64",""
"SURVEY","2012","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","LABOR","LABOR, HIRED - WAGE RATE, MEASURED IN $ / HOUR","TOTAL","NOT SPECIFIED","10.97",""
"SURVEY","2012","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","LABOR","LABOR, HIRED - WAGE RATE, MEASURED IN $ / HOUR","TOTAL","NOT SPECIFIED","15.19",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","LABOR","LABOR, HIRED - WAGE RATE, MEASURED IN $ / HOUR","TOTAL","NOT SPECIFIED","11.04",""
"SURVEY","2011","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","LABOR","LABOR, HIRED - WAGE RATE, MEASURED IN $ / HOUR","TOTAL","NOT SPECIFIED","10.92",""
"SURVEY","2011","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","LABOR","LABOR, HIRED - WAGE RATE, MEASURED IN $ / HOUR","TOTAL","NOT SPECIFIED","14.36",""
"SURVEY","2010","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","LABOR","LABOR, HIRED - WAGE RATE, MEASURED IN $ / HOUR","TOTAL","NOT SPECIFIED","10.01",""
"SURVEY","2010","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","LABOR","LABOR, HIRED - WAGE RATE, MEASURED IN $ / HOUR","TOTAL","NOT SPECIFIED","10.25",""
"SURVEY","2010","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","LABOR","LABOR, HIRED - WAGE RATE, MEASURED IN $ / HOUR","TOTAL","NOT SPECIFIED","9.4",""
"SURVEY","2010","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","LABOR","LABOR, HIRED - WAGE RATE, MEASURED IN $ / HOUR","TOTAL","NOT SPECIFIED","11.24",""
"SURVEY","2010","YEAR","","STATE","COLORADO","08","","","","","","","00000000","","LABOR","LABOR, HIRED - WAGE RATE, MEASURED IN $ / HOUR","TOTAL","NOT SPECIFIED","11.3",""
"SURVEY","2010","YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","LABOR","LABOR, HIRED - WAGE RATE, MEASURED IN $ / HOUR","TOTAL","NOT SPECIFIED","10.65",""
"SURVEY","2010","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","LABOR","LABOR, HIRED - WAGE RATE, MEASURED IN $ / HOUR","TOTAL","NOT SPECIFIED","10.67",""
"SURVEY","2010","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","LABOR","LABOR, HIRED - WAGE RATE, MEASURED IN $ / HOUR","TOTAL","NOT SPECIFIED","9.72",""
"SURVEY","2010","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","LABOR","LABOR, HIRED - WAGE RATE, MEASURED IN $ / HOUR","TOTAL","NOT SPECIFIED","14.24",""
"SURVEY","2010","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","LABOR","LABOR, HIRED - WAGE RATE, MEASURED IN $ / HOUR","TOTAL","NOT SPECIFIED","10.47",""
"SURVEY","2010","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","LABOR","LABOR, HIRED - WAGE RATE, MEASURED IN $ / HOUR","TOTAL","NOT SPECIFIED","11.43",""
