fips,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01,0.00658535,0.00709439,0.0074181,0.00748482,0.0074181,0.00799138,0.00786783,0.00860667,0.00909841,0.0100003,0.0107614,0.012118,0.0148313,0.0195015,0.0201588,0.0208483,0.0227436,0.024115,0.0249675,0.0251108,0.0243053,0.0239865,0.0231315,0.0224816,0.0226324,0.0241768,0.0272013,0.0285827
01001,0.00534612,0.00557099,0.00566612,0.00575384,0.00557716,0.00697578,0.00761455,0.00844853,0.00848806,0.00916142,0.00973841,0.0109764,0.0136167,0.0179089,0.0152155,0.015748,0.0171417,0.0182055,0.0188035,0.0189369,0.021256,0.0209286,0.0201934,0.0197894,0.0198166,0.0249737,0.027997,0.0294537
01003,0.00534612,0.00557099,0.00566612,0.00575384,0.00557716,0.00697578,0.00761455,0.00844853,0.00848806,0.00916142,0.00973841,0.0109764,0.0136167,0.0179089,0.0152155,0.015748,0.0171417,0.0182055,0.0188035,0.0189369,0.021256,0.0209286,0.0201934,0.0197894,0.0198166,0.0249737,0.027997,0.0294537
01005,0.00534612,0.00557099,0.00566612,0.00575384,0.00557716,0.00697578,0.00761455,0.00844853,0.00848806,0.00916142,0.00973841,0.0109764,0.0136167,0.0179089,0.0152155,0.015748,0.0171417,0.0182055,0.0188035,0.0189369,0.021256,0.0209286,0.0201934,0.0197894,0.0198166,0.0249737,0.027997,0.0294537
01007,0.00534612,0.00557099,0.00566612,0.00575384,0.00557716,0.00697578,0.00761455,0.00844853,0.00848806,0.00916142,0.00973841,0.0109764,0.0136167,0.0179089,0.0152155,0.015748,0.0171417,0.0182055,0.0188035,0.0189369,0.021256,0.0209286,0.0201934,0.0197894,0.0198166,0.0249737,0.027997,0.0294537
01009,0.00534612,0.00557099,0.00566612,0.00575384,0.00557716,0.00697578,0.00761455,0.00844853,0.00848806,0.00916142,0.00973841,0.0109764,0.0136167,0.0179089,0.0152155,0.015748,0.0171417,0.0182055,0.0188035,0.0189369,0.021256,0.0209286,0.0201934,0.0197894,0.0198166,0.0249737,0.027997,0.0294537
01011,0.00534612,0.00557099,0.00566612,0.00575384,0.00557716,0.00697578,0.00761455,0.00844853,0.00848806,0.00916142,0.00973841,0.0109764,0.0136167,0.0179089,0.0152155,0.015748,0.0171417,0.0182055,0.0188035,0.0189369,0.021256,0.0209286,0.0201934,0.0197894,0.0198166,0.0249737,0.027997,0.0294537
01013,0.00534612,0.00557099,0.00566612,0.00575384,0.00557716,0.00697578,0.00761455,0.00844853,0.00848806,0.00916142,0.00973841,0.0109764,0.0136167,0.0179089,0.0152155,0.015748,0.0171417,0.0182055,0.0188035,0.0189369,0.021256,0.0209286,0.0201934,0.0197894,0.0198166,0.0249737,0.027997,0.0294537
01015,0.00534612,0.00557099,0.00566612,0.00575384,0.00557716,0.00697578,0.00761455,0.00844853,0.00848806,0.00916142,0.00973841,0.0109764,0.0136167,0.0179089,0.0152155,0.015748,0.0171417,0.0182055,0.0188035,0.0189369,0.021256,0.0209286,0.0201934,0.0197894,0.0198166,0.0249737,0.027997,0.0294537
01017,0.00534612,0.00557099,0.00566612,0.00575384,0.00557716,0.00697578,0.00761455,0.00844853,0.00848806,0.00916142,0.00973841,0.0109764,0.0136167,0.0179089,0.0152155,0.015748,0.0171417,0.0182055,0.0188035,0.0189369,0.021256,0.0209286,0.0201934,0.0197894,0.0198166,0.0249737,0.027997,0.0294537
01019,0.00534612,0.00557099,0.00566612,0.00575384,0.00557716,0.00697578,0.00761455,0.00844853,0.00848806,0.00916142,0.00973841,0.0109764,0.0136167,0.0179089,0.0152155,0.015748,0.0171417,0.0182055,0.0188035,0.0189369,0.021256,0.0209286,0.0201934,0.0197894,0.0198166,0.0249737,0.027997,0.0294537
01021,0.00534612,0.00557099,0.00566612,0.00575384,0.00557716,0.00697578,0.00761455,0.00844853,0.00848806,0.00916142,0.00973841,0.0109764,0.0136167,0.0179089,0.0152155,0.015748,0.0171417,0.0182055,0.0188035,0.0189369,0.021256,0.0209286,0.0201934,0.0197894,0.0198166,0.0249737,0.027997,0.0294537
01023,0.00534612,0.00557099,0.00566612,0.00575384,0.00557716,0.00697578,0.00761455,0.00844853,0.00848806,0.00916142,0.00973841,0.0109764,0.0136167,0.0179089,0.0152155,0.015748,0.0171417,0.0182055,0.0188035,0.0189369,0.021256,0.0209286,0.0201934,0.0197894,0.0198166,0.0249737,0.027997,0.0294537
01025,0.00534612,0.00557099,0.00566612,0.00575384,0.00557716,0.00697578,0.00761455,0.00844853,0.00848806,0.00916142,0.00973841,0.0109764,0.0136167,0.0179089,0.0152155,0.015748,0.0171417,0.0182055,0.0188035,0.0189369,0.021256,0.0209286,0.0201934,0.0197894,0.0198166,0.0249737,0.027997,0.0294537
01027,0.00534612,0.00557099,0.00566612,0.00575384,0.00557716,0.00697578,0.00761455,0.00844853,0.00848806,0.00916142,0.00973841,0.0109764,0.0136167,0.0179089,0.0152155,0.015748,0.0171417,0.0182055,0.0188035,0.0189369,0.021256,0.0209286,0.0201934,0.0197894,0.0198166,0.0249737,0.027997,0.0294537
01029,0.00534612,0.00557099,0.00566612,0.00575384,0.00557716,0.00697578,0.00761455,0.00844853,0.00848806,0.00916142,0.00973841,0.0109764,0.0136167,0.0179089,0.0152155,0.015748,0.0171417,0.0182055,0.0188035,0.0189369,0.021256,0.0209286,0.0201934,0.0197894,0.0198166,0.0249737,0.027997,0.0294537
01031,0.00534612,0.00557099,0.00566612,0.00575384,0.00557716,0.00697578,0.00761455,0.00844853,0.00848806,0.00916142,0.00973841,0.0109764,0.0136167,0.0179089,0.0152155,0.015748,0.0171417,0.0182055,0.0188035,0.0189369,0.021256,0.0209286,0.0201934,0.0197894,0.0198166,0.0249737,0.027997,0.0294537
01033,0.00534612,0.00557099,0.00566612,0.00575384,0.00557716,0.00697578,0.00761455,0.00844853,0.00848806,0.00916142,0.00973841,0.0109764,0.0136167,0.0179089,0.0152155,0.015748,0.0171417,0.0182055,0.0188035,0.0189369,0.021256,0.0209286,0.0201934,0.0197894,0.0198166,0.0249737,0.027997,0.0294537
01035,0.00534612,0.00557099,0.00566612,0.00575384,0.00557716,0.00697578,0.00761455,0.00844853,0.00848806,0.00916142,0.00973841,0.0109764,0.0136167,0.0179089,0.0152155,0.015748,0.0171417,0.0182055,0.0188035,0.0189369,0.021256,0.0209286,0.0201934,0.0197894,0.0198166,0.0249737,0.027997,0.0294537
01037,0.00534612,0.00557099,0.00566612,0.00575384,0.00557716,0.00697578,0.00761455,0.00844853,0.00848806,0.00916142,0.00973841,0.0109764,0.0136167,0.0179089,0.0152155,0.015748,0.0171417,0.0182055,0.0188035,0.0189369,0.021256,0.0209286,0.0201934,0.0197894,0.0198166,0.0249737,0.027997,0.0294537
01039,0.00534612,0.00557099,0.00566612,0.00575384,0.00557716,0.00697578,0.00761455,0.00844853,0.00848806,0.00916142,0.00973841,0.0109764,0.0136167,0.0179089,0.0152155,0.015748,0.0171417,0.0182055,0.0188035,0.0189369,0.021256,0.0209286,0.0201934,0.0197894,0.0198166,0.0249737,0.027997,0.0294537
01041,0.00534612,0.00557099,0.00566612,0.00575384,0.00557716,0.00697578,0.00761455,0.00844853,0.00848806,0.00916142,0.00973841,0.0109764,0.0136167,0.0179089,0.0152155,0.015748,0.0171417,0.0182055,0.0188035,0.0189369,0.021256,0.0209286,0.0201934,0.0197894,0.0198166,0.0249737,0.027997,0.0294537
01043,0.00534612,0.00557099,0.00566612,0.00575384,0.00557716,0.00697578,0.00761455,0.00844853,0.00848806,0.00916142,0.00973841,0.0109764,0.0136167,0.0179089,0.0152155,0.015748,0.0171417,0.0182055,0.0188035,0.0189369,0.021256,0.0209286,0.0201934,0.0197894,0.0198166,0.0249737,0.027997,0.0294537
01045,0.00534612,0.00557099,0.00566612,0.00575384,0.00557716,0.00697578,0.00761455,0.00844853,0.00848806,0.00916142,0.00973841,0.0109764,0.0136167,0.0179089,0.0152155,0.015748,0.0171417,0.0182055,0.0188035,0.0189369,0.021256,0.0209286,0.0201934,0.0197894,0.0198166,0.0249737,0.027997,0.0294537
01047,0.00534612,0.00557099,0.00566612,0.00575384,0.00557716,0.00697578,0.00761455,0.00844853,0.00848806,0.00916142,0.00973841,0.0109764,0.0136167,0.0179089,0.0152155,0.015748,0.0171417,0.0182055,0.0188035,0.0189369,0.021256,0.0209286,0.0201934,0.0197894,0.0198166,0.0249737,0.027997,0.0294537
01049,0.00534612,0.00557099,0.00566612,0.00575384,0.00557716,0.00697578,0.00761455,0.00844853,0.00848806,0.00916142,0.00973841,0.0109764,0.0136167,0.0179089,0.0152155,0.015748,0.0171417,0.0182055,0.0188035,0.0189369,0.021256,0.0209286,0.0201934,0.0197894,0.0198166,0.0249737,0.027997,0.0294537
01051,0.00534612,0.00557099,0.00566612,0.00575384,0.00557716,0.00697578,0.00761455,0.00844853,0.00848806,0.00916142,0.00973841,0.0109764,0.0136167,0.0179089,0.0152155,0.015748,0.0171417,0.0182055,0.0188035,0.0189369,0.021256,0.0209286,0.0201934,0.0197894,0.0198166,0.0249737,0.027997,0.0294537
01053,0.00534612,0.00557099,0.00566612,0.00575384,0.00557716,0.00697578,0.00761455,0.00844853,0.00848806,0.00916142,0.00973841,0.0109764,0.0136167,0.0179089,0.0152155,0.015748,0.0171417,0.0182055,0.0188035,0.0189369,0.021256,0.0209286,0.0201934,0.0197894,0.0198166,0.0249737,0.027997,0.0294537
01055,0.00534612,0.00557099,0.00566612,0.00575384,0.00557716,0.00697578,0.00761455,0.00844853,0.00848806,0.00916142,0.00973841,0.0109764,0.0136167,0.0179089,0.0152155,0.015748,0.0171417,0.0182055,0.0188035,0.0189369,0.021256,0.0209286,0.0201934,0.0197894,0.0198166,0.0249737,0.027997,0.0294537
01057,0.00534612,0.00557099,0.00566612,0.00575384,0.00557716,0.00697578,0.00761455,0.00844853,0.00848806,0.00916142,0.00973841,0.0109764,0.0136167,0.0179089,0.0152155,0.015748,0.0171417,0.0182055,0.0188035,0.0189369,0.021256,0.0209286,0.0201934,0.0197894,0.0198166,0.0249737,0.027997,0.0294537
01059,0.00534612,0.00557099,0.00566612,0.00575384,0.00557716,0.00697578,0.00761455,0.00844853,0.00848806,0.00916142,0.00973841,0.0109764,0.0136167,0.0179089,0.0152155,0.015748,0.0171417,0.0182055,0.0188035,0.0189369,0.021256,0.0209286,0.0201934,0.0197894,0.0198166,0.0249737,0.027997,0.0294537
01061,0.00534612,0.00557099,0.00566612,0.00575384,0.00557716,0.00697578,0.00761455,0.00844853,0.00848806,0.00916142,0.00973841,0.0109764,0.0136167,0.0179089,0.0152155,0.015748,0.0171417,0.0182055,0.0188035,0.0189369,0.021256,0.0209286,0.0201934,0.0197894,0.0198166,0.0249737,0.027997,0.0294537
01063,0.00534612,0.00557099,0.00566612,0.00575384,0.00557716,0.00697578,0.00761455,0.00844853,0.00848806,0.00916142,0.00973841,0.0109764,0.0136167,0.0179089,0.0152155,0.015748,0.0171417,0.0182055,0.0188035,0.0189369,0.021256,0.0209286,0.0201934,0.0197894,0.0198166,0.0249737,0.027997,0.0294537
01065,0.00534612,0.00557099,0.00566612,0.00575384,0.00557716,0.00697578,0.00761455,0.00844853,0.00848806,0.00916142,0.00973841,0.0109764,0.0136167,0.0179089,0.0152155,0.015748,0.0171417,0.0182055,0.0188035,0.0189369,0.021256,0.0209286,0.0201934,0.0197894,0.0198166,0.0249737,0.027997,0.0294537
01067,0.00534612,0.00557099,0.00566612,0.00575384,0.00557716,0.00697578,0.00761455,0.00844853,0.00848806,0.00916142,0.00973841,0.0109764,0.0136167,0.0179089,0.0152155,0.015748,0.0171417,0.0182055,0.0188035,0.0189369,0.021256,0.0209286,0.0201934,0.0197894,0.0198166,0.0249737,0.027997,0.0294537
01069,0.00534612,0.00557099,0.00566612,0.00575384,0.00557716,0.00697578,0.00761455,0.00844853,0.00848806,0.00916142,0.00973841,0.0109764,0.0136167,0.0179089,0.0152155,0.015748,0.0171417,0.0182055,0.0188035,0.0189369,0.021256,0.0209286,0.0201934,0.0197894,0.0198166,0.0249737,0.027997,0.0294537
01071,0.00534612,0.00557099,0.00566612,0.00575384,0.00557716,0.00697578,0.00761455,0.00844853,0.00848806,0.00916142,0.00973841,0.0109764,0.0136167,0.0179089,0.0152155,0.015748,0.0171417,0.0182055,0.0188035,0.0189369,0.021256,0.0209286,0.0201934,0.0197894,0.0198166,0.0249737,0.027997,0.0294537
01073,0.00534612,0.00557099,0.00566612,0.00575384,0.00557716,0.00697578,0.00761455,0.00844853,0.00848806,0.00916142,0.00973841,0.0109764,0.0136167,0.0179089,0.0152155,0.015748,0.0171417,0.0182055,0.0188035,0.0189369,0.021256,0.0209286,0.0201934,0.0197894,0.0198166,0.0249737,0.027997,0.0294537
01075,0.00534612,0.00557099,0.00566612,0.00575384,0.00557716,0.00697578,0.00761455,0.00844853,0.00848806,0.00916142,0.00973841,0.0109764,0.0136167,0.0179089,0.0152155,0.015748,0.0171417,0.0182055,0.0188035,0.0189369,0.021256,0.0209286,0.0201934,0.0197894,0.0198166,0.0249737,0.027997,0.0294537
01077,0.00534612,0.00557099,0.00566612,0.00575384,0.00557716,0.00697578,0.00761455,0.00844853,0.00848806,0.00916142,0.00973841,0.0109764,0.0136167,0.0179089,0.0152155,0.015748,0.0171417,0.0182055,0.0188035,0.0189369,0.021256,0.0209286,0.0201934,0.0197894,0.0198166,0.0249737,0.027997,0.0294537
01079,0.00534612,0.00557099,0.00566612,0.00575384,0.00557716,0.00697578,0.00761455,0.00844853,0.00848806,0.00916142,0.00973841,0.0109764,0.0136167,0.0179089,0.0152155,0.015748,0.0171417,0.0182055,0.0188035,0.0189369,0.021256,0.0209286,0.0201934,0.0197894,0.0198166,0.0249737,0.027997,0.0294537
01081,0.00534612,0.00557099,0.00566612,0.00575384,0.00557716,0.00697578,0.00761455,0.00844853,0.00848806,0.00916142,0.00973841,0.0109764,0.0136167,0.0179089,0.0152155,0.015748,0.0171417,0.0182055,0.0188035,0.0189369,0.021256,0.0209286,0.0201934,0.0197894,0.0198166,0.0249737,0.027997,0.0294537
01083,0.00534612,0.00557099,0.00566612,0.00575384,0.00557716,0.00697578,0.00761455,0.00844853,0.00848806,0.00916142,0.00973841,0.0109764,0.0136167,0.0179089,0.0152155,0.015748,0.0171417,0.0182055,0.0188035,0.0189369,0.021256,0.0209286,0.0201934,0.0197894,0.0198166,0.0249737,0.027997,0.0294537
01085,0.00534612,0.00557099,0.00566612,0.00575384,0.00557716,0.00697578,0.00761455,0.00844853,0.00848806,0.00916142,0.00973841,0.0109764,0.0136167,0.0179089,0.0152155,0.015748,0.0171417,0.0182055,0.0188035,0.0189369,0.021256,0.0209286,0.0201934,0.0197894,0.0198166,0.0249737,0.027997,0.0294537
