fips,2017,2018,2019,2020,2021,2022,2023,2024
01,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01001,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01003,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01005,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01007,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01009,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01011,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01013,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01015,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01017,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01019,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01021,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01023,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01025,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01027,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01029,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01031,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01033,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01035,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01037,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01039,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01041,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01043,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01045,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01047,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01049,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01051,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01053,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01055,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01057,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01059,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01061,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01063,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01065,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01067,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01069,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01071,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01073,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01075,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01077,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01079,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01081,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01083,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01085,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01087,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01089,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01091,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01093,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01095,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01097,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01099,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01101,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01103,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01105,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01107,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01109,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01111,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01113,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01115,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01117,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01119,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01121,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01123,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01125,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01127,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01129,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01131,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
01133,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
04001,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
04003,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
04005,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
04007,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
04009,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
04011,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
04012,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
04013,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
04015,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
04017,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
04019,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
04021,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
04023,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
04025,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
04027,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05001,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05003,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05005,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05007,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05009,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05011,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05013,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05015,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05017,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05019,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05021,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05023,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05025,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05027,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05029,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05031,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05033,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05035,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05037,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05039,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05041,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05043,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05045,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05047,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05049,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05051,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05053,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05055,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05057,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05059,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05061,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05063,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05065,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05067,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05069,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05071,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05073,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05075,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05077,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05079,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05081,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05083,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05085,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05087,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05089,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05091,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05093,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05095,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05097,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05099,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05101,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05103,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05105,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05107,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05109,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05111,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05113,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05115,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05117,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05119,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05121,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05123,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05125,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05127,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05129,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05131,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05133,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05135,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05137,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05139,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05141,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05143,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05145,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05147,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
05149,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06001,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06003,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06005,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06007,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06009,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06011,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06013,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06015,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06017,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06019,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06021,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06023,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06025,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06027,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06029,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06031,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06033,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06035,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06037,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06039,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06041,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06043,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06045,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06047,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06049,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06051,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06053,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06055,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06057,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06059,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06061,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06063,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06065,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06067,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06069,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06071,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06073,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06075,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06077,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06079,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06081,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06083,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06085,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06087,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06089,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06091,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06093,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06095,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06097,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06099,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06101,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06103,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06105,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06107,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06109,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06111,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06113,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
06115,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
08001,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
08003,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
08005,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
08007,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
08009,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
08011,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
08013,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
08014,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
08015,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
08017,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
08019,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
08021,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
08023,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
08025,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
08027,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
08029,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
08031,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
08033,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
08035,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
08037,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
08039,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
08041,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
08043,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
08045,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
08047,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
08049,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
08051,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
08053,1224.02,1013.55,986.045,1026.73,1030.74,1302.51,1498.13,2189.16
