fips,2017,2018,2019,2020,2021,2022,2023,2024
01,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01001,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01003,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01005,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01007,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01009,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01011,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01013,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01015,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01017,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01019,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01021,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01023,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01025,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01027,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01029,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01031,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01033,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01035,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01037,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01039,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01041,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01043,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01045,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01047,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01049,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01051,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01053,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01055,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01057,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01059,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01061,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01063,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01065,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01067,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01069,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01071,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01073,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01075,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01077,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01079,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01081,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01083,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01085,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01087,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01089,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01091,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01093,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01095,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01097,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
01099,1253.7,951.459,953.015,984.977,991.693,1265.96,1452.13,1936.87
