fips,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01,1330.0,1420.0,1430.0,1380.0,1830.0,1990.0,1760.0,1620.0,1360.0,1200.0,1300.0,1360.0,1590.0,1760.0,2240.0
01001,1300.0,1400.0,1430.0,1410.0,1490.0,1720.0,1580.0,1450.0,1280.0,1080.0,1200.0,1100.0,1450.0,1570.0,1790.0
01003,1300.0,1400.0,1430.0,1410.0,1490.0,1720.0,1580.0,1450.0,1280.0,1080.0,1200.0,1100.0,1450.0,1570.0,1790.0
01005,1300.0,1400.0,1430.0,1410.0,1490.0,1720.0,1580.0,1450.0,1280.0,1080.0,1200.0,1100.0,1450.0,1570.0,1790.0
01007,1300.0,1400.0,1430.0,1410.0,1490.0,1720.0,1580.0,1450.0,1280.0,1080.0,1200.0,1100.0,1450.0,1570.0,1790.0
01009,1300.0,1400.0,1430.0,1410.0,1490.0,1720.0,1580.0,1450.0,1280.0,1080.0,1200.0,1100.0,1450.0,1570.0,1790.0
01011,1300.0,1400.0,1430.0,1410.0,1490.0,1720.0,1580.0,1450.0,1280.0,1080.0,1200.0,1100.0,1450.0,1570.0,1790.0
01013,1300.0,1400.0,1430.0,1410.0,1490.0,1720.0,1580.0,1450.0,1280.0,1080.0,1200.0,1100.0,1450.0,1570.0,1790.0
01015,1300.0,1400.0,1430.0,1410.0,1490.0,1720.0,1580.0,1450.0,1280.0,1080.0,1200.0,1100.0,1450.0,1570.0,1790.0
01017,1300.0,1400.0,1430.0,1410.0,1490.0,1720.0,1580.0,1450.0,1280.0,1080.0,1200.0,1100.0,1450.0,1570.0,1790.0
01019,1300.0,1400.0,1430.0,1410.0,1490.0,1720.0,1580.0,1450.0,1280.0,1080.0,1200.0,1100.0,1450.0,1570.0,1790.0
01021,1300.0,1400.0,1430.0,1410.0,1490.0,1720.0,1580.0,1450.0,1280.0,1080.0,1200.0,1100.0,1450.0,1570.0,1790.0
01023,1300.0,1400.0,1430.0,1410.0,1490.0,1720.0,1580.0,1450.0,1280.0,1080.0,1200.0,1100.0,1450.0,1570.0,1790.0
01025,1300.0,1400.0,1430.0,1410.0,1490.0,1720.0,1580.0,1450.0,1280.0,1080.0,1200.0,1100.0,1450.0,1570.0,1790.0
