fips,2017,2018,2019,2020,2021,2022,2023,2024,2025
01,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01001,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01003,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01005,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01007,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01009,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01011,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01013,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01015,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01017,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01019,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01021,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01023,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01025,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01027,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01029,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01031,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01033,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01035,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01037,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01039,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01041,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01043,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01045,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01047,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01049,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01051,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01053,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01055,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01057,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01059,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01061,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01063,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01065,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01067,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01069,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01071,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01073,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01075,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01077,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01079,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01081,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01083,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01085,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01087,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01089,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01091,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01093,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01095,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01097,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01099,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01101,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01103,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01105,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01107,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01109,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01111,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01113,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01115,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01117,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01119,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01121,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01123,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01125,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01127,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01129,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01131,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
01133,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
04001,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
04003,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
04005,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
04007,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
04009,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
04011,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
04012,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
04013,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
04015,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
04017,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
04019,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
04021,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
04023,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
04025,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
04027,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
05001,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
05003,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
05005,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
05007,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
05009,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
05011,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
05013,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
05015,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
05017,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
05019,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
05021,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
05023,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
05025,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
05027,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
05029,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
05031,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
05033,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
05035,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
05037,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
05039,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
05041,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
05043,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
05045,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
05047,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
05049,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
05051,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
05053,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
05055,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
05057,0.370866,0.331763,0.380002,0.412107,0.38776,0.498411,0.38636,0.428907,0.461748
