fips,2017,2018,2019,2020,2021,2022,2023,2024,2025
01,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01001,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01003,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01005,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01007,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01009,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01011,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01013,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01015,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01017,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01019,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01021,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01023,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01025,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01027,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01029,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01031,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01033,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01035,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01037,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01039,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01041,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01043,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01045,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01047,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01049,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01051,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01053,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01055,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01057,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01059,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01061,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01063,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01065,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01067,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01069,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01071,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01073,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01075,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01077,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01079,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01081,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01083,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01085,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01087,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01089,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01091,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01093,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01095,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01097,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01099,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01101,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01103,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01105,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01107,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01109,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01111,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01113,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01115,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01117,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01119,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01121,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01123,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01125,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
01127,0.12099,0.135434,0.139022,0.148417,0.180407,0.227495,0.193953,0.136762,0.140027
