fips,2017,2018,2019,2020,2021,2022,2023,2024,2025
01,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
01001,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
01003,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
01005,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
01007,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
01009,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
01011,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
01013,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
01015,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
01017,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
01019,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
01021,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
01023,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
01025,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
01027,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
01029,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
01031,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
01033,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
01035,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
01037,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
01039,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
01041,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
01043,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
01045,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
01047,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
01049,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
01051,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
01053,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
01055,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
01057,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
01059,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
01061,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
01063,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
01065,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
01067,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
01069,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
01071,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
01073,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
01075,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
01077,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
01079,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
01081,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
01083,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
01085,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
01087,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
01089,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
01091,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
01093,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
01095,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
01097,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
01099,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
01101,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
01103,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
01105,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
01107,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
01109,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
01111,2.37997,2.22456,2.13873,2.13709,2.43396,2.86248,4.16285,5.73829,6.06911
