fips,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01,102.0,119.0,135.0,133.0,119.0,110.0,105.0,117.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
01001,96.1,125.0,127.0,122.0,112.0,98.8,88.5,108.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
01003,96.1,125.0,127.0,122.0,112.0,98.8,88.5,108.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
01005,96.1,125.0,127.0,122.0,112.0,98.8,88.5,108.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
01007,96.1,125.0,127.0,122.0,112.0,98.8,88.5,108.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
01009,96.1,125.0,127.0,122.0,112.0,98.8,88.5,108.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
01011,96.1,125.0,127.0,122.0,112.0,98.8,88.5,108.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
01013,96.1,125.0,127.0,122.0,112.0,98.8,88.5,108.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
01015,96.1,125.0,127.0,122.0,112.0,98.8,88.5,108.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
01017,96.1,125.0,127.0,122.0,112.0,98.8,88.5,108.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
01019,96.1,125.0,127.0,122.0,112.0,98.8,88.5,108.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
01021,96.1,125.0,127.0,122.0,112.0,98.8,88.5,108.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
01023,96.1,125.0,127.0,122.0,112.0,98.8,88.5,108.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
01025,96.1,125.0,127.0,122.0,112.0,98.8,88.5,108.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
