fips,2017,2018,2019,2020,2021,2022,2023,2024,2025
01,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
01001,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
01003,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
01005,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
01007,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
01009,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
01011,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
01013,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
01015,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
01017,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
01019,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
01021,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
01023,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
01025,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
01027,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
01029,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
01031,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
01033,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
01035,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
01037,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
01039,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
01041,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
01043,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
01045,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
01047,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
01049,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
01051,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
01053,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
01055,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
01057,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
01059,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
01061,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
01063,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
01065,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
01067,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
01069,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
01071,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
01073,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
01075,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
01077,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
01079,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
01081,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
01083,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
01085,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
01087,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
01089,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
01091,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
01093,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
01095,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
01097,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
01099,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
01101,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
01103,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
01105,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
01107,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
01109,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
01111,245.29,289.707,257.084,306.561,383.536,412.523,405.89,348.533,294.17
