fips,2017,2018,2019,2020,2021,2022,2023,2024,2025
01,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01001,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01003,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01005,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01007,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01009,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01011,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01013,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01015,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01017,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01019,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01021,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01023,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01025,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01027,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01029,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01031,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01033,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01035,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01037,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01039,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01041,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01043,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01045,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01047,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01049,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01051,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01053,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01055,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01057,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01059,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01061,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01063,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01065,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01067,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01069,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01071,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01073,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01075,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01077,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01079,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01081,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01083,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01085,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01087,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01089,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01091,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01093,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01095,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01097,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01099,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01101,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01103,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01105,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01107,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01109,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01111,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01113,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01115,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01117,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01119,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01121,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01123,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01125,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01127,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01129,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
01131,255.493,271.678,314.275,311.277,332.111,497.553,384.05,395.253,371.71
