fips,2017,2018,2019,2020,2021,2022,2023,2024,2025
01,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01001,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01003,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01005,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01007,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01009,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01011,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01013,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01015,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01017,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01019,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01021,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01023,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01025,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01027,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01029,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01031,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01033,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01035,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01037,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01039,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01041,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01043,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01045,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01047,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01049,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01051,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01053,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01055,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01057,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01059,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01061,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01063,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01065,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01067,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01069,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01071,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01073,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01075,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01077,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01079,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01081,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01083,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01085,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01087,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01089,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01091,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01093,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01095,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01097,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01099,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01101,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01103,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01105,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01107,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01109,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01111,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01113,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01115,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01117,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01119,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01121,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01123,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01125,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01127,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01129,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01131,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
01133,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
04001,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
04003,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
04005,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
04007,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
04009,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
04011,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
04012,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
04013,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
04015,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
04017,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
04019,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
04021,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
04023,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
04025,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
04027,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05001,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05003,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05005,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05007,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05009,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05011,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05013,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05015,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05017,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05019,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05021,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05023,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05025,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05027,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05029,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05031,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05033,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05035,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05037,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05039,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05041,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05043,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05045,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05047,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05049,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05051,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05053,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05055,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05057,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05059,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05061,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05063,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05065,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05067,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05069,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05071,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05073,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05075,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05077,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05079,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05081,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05083,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05085,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05087,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05089,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05091,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05093,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05095,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05097,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05099,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05101,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05103,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05105,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05107,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05109,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05111,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05113,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05115,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05117,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05119,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05121,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05123,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05125,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05127,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05129,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05131,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05133,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05135,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05137,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05139,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05141,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05143,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05145,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05147,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
05149,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06001,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06003,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06005,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06007,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06009,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06011,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06013,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06015,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06017,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06019,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06021,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06023,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06025,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06027,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06029,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06031,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06033,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06035,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06037,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06039,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06041,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06043,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06045,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06047,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06049,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06051,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06053,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06055,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06057,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06059,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06061,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06063,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06065,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06067,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06069,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06071,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06073,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06075,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06077,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06079,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06081,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06083,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06085,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06087,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06089,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06091,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06093,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06095,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06097,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06099,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06101,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06103,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06105,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06107,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06109,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06111,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06113,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
06115,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
08001,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
08003,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
08005,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
08007,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
08009,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
08011,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
08013,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
08014,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
08015,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
08017,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
08019,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
08021,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
08023,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
08025,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
08027,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
08029,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
08031,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
08033,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
08035,138.617,160.95,155.441,170.232,209.312,259.791,227.739,164.855,155.08
