fips,2017,2018,2019,2020,2021,2022,2023,2024,2025
01,55.9067,68.1833,69.2518,70.7592,98.0742,122.582,115.018,78.3233,74.6
01001,55.9067,68.1833,69.2518,70.7592,98.0742,122.582,115.018,78.3233,74.6
01003,55.9067,68.1833,69.2518,70.7592,98.0742,122.582,115.018,78.3233,74.6
01005,55.9067,68.1833,69.2518,70.7592,98.0742,122.582,115.018,78.3233,74.6
01007,55.9067,68.1833,69.2518,70.7592,98.0742,122.582,115.018,78.3233,74.6
01009,55.9067,68.1833,69.2518,70.7592,98.0742,122.582,115.018,78.3233,74.6
01011,55.9067,68.1833,69.2518,70.7592,98.0742,122.582,115.018,78.3233,74.6
01013,55.9067,68.1833,69.2518,70.7592,98.0742,122.582,115.018,78.3233,74.6
01015,55.9067,68.1833,69.2518,70.7592,98.0742,122.582,115.018,78.3233,74.6
01017,55.9067,68.1833,69.2518,70.7592,98.0742,122.582,115.018,78.3233,74.6
01019,55.9067,68.1833,69.2518,70.7592,98.0742,122.582,115.018,78.3233,74.6
01021,55.9067,68.1833,69.2518,70.7592,98.0742,122.582,115.018,78.3233,74.6
01023,55.9067,68.1833,69.2518,70.7592,98.0742,122.582,115.018,78.3233,74.6
01025,55.9067,68.1833,69.2518,70.7592,98.0742,122.582,115.018,78.3233,74.6
01027,55.9067,68.1833,69.2518,70.7592,98.0742,122.582,115.018,78.3233,74.6
01029,55.9067,68.1833,69.2518,70.7592,98.0742,122.582,115.018,78.3233,74.6
01031,55.9067,68.1833,69.2518,70.7592,98.0742,122.582,115.018,78.3233,74.6
01033,55.9067,68.1833,69.2518,70.7592,98.0742,122.582,115.018,78.3233,74.6
01035,55.9067,68.1833,69.2518,70.7592,98.0742,122.582,115.018,78.3233,74.6
01037,55.9067,68.1833,69.2518,70.7592,98.0742,122.582,115.018,78.3233,74.6
01039,55.9067,68.1833,69.2518,70.7592,98.0742,122.582,115.018,78.3233,74.6
01041,55.9067,68.1833,69.2518,70.7592,98.0742,122.582,115.018,78.3233,74.6
01043,55.9067,68.1833,69.2518,70.7592,98.0742,122.582,115.018,78.3233,74.6
01045,55.9067,68.1833,69.2518,70.7592,98.0742,122.582,115.018,78.3233,74.6
01047,55.9067,68.1833,69.2518,70.7592,98.0742,122.582,115.018,78.3233,74.6
01049,55.9067,68.1833,69.2518,70.7592,98.0742,122.582,115.018,78.3233,74.6
01051,55.9067,68.1833,69.2518,70.7592,98.0742,122.582,115.018,78.3233,74.6
01053,55.9067,68.1833,69.2518,70.7592,98.0742,122.582,115.018,78.3233,74.6
01055,55.9067,68.1833,69.2518,70.7592,98.0742,122.582,115.018,78.3233,74.6
01057,55.9067,68.1833,69.2518,70.7592,98.0742,122.582,115.018,78.3233,74.6
01059,55.9067,68.1833,69.2518,70.7592,98.0742,122.582,115.018,78.3233,74.6
01061,55.9067,68.1833,69.2518,70.7592,98.0742,122.582,115.018,78.3233,74.6
01063,55.9067,68.1833,69.2518,70.7592,98.0742,122.582,115.018,78.3233,74.6
01065,55.9067,68.1833,69.2518,70.7592,98.0742,122.582,115.018,78.3233,74.6
01067,55.9067,68.1833,69.2518,70.7592,98.0742,122.582,115.018,78.3233,74.6
01069,55.9067,68.1833,69.2518,70.7592,98.0742,122.582,115.018,78.3233,74.6
01071,55.9067,68.1833,69.2518,70.7592,98.0742,122.582,115.018,78.3233,74.6
01073,55.9067,68.1833,69.2518,70.7592,98.0742,122.582,115.018,78.3233,74.6
01075,55.9067,68.1833,69.2518,70.7592,98.0742,122.582,115.018,78.3233,74.6
01077,55.9067,68.1833,69.2518,70.7592,98.0742,122.582,115.018,78.3233,74.6
01079,55.9067,68.1833,69.2518,70.7592,98.0742,122.582,115.018,78.3233,74.6
01081,55.9067,68.1833,69.2518,70.7592,98.0742,122.582,115.018,78.3233,74.6
01083,55.9067,68.1833,69.2518,70.7592,98.0742,122.582,115.018,78.3233,74.6
01085,55.9067,68.1833,69.2518,70.7592,98.0742,122.582,115.018,78.3233,74.6
01087,55.9067,68.1833,69.2518,70.7592,98.0742,122.582,115.018,78.3233,74.6
01089,55.9067,68.1833,69.2518,70.7592,98.0742,122.582,115.018,78.3233,74.6
01091,55.9067,68.1833,69.2518,70.7592,98.0742,122.582,115.018,78.3233,74.6
01093,55.9067,68.1833,69.2518,70.7592,98.0742,122.582,115.018,78.3233,74.6
01095,55.9067,68.1833,69.2518,70.7592,98.0742,122.582,115.018,78.3233,74.6
01097,55.9067,68.1833,69.2518,70.7592,98.0742,122.582,115.018,78.3233,74.6
01099,55.9067,68.1833,69.2518,70.7592,98.0742,122.582,115.018,78.3233,74.6
01101,55.9067,68.1833,69.2518,70.7592,98.0742,122.582,115.018,78.3233,74.6
01103,55.9067,68.1833,69.2518,70.7592,98.0742,122.582,115.018,78.3233,74.6
01105,55.9067,68.1833,69.2518,70.7592,98.0742,122.582,115.018,78.3233,74.6
