fips,2017,2018,2019,2020,2021,2022,2023,2024,2025
01,39.7767,47.5183,48.8527,53.0408,69.9058,86.2958,83.5367,57.335,53.73
01001,39.7767,47.5183,48.8527,53.0408,69.9058,86.2958,83.5367,57.335,53.73
01003,39.7767,47.5183,48.8527,53.0408,69.9058,86.2958,83.5367,57.335,53.73
01005,39.7767,47.5183,48.8527,53.0408,69.9058,86.2958,83.5367,57.335,53.73
01007,39.7767,47.5183,48.8527,53.0408,69.9058,86.2958,83.5367,57.335,53.73
01009,39.7767,47.5183,48.8527,53.0408,69.9058,86.2958,83.5367,57.335,53.73
01011,39.7767,47.5183,48.8527,53.0408,69.9058,86.2958,83.5367,57.335,53.73
01013,39.7767,47.5183,48.8527,53.0408,69.9058,86.2958,83.5367,57.335,53.73
01015,39.7767,47.5183,48.8527,53.0408,69.9058,86.2958,83.5367,57.335,53.73
01017,39.7767,47.5183,48.8527,53.0408,69.9058,86.2958,83.5367,57.335,53.73
01019,39.7767,47.5183,48.8527,53.0408,69.9058,86.2958,83.5367,57.335,53.73
01021,39.7767,47.5183,48.8527,53.0408,69.9058,86.2958,83.5367,57.335,53.73
01023,39.7767,47.5183,48.8527,53.0408,69.9058,86.2958,83.5367,57.335,53.73
01025,39.7767,47.5183,48.8527,53.0408,69.9058,86.2958,83.5367,57.335,53.73
01027,39.7767,47.5183,48.8527,53.0408,69.9058,86.2958,83.5367,57.335,53.73
01029,39.7767,47.5183,48.8527,53.0408,69.9058,86.2958,83.5367,57.335,53.73
01031,39.7767,47.5183,48.8527,53.0408,69.9058,86.2958,83.5367,57.335,53.73
01033,39.7767,47.5183,48.8527,53.0408,69.9058,86.2958,83.5367,57.335,53.73
01035,39.7767,47.5183,48.8527,53.0408,69.9058,86.2958,83.5367,57.335,53.73
01037,39.7767,47.5183,48.8527,53.0408,69.9058,86.2958,83.5367,57.335,53.73
01039,39.7767,47.5183,48.8527,53.0408,69.9058,86.2958,83.5367,57.335,53.73
01041,39.7767,47.5183,48.8527,53.0408,69.9058,86.2958,83.5367,57.335,53.73
01043,39.7767,47.5183,48.8527,53.0408,69.9058,86.2958,83.5367,57.335,53.73
01045,39.7767,47.5183,48.8527,53.0408,69.9058,86.2958,83.5367,57.335,53.73
01047,39.7767,47.5183,48.8527,53.0408,69.9058,86.2958,83.5367,57.335,53.73
01049,39.7767,47.5183,48.8527,53.0408,69.9058,86.2958,83.5367,57.335,53.73
01051,39.7767,47.5183,48.8527,53.0408,69.9058,86.2958,83.5367,57.335,53.73
01053,39.7767,47.5183,48.8527,53.0408,69.9058,86.2958,83.5367,57.335,53.73
01055,39.7767,47.5183,48.8527,53.0408,69.9058,86.2958,83.5367,57.335,53.73
01057,39.7767,47.5183,48.8527,53.0408,69.9058,86.2958,83.5367,57.335,53.73
01059,39.7767,47.5183,48.8527,53.0408,69.9058,86.2958,83.5367,57.335,53.73
01061,39.7767,47.5183,48.8527,53.0408,69.9058,86.2958,83.5367,57.335,53.73
01063,39.7767,47.5183,48.8527,53.0408,69.9058,86.2958,83.5367,57.335,53.73
01065,39.7767,47.5183,48.8527,53.0408,69.9058,86.2958,83.5367,57.335,53.73
01067,39.7767,47.5183,48.8527,53.0408,69.9058,86.2958,83.5367,57.335,53.73
01069,39.7767,47.5183,48.8527,53.0408,69.9058,86.2958,83.5367,57.335,53.73
01071,39.7767,47.5183,48.8527,53.0408,69.9058,86.2958,83.5367,57.335,53.73
01073,39.7767,47.5183,48.8527,53.0408,69.9058,86.2958,83.5367,57.335,53.73
01075,39.7767,47.5183,48.8527,53.0408,69.9058,86.2958,83.5367,57.335,53.73
01077,39.7767,47.5183,48.8527,53.0408,69.9058,86.2958,83.5367,57.335,53.73
01079,39.7767,47.5183,48.8527,53.0408,69.9058,86.2958,83.5367,57.335,53.73
01081,39.7767,47.5183,48.8527,53.0408,69.9058,86.2958,83.5367,57.335,53.73
01083,39.7767,47.5183,48.8527,53.0408,69.9058,86.2958,83.5367,57.335,53.73
01085,39.7767,47.5183,48.8527,53.0408,69.9058,86.2958,83.5367,57.335,53.73
01087,39.7767,47.5183,48.8527,53.0408,69.9058,86.2958,83.5367,57.335,53.73
