fips,2017,2018,2019,2020,2021,2022,2023,2024,2025
01,76.3,79.4467,102.606,104.168,126.927,168.507,118.561,124.203,138.01
01001,76.3,79.4467,102.606,104.168,126.927,168.507,118.561,124.203,138.01
01003,76.3,79.4467,102.606,104.168,126.927,168.507,118.561,124.203,138.01
01005,76.3,79.4467,102.606,104.168,126.927,168.507,118.561,124.203,138.01
01007,76.3,79.4467,102.606,104.168,126.927,168.507,118.561,124.203,138.01
01009,76.3,79.4467,102.606,104.168,126.927,168.507,118.561,124.203,138.01
01011,76.3,79.4467,102.606,104.168,126.927,168.507,118.561,124.203,138.01
01013,76.3,79.4467,102.606,104.168,126.927,168.507,118.561,124.203,138.01
01015,76.3,79.4467,102.606,104.168,126.927,168.507,118.561,124.203,138.01
01017,76.3,79.4467,102.606,104.168,126.927,168.507,118.561,124.203,138.01
01019,76.3,79.4467,102.606,104.168,126.927,168.507,118.561,124.203,138.01
01021,76.3,79.4467,102.606,104.168,126.927,168.507,118.561,124.203,138.01
01023,76.3,79.4467,102.606,104.168,126.927,168.507,118.561,124.203,138.01
01025,76.3,79.4467,102.606,104.168,126.927,168.507,118.561,124.203,138.01
01027,76.3,79.4467,102.606,104.168,126.927,168.507,118.561,124.203,138.01
01029,76.3,79.4467,102.606,104.168,126.927,168.507,118.561,124.203,138.01
01031,76.3,79.4467,102.606,104.168,126.927,168.507,118.561,124.203,138.01
01033,76.3,79.4467,102.606,104.168,126.927,168.507,118.561,124.203,138.01
01035,76.3,79.4467,102.606,104.168,126.927,168.507,118.561,124.203,138.01
01037,76.3,79.4467,102.606,104.168,126.927,168.507,118.561,124.203,138.01
01039,76.3,79.4467,102.606,104.168,126.927,168.507,118.561,124.203,138.01
01041,76.3,79.4467,102.606,104.168,126.927,168.507,118.561,124.203,138.01
01043,76.3,79.4467,102.606,104.168,126.927,168.507,118.561,124.203,138.01
01045,76.3,79.4467,102.606,104.168,126.927,168.507,118.561,124.203,138.01
01047,76.3,79.4467,102.606,104.168,126.927,168.507,118.561,124.203,138.01
01049,76.3,79.4467,102.606,104.168,126.927,168.507,118.561,124.203,138.01
01051,76.3,79.4467,102.606,104.168,126.927,168.507,118.561,124.203,138.01
01053,76.3,79.4467,102.606,104.168,126.927,168.507,118.561,124.203,138.01
01055,76.3,79.4467,102.606,104.168,126.927,168.507,118.561,124.203,138.01
01057,76.3,79.4467,102.606,104.168,126.927,168.507,118.561,124.203,138.01
01059,76.3,79.4467,102.606,104.168,126.927,168.507,118.561,124.203,138.01
01061,76.3,79.4467,102.606,104.168,126.927,168.507,118.561,124.203,138.01
01063,76.3,79.4467,102.606,104.168,126.927,168.507,118.561,124.203,138.01
