fips,2017,2018,2019,2020,2021,2022,2023,2024,2025
01,109.76,122.863,126.119,134.642,163.662,206.38,175.952,124.068,127.03
01001,109.76,122.863,126.119,134.642,163.662,206.38,175.952,124.068,127.03
01003,109.76,122.863,126.119,134.642,163.662,206.38,175.952,124.068,127.03
01005,109.76,122.863,126.119,134.642,163.662,206.38,175.952,124.068,127.03
01007,109.76,122.863,126.119,134.642,163.662,206.38,175.952,124.068,127.03
01009,109.76,122.863,126.119,134.642,163.662,206.38,175.952,124.068,127.03
01011,109.76,122.863,126.119,134.642,163.662,206.38,175.952,124.068,127.03
01013,109.76,122.863,126.119,134.642,163.662,206.38,175.952,124.068,127.03
01015,109.76,122.863,126.119,134.642,163.662,206.38,175.952,124.068,127.03
01017,109.76,122.863,126.119,134.642,163.662,206.38,175.952,124.068,127.03
01019,109.76,122.863,126.119,134.642,163.662,206.38,175.952,124.068,127.03
01021,109.76,122.863,126.119,134.642,163.662,206.38,175.952,124.068,127.03
01023,109.76,122.863,126.119,134.642,163.662,206.38,175.952,124.068,127.03
01025,109.76,122.863,126.119,134.642,163.662,206.38,175.952,124.068,127.03
01027,109.76,122.863,126.119,134.642,163.662,206.38,175.952,124.068,127.03
01029,109.76,122.863,126.119,134.642,163.662,206.38,175.952,124.068,127.03
01031,109.76,122.863,126.119,134.642,163.662,206.38,175.952,124.068,127.03
01033,109.76,122.863,126.119,134.642,163.662,206.38,175.952,124.068,127.03
01035,109.76,122.863,126.119,134.642,163.662,206.38,175.952,124.068,127.03
01037,109.76,122.863,126.119,134.642,163.662,206.38,175.952,124.068,127.03
01039,109.76,122.863,126.119,134.642,163.662,206.38,175.952,124.068,127.03
01041,109.76,122.863,126.119,134.642,163.662,206.38,175.952,124.068,127.03
01043,109.76,122.863,126.119,134.642,163.662,206.38,175.952,124.068,127.03
01045,109.76,122.863,126.119,134.642,163.662,206.38,175.952,124.068,127.03
01047,109.76,122.863,126.119,134.642,163.662,206.38,175.952,124.068,127.03
01049,109.76,122.863,126.119,134.642,163.662,206.38,175.952,124.068,127.03
01051,109.76,122.863,126.119,134.642,163.662,206.38,175.952,124.068,127.03
01053,109.76,122.863,126.119,134.642,163.662,206.38,175.952,124.068,127.03
01055,109.76,122.863,126.119,134.642,163.662,206.38,175.952,124.068,127.03
01057,109.76,122.863,126.119,134.642,163.662,206.38,175.952,124.068,127.03
01059,109.76,122.863,126.119,134.642,163.662,206.38,175.952,124.068,127.03
01061,109.76,122.863,126.119,134.642,163.662,206.38,175.952,124.068,127.03
01063,109.76,122.863,126.119,134.642,163.662,206.38,175.952,124.068,127.03
01065,109.76,122.863,126.119,134.642,163.662,206.38,175.952,124.068,127.03
01067,109.76,122.863,126.119,134.642,163.662,206.38,175.952,124.068,127.03
01069,109.76,122.863,126.119,134.642,163.662,206.38,175.952,124.068,127.03
01071,109.76,122.863,126.119,134.642,163.662,206.38,175.952,124.068,127.03
01073,109.76,122.863,126.119,134.642,163.662,206.38,175.952,124.068,127.03
01075,109.76,122.863,126.119,134.642,163.662,206.38,175.952,124.068,127.03
01077,109.76,122.863,126.119,134.642,163.662,206.38,175.952,124.068,127.03
01079,109.76,122.863,126.119,134.642,163.662,206.38,175.952,124.068,127.03
01081,109.76,122.863,126.119,134.642,163.662,206.38,175.952,124.068,127.03
01083,109.76,122.863,126.119,134.642,163.662,206.38,175.952,124.068,127.03
01085,109.76,122.863,126.119,134.642,163.662,206.38,175.952,124.068,127.03
