fips,2017,2018,2019,2020,2021,2022,2023,2024,2025
01,34.7233,34.2183,38.7218,36.2067,57.4425,60.5742,36.1833,49.13,72.18
01001,34.7233,34.2183,38.7218,36.2067,57.4425,60.5742,36.1833,49.13,72.18
01003,34.7233,34.2183,38.7218,36.2067,57.4425,60.5742,36.1833,49.13,72.18
01005,34.7233,34.2183,38.7218,36.2067,57.4425,60.5742,36.1833,49.13,72.18
01007,34.7233,34.2183,38.7218,36.2067,57.4425,60.5742,36.1833,49.13,72.18
01009,34.7233,34.2183,38.7218,36.2067,57.4425,60.5742,36.1833,49.13,72.18
01011,34.7233,34.2183,38.7218,36.2067,57.4425,60.5742,36.1833,49.13,72.18
01013,34.7233,34.2183,38.7218,36.2067,57.4425,60.5742,36.1833,49.13,72.18
01015,34.7233,34.2183,38.7218,36.2067,57.4425,60.5742,36.1833,49.13,72.18
01017,34.7233,34.2183,38.7218,36.2067,57.4425,60.5742,36.1833,49.13,72.18
01019,34.7233,34.2183,38.7218,36.2067,57.4425,60.5742,36.1833,49.13,72.18
01021,34.7233,34.2183,38.7218,36.2067,57.4425,60.5742,36.1833,49.13,72.18
01023,34.7233,34.2183,38.7218,36.2067,57.4425,60.5742,36.1833,49.13,72.18
01025,34.7233,34.2183,38.7218,36.2067,57.4425,60.5742,36.1833,49.13,72.18
01027,34.7233,34.2183,38.7218,36.2067,57.4425,60.5742,36.1833,49.13,72.18
01029,34.7233,34.2183,38.7218,36.2067,57.4425,60.5742,36.1833,49.13,72.18
01031,34.7233,34.2183,38.7218,36.2067,57.4425,60.5742,36.1833,49.13,72.18
01033,34.7233,34.2183,38.7218,36.2067,57.4425,60.5742,36.1833,49.13,72.18
01035,34.7233,34.2183,38.7218,36.2067,57.4425,60.5742,36.1833,49.13,72.18
01037,34.7233,34.2183,38.7218,36.2067,57.4425,60.5742,36.1833,49.13,72.18
01039,34.7233,34.2183,38.7218,36.2067,57.4425,60.5742,36.1833,49.13,72.18
01041,34.7233,34.2183,38.7218,36.2067,57.4425,60.5742,36.1833,49.13,72.18
01043,34.7233,34.2183,38.7218,36.2067,57.4425,60.5742,36.1833,49.13,72.18
01045,34.7233,34.2183,38.7218,36.2067,57.4425,60.5742,36.1833,49.13,72.18
01047,34.7233,34.2183,38.7218,36.2067,57.4425,60.5742,36.1833,49.13,72.18
01049,34.7233,34.2183,38.7218,36.2067,57.4425,60.5742,36.1833,49.13,72.18
01051,34.7233,34.2183,38.7218,36.2067,57.4425,60.5742,36.1833,49.13,72.18
01053,34.7233,34.2183,38.7218,36.2067,57.4425,60.5742,36.1833,49.13,72.18
01055,34.7233,34.2183,38.7218,36.2067,57.4425,60.5742,36.1833,49.13,72.18
01057,34.7233,34.2183,38.7218,36.2067,57.4425,60.5742,36.1833,49.13,72.18
01059,34.7233,34.2183,38.7218,36.2067,57.4425,60.5742,36.1833,49.13,72.18
01061,34.7233,34.2183,38.7218,36.2067,57.4425,60.5742,36.1833,49.13,72.18
01063,34.7233,34.2183,38.7218,36.2067,57.4425,60.5742,36.1833,49.13,72.18
01065,34.7233,34.2183,38.7218,36.2067,57.4425,60.5742,36.1833,49.13,72.18
01067,34.7233,34.2183,38.7218,36.2067,57.4425,60.5742,36.1833,49.13,72.18
01069,34.7233,34.2183,38.7218,36.2067,57.4425,60.5742,36.1833,49.13,72.18
01071,34.7233,34.2183,38.7218,36.2067,57.4425,60.5742,36.1833,49.13,72.18
01073,34.7233,34.2183,38.7218,36.2067,57.4425,60.5742,36.1833,49.13,72.18
01075,34.7233,34.2183,38.7218,36.2067,57.4425,60.5742,36.1833,49.13,72.18
01077,34.7233,34.2183,38.7218,36.2067,57.4425,60.5742,36.1833,49.13,72.18
01079,34.7233,34.2183,38.7218,36.2067,57.4425,60.5742,36.1833,49.13,72.18
01081,34.7233,34.2183,38.7218,36.2067,57.4425,60.5742,36.1833,49.13,72.18
01083,34.7233,34.2183,38.7218,36.2067,57.4425,60.5742,36.1833,49.13,72.18
01085,34.7233,34.2183,38.7218,36.2067,57.4425,60.5742,36.1833,49.13,72.18
01087,34.7233,34.2183,38.7218,36.2067,57.4425,60.5742,36.1833,49.13,72.18
01089,34.7233,34.2183,38.7218,36.2067,57.4425,60.5742,36.1833,49.13,72.18
01091,34.7233,34.2183,38.7218,36.2067,57.4425,60.5742,36.1833,49.13,72.18
01093,34.7233,34.2183,38.7218,36.2067,57.4425,60.5742,36.1833,49.13,72.18
01095,34.7233,34.2183,38.7218,36.2067,57.4425,60.5742,36.1833,49.13,72.18
01097,34.7233,34.2183,38.7218,36.2067,57.4425,60.5742,36.1833,49.13,72.18
01099,34.7233,34.2183,38.7218,36.2067,57.4425,60.5742,36.1833,49.13,72.18
01101,34.7233,34.2183,38.7218,36.2067,57.4425,60.5742,36.1833,49.13,72.18
01103,34.7233,34.2183,38.7218,36.2067,57.4425,60.5742,36.1833,49.13,72.18
01105,34.7233,34.2183,38.7218,36.2067,57.4425,60.5742,36.1833,49.13,72.18
01107,34.7233,34.2183,38.7218,36.2067,57.4425,60.5742,36.1833,49.13,72.18
01109,34.7233,34.2183,38.7218,36.2067,57.4425,60.5742,36.1833,49.13,72.18
