fips,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.5,65.1,60.5,62.2,67.4,67.9,65.4,76.5,75.7,71.8,66.8,70.9,73.3,73.8,70.9,74.6,81.4,102.0,110.0,118.0,97.3,97.0,132.0,144.0,139.0,130.0,121.0,118.0,120.0,139.0,135.0,132.0,153.0,177.0,172.0
01001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,33.5,40.5,41.0,41.0,56.5,54.5,55.0,56.0,60.5,59.0,63.5,63.5,63.0,65.5,63.5,63.5,60.0,61.0,48.5,51.0,79.0,47.0,50.0,49.0,47.0,53.0,55.0,56.0,55.0,57.0,58.0,57.0,57.0,68.0,97.0,98.0,74.0,85.0,81.0,82.0,88.0,106.0,110.0,110.0,98.0,95.0,87.0,96.0,98.0,127.0,112.0
01003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,33.5,40.5,41.0,41.0,56.5,54.5,55.0,56.0,60.5,59.0,63.5,63.5,63.0,65.5,63.5,63.5,60.0,61.0,48.5,51.0,79.0,47.0,50.0,49.0,47.0,53.0,55.0,56.0,55.0,57.0,58.0,57.0,57.0,68.0,97.0,98.0,74.0,85.0,81.0,82.0,88.0,106.0,110.0,110.0,98.0,95.0,87.0,96.0,98.0,127.0,112.0
01005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,33.5,40.5,41.0,41.0,56.5,54.5,55.0,56.0,60.5,59.0,63.5,63.5,63.0,65.5,63.5,63.5,60.0,61.0,48.5,51.0,79.0,47.0,50.0,49.0,47.0,53.0,55.0,56.0,55.0,57.0,58.0,57.0,57.0,68.0,97.0,98.0,74.0,85.0,81.0,82.0,88.0,106.0,110.0,110.0,98.0,95.0,87.0,96.0,98.0,127.0,112.0
01007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,33.5,40.5,41.0,41.0,56.5,54.5,55.0,56.0,60.5,59.0,63.5,63.5,63.0,65.5,63.5,63.5,60.0,61.0,48.5,51.0,79.0,47.0,50.0,49.0,47.0,53.0,55.0,56.0,55.0,57.0,58.0,57.0,57.0,68.0,97.0,98.0,74.0,85.0,81.0,82.0,88.0,106.0,110.0,110.0,98.0,95.0,87.0,96.0,98.0,127.0,112.0
01009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,33.5,40.5,41.0,41.0,56.5,54.5,55.0,56.0,60.5,59.0,63.5,63.5,63.0,65.5,63.5,63.5,60.0,61.0,48.5,51.0,79.0,47.0,50.0,49.0,47.0,53.0,55.0,56.0,55.0,57.0,58.0,57.0,57.0,68.0,97.0,98.0,74.0,85.0,81.0,82.0,88.0,106.0,110.0,110.0,98.0,95.0,87.0,96.0,98.0,127.0,112.0
01011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,33.5,40.5,41.0,41.0,56.5,54.5,55.0,56.0,60.5,59.0,63.5,63.5,63.0,65.5,63.5,63.5,60.0,61.0,48.5,51.0,79.0,47.0,50.0,49.0,47.0,53.0,55.0,56.0,55.0,57.0,58.0,57.0,57.0,68.0,97.0,98.0,74.0,85.0,81.0,82.0,88.0,106.0,110.0,110.0,98.0,95.0,87.0,96.0,98.0,127.0,112.0
01013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,33.5,40.5,41.0,41.0,56.5,54.5,55.0,56.0,60.5,59.0,63.5,63.5,63.0,65.5,63.5,63.5,60.0,61.0,48.5,51.0,79.0,47.0,50.0,49.0,47.0,53.0,55.0,56.0,55.0,57.0,58.0,57.0,57.0,68.0,97.0,98.0,74.0,85.0,81.0,82.0,88.0,106.0,110.0,110.0,98.0,95.0,87.0,96.0,98.0,127.0,112.0
01015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,33.5,40.5,41.0,41.0,56.5,54.5,55.0,56.0,60.5,59.0,63.5,63.5,63.0,65.5,63.5,63.5,60.0,61.0,48.5,51.0,79.0,47.0,50.0,49.0,47.0,53.0,55.0,56.0,55.0,57.0,58.0,57.0,57.0,68.0,97.0,98.0,74.0,85.0,81.0,82.0,88.0,106.0,110.0,110.0,98.0,95.0,87.0,96.0,98.0,127.0,112.0
01017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,33.5,40.5,41.0,41.0,56.5,54.5,55.0,56.0,60.5,59.0,63.5,63.5,63.0,65.5,63.5,63.5,60.0,61.0,48.5,51.0,79.0,47.0,50.0,49.0,47.0,53.0,55.0,56.0,55.0,57.0,58.0,57.0,57.0,68.0,97.0,98.0,74.0,85.0,81.0,82.0,88.0,106.0,110.0,110.0,98.0,95.0,87.0,96.0,98.0,127.0,112.0
