fips,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01,227.398,329.003,337.773,303.152,330.106,445.305,442.683,387.732,320.26,319.079,316.148,338.912,303.891,319.633,382.786,443.352,438.291,335.356
01001,227.398,329.003,337.773,303.152,330.106,445.305,442.683,387.732,320.26,319.079,316.148,338.912,303.891,319.633,382.786,443.352,438.291,335.356
01003,227.398,329.003,337.773,303.152,330.106,445.305,442.683,387.732,320.26,319.079,316.148,338.912,303.891,319.633,382.786,443.352,438.291,335.356
01005,227.398,329.003,337.773,303.152,330.106,445.305,442.683,387.732,320.26,319.079,316.148,338.912,303.891,319.633,382.786,443.352,438.291,335.356
01007,227.398,329.003,337.773,303.152,330.106,445.305,442.683,387.732,320.26,319.079,316.148,338.912,303.891,319.633,382.786,443.352,438.291,335.356
01009,227.398,329.003,337.773,303.152,330.106,445.305,442.683,387.732,320.26,319.079,316.148,338.912,303.891,319.633,382.786,443.352,438.291,335.356
01011,227.398,329.003,337.773,303.152,330.106,445.305,442.683,387.732,320.26,319.079,316.148,338.912,303.891,319.633,382.786,443.352,438.291,335.356
01013,227.398,329.003,337.773,303.152,330.106,445.305,442.683,387.732,320.26,319.079,316.148,338.912,303.891,319.633,382.786,443.352,438.291,335.356
01015,227.398,329.003,337.773,303.152,330.106,445.305,442.683,387.732,320.26,319.079,316.148,338.912,303.891,319.633,382.786,443.352,438.291,335.356
01017,227.398,329.003,337.773,303.152,330.106,445.305,442.683,387.732,320.26,319.079,316.148,338.912,303.891,319.633,382.786,443.352,438.291,335.356
01019,227.398,329.003,337.773,303.152,330.106,445.305,442.683,387.732,320.26,319.079,316.148,338.912,303.891,319.633,382.786,443.352,438.291,335.356
01021,227.398,329.003,337.773,303.152,330.106,445.305,442.683,387.732,320.26,319.079,316.148,338.912,303.891,319.633,382.786,443.352,438.291,335.356
01023,227.398,329.003,337.773,303.152,330.106,445.305,442.683,387.732,320.26,319.079,316.148,338.912,303.891,319.633,382.786,443.352,438.291,335.356
01025,227.398,329.003,337.773,303.152,330.106,445.305,442.683,387.732,320.26,319.079,316.148,338.912,303.891,319.633,382.786,443.352,438.291,335.356
01027,227.398,329.003,337.773,303.152,330.106,445.305,442.683,387.732,320.26,319.079,316.148,338.912,303.891,319.633,382.786,443.352,438.291,335.356
01029,227.398,329.003,337.773,303.152,330.106,445.305,442.683,387.732,320.26,319.079,316.148,338.912,303.891,319.633,382.786,443.352,438.291,335.356
01031,227.398,329.003,337.773,303.152,330.106,445.305,442.683,387.732,320.26,319.079,316.148,338.912,303.891,319.633,382.786,443.352,438.291,335.356
01033,227.398,329.003,337.773,303.152,330.106,445.305,442.683,387.732,320.26,319.079,316.148,338.912,303.891,319.633,382.786,443.352,438.291,335.356
01035,227.398,329.003,337.773,303.152,330.106,445.305,442.683,387.732,320.26,319.079,316.148,338.912,303.891,319.633,382.786,443.352,438.291,335.356
01037,227.398,329.003,337.773,303.152,330.106,445.305,442.683,387.732,320.26,319.079,316.148,338.912,303.891,319.633,382.786,443.352,438.291,335.356
01039,227.398,329.003,337.773,303.152,330.106,445.305,442.683,387.732,320.26,319.079,316.148,338.912,303.891,319.633,382.786,443.352,438.291,335.356
01041,227.398,329.003,337.773,303.152,330.106,445.305,442.683,387.732,320.26,319.079,316.148,338.912,303.891,319.633,382.786,443.352,438.291,335.356
01043,227.398,329.003,337.773,303.152,330.106,445.305,442.683,387.732,320.26,319.079,316.148,338.912,303.891,319.633,382.786,443.352,438.291,335.356
01045,227.398,329.003,337.773,303.152,330.106,445.305,442.683,387.732,320.26,319.079,316.148,338.912,303.891,319.633,382.786,443.352,438.291,335.356
01047,227.398,329.003,337.773,303.152,330.106,445.305,442.683,387.732,320.26,319.079,316.148,338.912,303.891,319.633,382.786,443.352,438.291,335.356
