fips,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01,1.79,2.21,2.15,2.19,3.17,3.19,3.53,2.67,2.16,2.01,2.28,2.5,2.34,2.0,1.8,1.86,1.86,1.34,0.481,0.529,0.917,0.963,0.714,1.25,0.837,0.664,0.802,0.892,1.55,1.6,1.81,2.05,2.08,2.57,3.33,2.27,2.16,2.47,2.73,2.72,2.72,2.46,2.22,2.18,2.07,2.0,1.96,2.13,2.28,2.34,2.51,2.62,2.54,2.75,2.49,2.43,2.35,2.85,3.03,4.37,5.68,6.64,4.92,6.81,5.88,6.66,6.29,7.6,6.07,5.71,7.83,5.84,5.05,4.78,5.88,7.42,5.69,5.74,5.58,5.56,6.4,5.48,6.72,7.35,6.47,4.93,4.63,4.54,4.38,5.53,7.34,5.74,5.66,6.43,10.1,9.97,9.59,11.3,12.5,14.4,13.0,10.1,8.95,9.47,9.33,8.48,8.57,10.8,13.3,14.2,12.4
01001,1.79,2.21,2.15,2.19,3.17,3.19,3.53,2.67,2.16,2.01,2.28,2.5,2.3,2.3,2.18,2.05,2.53,2.29,1.31,1.35,1.69,1.54,2,1.93,1.57,2.14,2.43,2.33,2.17,2.58,3.06,3.29,3.12,3.1,3.15,2.53,2.03,2.16,2.51,2.73,2.42,2.36,2.15,2.24,2.08,2.01,1.7,2.05,2.3,2.36,2.61,2.64,2.47,2.81,2.5,2.42,2.31,2.82,2.92,3.81,5.64,7.01,4.88,6.44,5.68,6.43,6.15,7.63,6.08,5.36,7.8,6.07,5.06,4.91,5.78,7.58,5.74,5.89,5.6,5.63,6.4,5.65,7.1,7.4,6.65,5.3,4.8,4.75,4.6,5.55,7.25,6.25,5.95,6.85,11.4,10.3,10,11.1,12,14.6,12.9,10,8.95,9.83,9.43,8.5,9.1,11.7,13.5,14.2,12.6
01003,1.79,2.21,2.15,2.19,3.17,3.19,3.53,2.67,2.16,2.01,2.28,2.5,2.3,2.3,2.18,2.05,2.53,2.29,1.31,1.35,1.69,1.54,2,1.93,1.57,2.14,2.43,2.33,2.17,2.58,3.06,3.29,3.12,3.1,3.15,2.53,2.03,2.16,2.51,2.73,2.42,2.36,2.15,2.24,2.08,2.01,1.7,2.05,2.3,2.36,2.61,2.64,2.47,2.81,2.5,2.42,2.31,2.82,2.92,3.81,5.64,7.01,4.88,6.44,5.68,6.43,6.15,7.63,6.08,5.36,7.8,6.07,5.06,4.91,5.78,7.58,5.74,5.89,5.6,5.63,6.4,5.65,7.1,7.4,6.65,5.3,4.8,4.75,4.6,5.55,7.25,6.25,5.95,6.85,11.4,10.3,10,11.1,12,14.6,12.9,10,8.95,9.83,9.43,8.5,9.1,11.7,13.5,14.2,12.6
01005,1.79,2.21,2.15,2.19,3.17,3.19,3.53,2.67,2.16,2.01,2.28,2.5,2.3,2.3,2.18,2.05,2.53,2.29,1.31,1.35,1.69,1.54,2,1.93,1.57,2.14,2.43,2.33,2.17,2.58,3.06,3.29,3.12,3.1,3.15,2.53,2.03,2.16,2.51,2.73,2.42,2.36,2.15,2.24,2.08,2.01,1.7,2.05,2.3,2.36,2.61,2.64,2.47,2.81,2.5,2.42,2.31,2.82,2.92,3.81,5.64,7.01,4.88,6.44,5.68,6.43,6.15,7.63,6.08,5.36,7.8,6.07,5.06,4.91,5.78,7.58,5.74,5.89,5.6,5.63,6.4,5.65,7.1,7.4,6.65,5.3,4.8,4.75,4.6,5.55,7.25,6.25,5.95,6.85,11.4,10.3,10,11.1,12,14.6,12.9,10,8.95,9.83,9.43,8.5,9.1,11.7,13.5,14.2,12.6
01007,1.79,2.21,2.15,2.19,3.17,3.19,3.53,2.67,2.16,2.01,2.28,2.5,2.3,2.3,2.18,2.05,2.53,2.29,1.31,1.35,1.69,1.54,2,1.93,1.57,2.14,2.43,2.33,2.17,2.58,3.06,3.29,3.12,3.1,3.15,2.53,2.03,2.16,2.51,2.73,2.42,2.36,2.15,2.24,2.08,2.01,1.7,2.05,2.3,2.36,2.61,2.64,2.47,2.81,2.5,2.42,2.31,2.82,2.92,3.81,5.64,7.01,4.88,6.44,5.68,6.43,6.15,7.63,6.08,5.36,7.8,6.07,5.06,4.91,5.78,7.58,5.74,5.89,5.6,5.63,6.4,5.65,7.1,7.4,6.65,5.3,4.8,4.75,4.6,5.55,7.25,6.25,5.95,6.85,11.4,10.3,10,11.1,12,14.6,12.9,10,8.95,9.83,9.43,8.5,9.1,11.7,13.5,14.2,12.6
01009,1.79,2.21,2.15,2.19,3.17,3.19,3.53,2.67,2.16,2.01,2.28,2.5,2.3,2.3,2.18,2.05,2.53,2.29,1.31,1.35,1.69,1.54,2,1.93,1.57,2.14,2.43,2.33,2.17,2.58,3.06,3.29,3.12,3.1,3.15,2.53,2.03,2.16,2.51,2.73,2.42,2.36,2.15,2.24,2.08,2.01,1.7,2.05,2.3,2.36,2.61,2.64,2.47,2.81,2.5,2.42,2.31,2.82,2.92,3.81,5.64,7.01,4.88,6.44,5.68,6.43,6.15,7.63,6.08,5.36,7.8,6.07,5.06,4.91,5.78,7.58,5.74,5.89,5.6,5.63,6.4,5.65,7.1,7.4,6.65,5.3,4.8,4.75,4.6,5.55,7.25,6.25,5.95,6.85,11.4,10.3,10,11.1,12,14.6,12.9,10,8.95,9.83,9.43,8.5,9.1,11.7,13.5,14.2,12.6
01011,1.79,2.21,2.15,2.19,3.17,3.19,3.53,2.67,2.16,2.01,2.28,2.5,2.3,2.3,2.18,2.05,2.53,2.29,1.31,1.35,1.69,1.54,2,1.93,1.57,2.14,2.43,2.33,2.17,2.58,3.06,3.29,3.12,3.1,3.15,2.53,2.03,2.16,2.51,2.73,2.42,2.36,2.15,2.24,2.08,2.01,1.7,2.05,2.3,2.36,2.61,2.64,2.47,2.81,2.5,2.42,2.31,2.82,2.92,3.81,5.64,7.01,4.88,6.44,5.68,6.43,6.15,7.63,6.08,5.36,7.8,6.07,5.06,4.91,5.78,7.58,5.74,5.89,5.6,5.63,6.4,5.65,7.1,7.4,6.65,5.3,4.8,4.75,4.6,5.55,7.25,6.25,5.95,6.85,11.4,10.3,10,11.1,12,14.6,12.9,10,8.95,9.83,9.43,8.5,9.1,11.7,13.5,14.2,12.6
01013,1.79,2.21,2.15,2.19,3.17,3.19,3.53,2.67,2.16,2.01,2.28,2.5,2.3,2.3,2.18,2.05,2.53,2.29,1.31,1.35,1.69,1.54,2,1.93,1.57,2.14,2.43,2.33,2.17,2.58,3.06,3.29,3.12,3.1,3.15,2.53,2.03,2.16,2.51,2.73,2.42,2.36,2.15,2.24,2.08,2.01,1.7,2.05,2.3,2.36,2.61,2.64,2.47,2.81,2.5,2.42,2.31,2.82,2.92,3.81,5.64,7.01,4.88,6.44,5.68,6.43,6.15,7.63,6.08,5.36,7.8,6.07,5.06,4.91,5.78,7.58,5.74,5.89,5.6,5.63,6.4,5.65,7.1,7.4,6.65,5.3,4.8,4.75,4.6,5.55,7.25,6.25,5.95,6.85,11.4,10.3,10,11.1,12,14.6,12.9,10,8.95,9.83,9.43,8.5,9.1,11.7,13.5,14.2,12.6
01015,1.79,2.21,2.15,2.19,3.17,3.19,3.53,2.67,2.16,2.01,2.28,2.5,2.3,2.3,2.18,2.05,2.53,2.29,1.31,1.35,1.69,1.54,2,1.93,1.57,2.14,2.43,2.33,2.17,2.58,3.06,3.29,3.12,3.1,3.15,2.53,2.03,2.16,2.51,2.73,2.42,2.36,2.15,2.24,2.08,2.01,1.7,2.05,2.3,2.36,2.61,2.64,2.47,2.81,2.5,2.42,2.31,2.82,2.92,3.81,5.64,7.01,4.88,6.44,5.68,6.43,6.15,7.63,6.08,5.36,7.8,6.07,5.06,4.91,5.78,7.58,5.74,5.89,5.6,5.63,6.4,5.65,7.1,7.4,6.65,5.3,4.8,4.75,4.6,5.55,7.25,6.25,5.95,6.85,11.4,10.3,10,11.1,12,14.6,12.9,10,8.95,9.83,9.43,8.5,9.1,11.7,13.5,14.2,12.6
01017,1.79,2.21,2.15,2.19,3.17,3.19,3.53,2.67,2.16,2.01,2.28,2.5,2.3,2.3,2.18,2.05,2.53,2.29,1.31,1.35,1.69,1.54,2,1.93,1.57,2.14,2.43,2.33,2.17,2.58,3.06,3.29,3.12,3.1,3.15,2.53,2.03,2.16,2.51,2.73,2.42,2.36,2.15,2.24,2.08,2.01,1.7,2.05,2.3,2.36,2.61,2.64,2.47,2.81,2.5,2.42,2.31,2.82,2.92,3.81,5.64,7.01,4.88,6.44,5.68,6.43,6.15,7.63,6.08,5.36,7.8,6.07,5.06,4.91,5.78,7.58,5.74,5.89,5.6,5.63,6.4,5.65,7.1,7.4,6.65,5.3,4.8,4.75,4.6,5.55,7.25,6.25,5.95,6.85,11.4,10.3,10,11.1,12,14.6,12.9,10,8.95,9.83,9.43,8.5,9.1,11.7,13.5,14.2,12.6
