fips,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01,1.109,1.235,1.198,1.044,1.121,1.491,1.401,1.319,1.509,1.81,2.402,2.705,2.885,3.803,2.467,2.992,3.84,3.968,3.922,3.825,2.707,2.304,2.65,3.178,3.056,2.551,3.287,4.989,4.214
01001,1.068,1.189,1.163,1.021,1.084,1.44,1.342,1.28,1.453,1.746,2.356,2.644,2.823,3.756,2.42,2.938,3.775,3.876,3.835,3.701,2.576,2.177,2.484,2.96,2.819,2.313,3.04,4.683,3.915
01003,1.068,1.189,1.163,1.021,1.084,1.44,1.342,1.28,1.453,1.746,2.356,2.644,2.823,3.756,2.42,2.938,3.775,3.876,3.835,3.701,2.576,2.177,2.484,2.96,2.819,2.313,3.04,4.683,3.915
01005,1.068,1.189,1.163,1.021,1.084,1.44,1.342,1.28,1.453,1.746,2.356,2.644,2.823,3.756,2.42,2.938,3.775,3.876,3.835,3.701,2.576,2.177,2.484,2.96,2.819,2.313,3.04,4.683,3.915
01007,1.068,1.189,1.163,1.021,1.084,1.44,1.342,1.28,1.453,1.746,2.356,2.644,2.823,3.756,2.42,2.938,3.775,3.876,3.835,3.701,2.576,2.177,2.484,2.96,2.819,2.313,3.04,4.683,3.915
01009,1.068,1.189,1.163,1.021,1.084,1.44,1.342,1.28,1.453,1.746,2.356,2.644,2.823,3.756,2.42,2.938,3.775,3.876,3.835,3.701,2.576,2.177,2.484,2.96,2.819,2.313,3.04,4.683,3.915
01011,1.068,1.189,1.163,1.021,1.084,1.44,1.342,1.28,1.453,1.746,2.356,2.644,2.823,3.756,2.42,2.938,3.775,3.876,3.835,3.701,2.576,2.177,2.484,2.96,2.819,2.313,3.04,4.683,3.915
01013,1.068,1.189,1.163,1.021,1.084,1.44,1.342,1.28,1.453,1.746,2.356,2.644,2.823,3.756,2.42,2.938,3.775,3.876,3.835,3.701,2.576,2.177,2.484,2.96,2.819,2.313,3.04,4.683,3.915
01015,1.068,1.189,1.163,1.021,1.084,1.44,1.342,1.28,1.453,1.746,2.356,2.644,2.823,3.756,2.42,2.938,3.775,3.876,3.835,3.701,2.576,2.177,2.484,2.96,2.819,2.313,3.04,4.683,3.915
01017,1.068,1.189,1.163,1.021,1.084,1.44,1.342,1.28,1.453,1.746,2.356,2.644,2.823,3.756,2.42,2.938,3.775,3.876,3.835,3.701,2.576,2.177,2.484,2.96,2.819,2.313,3.04,4.683,3.915
01019,1.068,1.189,1.163,1.021,1.084,1.44,1.342,1.28,1.453,1.746,2.356,2.644,2.823,3.756,2.42,2.938,3.775,3.876,3.835,3.701,2.576,2.177,2.484,2.96,2.819,2.313,3.04,4.683,3.915
01021,1.068,1.189,1.163,1.021,1.084,1.44,1.342,1.28,1.453,1.746,2.356,2.644,2.823,3.756,2.42,2.938,3.775,3.876,3.835,3.701,2.576,2.177,2.484,2.96,2.819,2.313,3.04,4.683,3.915
01023,1.068,1.189,1.163,1.021,1.084,1.44,1.342,1.28,1.453,1.746,2.356,2.644,2.823,3.756,2.42,2.938,3.775,3.876,3.835,3.701,2.576,2.177,2.484,2.96,2.819,2.313,3.04,4.683,3.915
01025,1.068,1.189,1.163,1.021,1.084,1.44,1.342,1.28,1.453,1.746,2.356,2.644,2.823,3.756,2.42,2.938,3.775,3.876,3.835,3.701,2.576,2.177,2.484,2.96,2.819,2.313,3.04,4.683,3.915
01027,1.068,1.189,1.163,1.021,1.084,1.44,1.342,1.28,1.453,1.746,2.356,2.644,2.823,3.756,2.42,2.938,3.775,3.876,3.835,3.701,2.576,2.177,2.484,2.96,2.819,2.313,3.04,4.683,3.915
01029,1.068,1.189,1.163,1.021,1.084,1.44,1.342,1.28,1.453,1.746,2.356,2.644,2.823,3.756,2.42,2.938,3.775,3.876,3.835,3.701,2.576,2.177,2.484,2.96,2.819,2.313,3.04,4.683,3.915
01031,1.068,1.189,1.163,1.021,1.084,1.44,1.342,1.28,1.453,1.746,2.356,2.644,2.823,3.756,2.42,2.938,3.775,3.876,3.835,3.701,2.576,2.177,2.484,2.96,2.819,2.313,3.04,4.683,3.915
01033,1.068,1.189,1.163,1.021,1.084,1.44,1.342,1.28,1.453,1.746,2.356,2.644,2.823,3.756,2.42,2.938,3.775,3.876,3.835,3.701,2.576,2.177,2.484,2.96,2.819,2.313,3.04,4.683,3.915
01035,1.068,1.189,1.163,1.021,1.084,1.44,1.342,1.28,1.453,1.746,2.356,2.644,2.823,3.756,2.42,2.938,3.775,3.876,3.835,3.701,2.576,2.177,2.484,2.96,2.819,2.313,3.04,4.683,3.915
01037,1.068,1.189,1.163,1.021,1.084,1.44,1.342,1.28,1.453,1.746,2.356,2.644,2.823,3.756,2.42,2.938,3.775,3.876,3.835,3.701,2.576,2.177,2.484,2.96,2.819,2.313,3.04,4.683,3.915
01039,1.068,1.189,1.163,1.021,1.084,1.44,1.342,1.28,1.453,1.746,2.356,2.644,2.823,3.756,2.42,2.938,3.775,3.876,3.835,3.701,2.576,2.177,2.484,2.96,2.819,2.313,3.04,4.683,3.915
01041,1.068,1.189,1.163,1.021,1.084,1.44,1.342,1.28,1.453,1.746,2.356,2.644,2.823,3.756,2.42,2.938,3.775,3.876,3.835,3.701,2.576,2.177,2.484,2.96,2.819,2.313,3.04,4.683,3.915
01043,1.068,1.189,1.163,1.021,1.084,1.44,1.342,1.28,1.453,1.746,2.356,2.644,2.823,3.756,2.42,2.938,3.775,3.876,3.835,3.701,2.576,2.177,2.484,2.96,2.819,2.313,3.04,4.683,3.915
01045,1.068,1.189,1.163,1.021,1.084,1.44,1.342,1.28,1.453,1.746,2.356,2.644,2.823,3.756,2.42,2.938,3.775,3.876,3.835,3.701,2.576,2.177,2.484,2.96,2.819,2.313,3.04,4.683,3.915
01047,1.068,1.189,1.163,1.021,1.084,1.44,1.342,1.28,1.453,1.746,2.356,2.644,2.823,3.756,2.42,2.938,3.775,3.876,3.835,3.701,2.576,2.177,2.484,2.96,2.819,2.313,3.04,4.683,3.915
01049,1.068,1.189,1.163,1.021,1.084,1.44,1.342,1.28,1.453,1.746,2.356,2.644,2.823,3.756,2.42,2.938,3.775,3.876,3.835,3.701,2.576,2.177,2.484,2.96,2.819,2.313,3.04,4.683,3.915
01051,1.068,1.189,1.163,1.021,1.084,1.44,1.342,1.28,1.453,1.746,2.356,2.644,2.823,3.756,2.42,2.938,3.775,3.876,3.835,3.701,2.576,2.177,2.484,2.96,2.819,2.313,3.04,4.683,3.915
01053,1.068,1.189,1.163,1.021,1.084,1.44,1.342,1.28,1.453,1.746,2.356,2.644,2.823,3.756,2.42,2.938,3.775,3.876,3.835,3.701,2.576,2.177,2.484,2.96,2.819,2.313,3.04,4.683,3.915
01055,1.068,1.189,1.163,1.021,1.084,1.44,1.342,1.28,1.453,1.746,2.356,2.644,2.823,3.756,2.42,2.938,3.775,3.876,3.835,3.701,2.576,2.177,2.484,2.96,2.819,2.313,3.04,4.683,3.915
01057,1.068,1.189,1.163,1.021,1.084,1.44,1.342,1.28,1.453,1.746,2.356,2.644,2.823,3.756,2.42,2.938,3.775,3.876,3.835,3.701,2.576,2.177,2.484,2.96,2.819,2.313,3.04,4.683,3.915
01059,1.068,1.189,1.163,1.021,1.084,1.44,1.342,1.28,1.453,1.746,2.356,2.644,2.823,3.756,2.42,2.938,3.775,3.876,3.835,3.701,2.576,2.177,2.484,2.96,2.819,2.313,3.04,4.683,3.915
01061,1.068,1.189,1.163,1.021,1.084,1.44,1.342,1.28,1.453,1.746,2.356,2.644,2.823,3.756,2.42,2.938,3.775,3.876,3.835,3.701,2.576,2.177,2.484,2.96,2.819,2.313,3.04,4.683,3.915
01063,1.068,1.189,1.163,1.021,1.084,1.44,1.342,1.28,1.453,1.746,2.356,2.644,2.823,3.756,2.42,2.938,3.775,3.876,3.835,3.701,2.576,2.177,2.484,2.96,2.819,2.313,3.04,4.683,3.915
01065,1.068,1.189,1.163,1.021,1.084,1.44,1.342,1.28,1.453,1.746,2.356,2.644,2.823,3.756,2.42,2.938,3.775,3.876,3.835,3.701,2.576,2.177,2.484,2.96,2.819,2.313,3.04,4.683,3.915
01067,1.068,1.189,1.163,1.021,1.084,1.44,1.342,1.28,1.453,1.746,2.356,2.644,2.823,3.756,2.42,2.938,3.775,3.876,3.835,3.701,2.576,2.177,2.484,2.96,2.819,2.313,3.04,4.683,3.915
01069,1.068,1.189,1.163,1.021,1.084,1.44,1.342,1.28,1.453,1.746,2.356,2.644,2.823,3.756,2.42,2.938,3.775,3.876,3.835,3.701,2.576,2.177,2.484,2.96,2.819,2.313,3.04,4.683,3.915
01071,1.068,1.189,1.163,1.021,1.084,1.44,1.342,1.28,1.453,1.746,2.356,2.644,2.823,3.756,2.42,2.938,3.775,3.876,3.835,3.701,2.576,2.177,2.484,2.96,2.819,2.313,3.04,4.683,3.915
01073,1.068,1.189,1.163,1.021,1.084,1.44,1.342,1.28,1.453,1.746,2.356,2.644,2.823,3.756,2.42,2.938,3.775,3.876,3.835,3.701,2.576,2.177,2.484,2.96,2.819,2.313,3.04,4.683,3.915
01075,1.068,1.189,1.163,1.021,1.084,1.44,1.342,1.28,1.453,1.746,2.356,2.644,2.823,3.756,2.42,2.938,3.775,3.876,3.835,3.701,2.576,2.177,2.484,2.96,2.819,2.313,3.04,4.683,3.915
