fips,2020,2021,2022,2023
1,57.2372,75.8108,82.6338,57.4899
1001,64.9446,74.6736,92.9946,66.5872
1003,64.9446,74.6736,92.9946,66.5872
1005,64.9446,74.6736,92.9946,66.5872
1007,64.9446,74.6736,92.9946,66.5872
1009,64.9446,74.6736,92.9946,66.5872
1011,64.9446,74.6736,92.9946,66.5872
1013,64.9446,74.6736,92.9946,66.5872
1015,64.9446,74.6736,92.9946,66.5872
1017,64.9446,74.6736,92.9946,66.5872
1019,64.9446,74.6736,92.9946,66.5872
1021,64.9446,74.6736,92.9946,66.5872
1023,64.9446,74.6736,92.9946,66.5872
1025,64.9446,74.6736,92.9946,66.5872
1027,64.9446,74.6736,92.9946,66.5872
1029,64.9446,74.6736,92.9946,66.5872
1031,64.9446,74.6736,92.9946,66.5872
1033,64.9446,74.6736,92.9946,66.5872
1035,64.9446,74.6736,92.9946,66.5872
1037,64.9446,74.6736,92.9946,66.5872
1039,64.9446,74.6736,92.9946,66.5872
1041,64.9446,74.6736,92.9946,66.5872
1043,64.9446,74.6736,92.9946,66.5872
1045,64.9446,74.6736,92.9946,66.5872
1047,64.9446,74.6736,92.9946,66.5872
1049,64.9446,74.6736,92.9946,66.5872
1051,64.9446,74.6736,92.9946,66.5872
1053,64.9446,74.6736,92.9946,66.5872
1055,64.9446,74.6736,92.9946,66.5872
1057,64.9446,74.6736,92.9946,66.5872
1059,64.9446,74.6736,92.9946,66.5872
1061,64.9446,74.6736,92.9946,66.5872
1063,64.9446,74.6736,92.9946,66.5872
1065,64.9446,74.6736,92.9946,66.5872
1067,64.9446,74.6736,92.9946,66.5872
1069,64.9446,74.6736,92.9946,66.5872
1071,64.9446,74.6736,92.9946,66.5872
1073,64.9446,74.6736,92.9946,66.5872
1075,64.9446,74.6736,92.9946,66.5872
1077,64.9446,74.6736,92.9946,66.5872
1079,64.9446,74.6736,92.9946,66.5872
1081,64.9446,74.6736,92.9946,66.5872
1083,64.9446,74.6736,92.9946,66.5872
1085,64.9446,74.6736,92.9946,66.5872
1087,64.9446,74.6736,92.9946,66.5872
1089,64.9446,74.6736,92.9946,66.5872
1091,64.9446,74.6736,92.9946,66.5872
1093,64.9446,74.6736,92.9946,66.5872
1095,64.9446,74.6736,92.9946,66.5872
1097,64.9446,74.6736,92.9946,66.5872
1099,64.9446,74.6736,92.9946,66.5872
1101,64.9446,74.6736,92.9946,66.5872
1103,64.9446,74.6736,92.9946,66.5872
1105,64.9446,74.6736,92.9946,66.5872
1107,64.9446,74.6736,92.9946,66.5872
1109,64.9446,74.6736,92.9946,66.5872
1111,64.9446,74.6736,92.9946,66.5872
1113,64.9446,74.6736,92.9946,66.5872
1115,64.9446,74.6736,92.9946,66.5872
1117,64.9446,74.6736,92.9946,66.5872
1119,64.9446,74.6736,92.9946,66.5872
1121,64.9446,74.6736,92.9946,66.5872
1123,64.9446,74.6736,92.9946,66.5872
1125,64.9446,74.6736,92.9946,66.5872
1127,64.9446,74.6736,92.9946,66.5872
1129,64.9446,74.6736,92.9946,66.5872
1131,64.9446,74.6736,92.9946,66.5872
1133,64.9446,74.6736,92.9946,66.5872
4001,68.2297,96.6588,108.03,82.5074
4003,68.2297,96.6588,108.03,82.5074
4005,68.2297,96.6588,108.03,82.5074
4007,68.2297,96.6588,108.03,82.5074
4009,68.2297,96.6588,108.03,82.5074
4011,68.2297,96.6588,108.03,82.5074
4012,68.2297,96.6588,108.03,82.5074
4013,68.2297,96.6588,108.03,82.5074
4015,68.2297,96.6588,108.03,82.5074
4017,68.2297,96.6588,108.03,82.5074
4019,68.2297,96.6588,108.03,82.5074
4021,68.2297,96.6588,108.03,82.5074
4023,68.2297,96.6588,108.03,82.5074
4025,68.2297,96.6588,108.03,82.5074
4027,68.2297,96.6588,108.03,82.5074
5001,56.7318,75.1791,85.6662,62.7966
5003,56.7318,75.1791,85.6662,62.7966
5005,56.7318,75.1791,85.6662,62.7966
5007,56.7318,75.1791,85.6662,62.7966
5009,56.7318,75.1791,85.6662,62.7966
5011,56.7318,75.1791,85.6662,62.7966
5013,56.7318,75.1791,85.6662,62.7966
5015,56.7318,75.1791,85.6662,62.7966
5017,56.7318,75.1791,85.6662,62.7966
5019,56.7318,75.1791,85.6662,62.7966
5021,56.7318,75.1791,85.6662,62.7966
5023,56.7318,75.1791,85.6662,62.7966
5025,56.7318,75.1791,85.6662,62.7966
5027,56.7318,75.1791,85.6662,62.7966
5029,56.7318,75.1791,85.6662,62.7966
5031,56.7318,75.1791,85.6662,62.7966
5033,56.7318,75.1791,85.6662,62.7966
5035,56.7318,75.1791,85.6662,62.7966
5037,56.7318,75.1791,85.6662,62.7966
5039,56.7318,75.1791,85.6662,62.7966
5041,56.7318,75.1791,85.6662,62.7966
5043,56.7318,75.1791,85.6662,62.7966
5045,56.7318,75.1791,85.6662,62.7966
5047,56.7318,75.1791,85.6662,62.7966
5049,56.7318,75.1791,85.6662,62.7966
5051,56.7318,75.1791,85.6662,62.7966
5053,56.7318,75.1791,85.6662,62.7966
5055,56.7318,75.1791,85.6662,62.7966
5057,56.7318,75.1791,85.6662,62.7966
5059,56.7318,75.1791,85.6662,62.7966
5061,56.7318,75.1791,85.6662,62.7966
5063,56.7318,75.1791,85.6662,62.7966
5065,56.7318,75.1791,85.6662,62.7966
5067,56.7318,75.1791,85.6662,62.7966
5069,56.7318,75.1791,85.6662,62.7966
5071,56.7318,75.1791,85.6662,62.7966
5073,56.7318,75.1791,85.6662,62.7966
5075,56.7318,75.1791,85.6662,62.7966
5077,56.7318,75.1791,85.6662,62.7966
5079,56.7318,75.1791,85.6662,62.7966
5081,56.7318,75.1791,85.6662,62.7966
5083,56.7318,75.1791,85.6662,62.7966
5085,56.7318,75.1791,85.6662,62.7966
5087,56.7318,75.1791,85.6662,62.7966
5089,56.7318,75.1791,85.6662,62.7966
5091,56.7318,75.1791,85.6662,62.7966
5093,56.7318,75.1791,85.6662,62.7966
5095,56.7318,75.1791,85.6662,62.7966
5097,56.7318,75.1791,85.6662,62.7966
5099,56.7318,75.1791,85.6662,62.7966
5101,56.7318,75.1791,85.6662,62.7966
5103,56.7318,75.1791,85.6662,62.7966
5105,56.7318,75.1791,85.6662,62.7966
5107,56.7318,75.1791,85.6662,62.7966
5109,56.7318,75.1791,85.6662,62.7966
5111,56.7318,75.1791,85.6662,62.7966
5113,56.7318,75.1791,85.6662,62.7966
5115,56.7318,75.1791,85.6662,62.7966
5117,56.7318,75.1791,85.6662,62.7966
5119,56.7318,75.1791,85.6662,62.7966
5121,56.7318,75.1791,85.6662,62.7966
5123,56.7318,75.1791,85.6662,62.7966
5125,56.7318,75.1791,85.6662,62.7966
5127,56.7318,75.1791,85.6662,62.7966
5129,56.7318,75.1791,85.6662,62.7966
5131,56.7318,75.1791,85.6662,62.7966
5133,56.7318,75.1791,85.6662,62.7966
5135,56.7318,75.1791,85.6662,62.7966
5137,56.7318,75.1791,85.6662,62.7966
5139,56.7318,75.1791,85.6662,62.7966
5141,56.7318,75.1791,85.6662,62.7966
5143,56.7318,75.1791,85.6662,62.7966
5145,56.7318,75.1791,85.6662,62.7966
5147,56.7318,75.1791,85.6662,62.7966
5149,56.7318,75.1791,85.6662,62.7966
6001,60.0169,92.2365,97.2905,74.8
6003,60.0169,92.2365,97.2905,74.8
6005,60.0169,92.2365,97.2905,74.8
6007,60.0169,92.2365,97.2905,74.8
6009,60.0169,92.2365,97.2905,74.8
6011,60.0169,92.2365,97.2905,74.8
6013,60.0169,92.2365,97.2905,74.8
6015,60.0169,92.2365,97.2905,74.8
6017,60.0169,92.2365,97.2905,74.8
6019,60.0169,92.2365,97.2905,74.8
6021,60.0169,92.2365,97.2905,74.8
6023,60.0169,92.2365,97.2905,74.8
6025,60.0169,92.2365,97.2905,74.8
6027,60.0169,92.2365,97.2905,74.8
6029,60.0169,92.2365,97.2905,74.8
6031,60.0169,92.2365,97.2905,74.8
6033,60.0169,92.2365,97.2905,74.8
6035,60.0169,92.2365,97.2905,74.8
6037,60.0169,92.2365,97.2905,74.8
6039,60.0169,92.2365,97.2905,74.8
6041,60.0169,92.2365,97.2905,74.8
6043,60.0169,92.2365,97.2905,74.8
6045,60.0169,92.2365,97.2905,74.8
6047,60.0169,92.2365,97.2905,74.8
6049,60.0169,92.2365,97.2905,74.8
6051,60.0169,92.2365,97.2905,74.8
6053,60.0169,92.2365,97.2905,74.8
6055,60.0169,92.2365,97.2905,74.8
6057,60.0169,92.2365,97.2905,74.8
6059,60.0169,92.2365,97.2905,74.8
6061,60.0169,92.2365,97.2905,74.8
6063,60.0169,92.2365,97.2905,74.8
6065,60.0169,92.2365,97.2905,74.8
6067,60.0169,92.2365,97.2905,74.8
6069,60.0169,92.2365,97.2905,74.8
6071,60.0169,92.2365,97.2905,74.8
6073,60.0169,92.2365,97.2905,74.8
6075,60.0169,92.2365,97.2905,74.8
6077,60.0169,92.2365,97.2905,74.8
6079,60.0169,92.2365,97.2905,74.8
6081,60.0169,92.2365,97.2905,74.8
6083,60.0169,92.2365,97.2905,74.8
6085,60.0169,92.2365,97.2905,74.8
6087,60.0169,92.2365,97.2905,74.8
6089,60.0169,92.2365,97.2905,74.8
6091,60.0169,92.2365,97.2905,74.8
6093,60.0169,92.2365,97.2905,74.8
6095,60.0169,92.2365,97.2905,74.8
6097,60.0169,92.2365,97.2905,74.8
6099,60.0169,92.2365,97.2905,74.8
6101,60.0169,92.2365,97.2905,74.8
6103,60.0169,92.2365,97.2905,74.8
6105,60.0169,92.2365,97.2905,74.8
6107,60.0169,92.2365,97.2905,74.8
6109,60.0169,92.2365,97.2905,74.8
6111,60.0169,92.2365,97.2905,74.8
6113,60.0169,92.2365,97.2905,74.8
6115,60.0169,92.2365,97.2905,74.8
8001,58.3743,76.8216,92.9946,63.5547
8003,58.3743,76.8216,92.9946,63.5547
8005,58.3743,76.8216,92.9946,63.5547
8007,58.3743,76.8216,92.9946,63.5547
8009,58.3743,76.8216,92.9946,63.5547
8011,58.3743,76.8216,92.9946,63.5547
8013,58.3743,76.8216,92.9946,63.5547
8014,58.3743,76.8216,92.9946,63.5547
8015,58.3743,76.8216,92.9946,63.5547
8017,58.3743,76.8216,92.9946,63.5547
8019,58.3743,76.8216,92.9946,63.5547
8021,58.3743,76.8216,92.9946,63.5547
8023,58.3743,76.8216,92.9946,63.5547
8025,58.3743,76.8216,92.9946,63.5547
8027,58.3743,76.8216,92.9946,63.5547
8029,58.3743,76.8216,92.9946,63.5547
8031,58.3743,76.8216,92.9946,63.5547
8033,58.3743,76.8216,92.9946,63.5547
8035,58.3743,76.8216,92.9946,63.5547
8037,58.3743,76.8216,92.9946,63.5547
8039,58.3743,76.8216,92.9946,63.5547
8041,58.3743,76.8216,92.9946,63.5547
8043,58.3743,76.8216,92.9946,63.5547
8045,58.3743,76.8216,92.9946,63.5547
8047,58.3743,76.8216,92.9946,63.5547
8049,58.3743,76.8216,92.9946,63.5547
8051,58.3743,76.8216,92.9946,63.5547
8053,58.3743,76.8216,92.9946,63.5547
8055,58.3743,76.8216,92.9946,63.5547
8057,58.3743,76.8216,92.9946,63.5547
8059,58.3743,76.8216,92.9946,63.5547
8061,58.3743,76.8216,92.9946,63.5547
8063,58.3743,76.8216,92.9946,63.5547
8065,58.3743,76.8216,92.9946,63.5547
8067,58.3743,76.8216,92.9946,63.5547
8069,58.3743,76.8216,92.9946,63.5547
8071,58.3743,76.8216,92.9946,63.5547
8073,58.3743,76.8216,92.9946,63.5547
8075,58.3743,76.8216,92.9946,63.5547
8077,58.3743,76.8216,92.9946,63.5547
8079,58.3743,76.8216,92.9946,63.5547
8081,58.3743,76.8216,92.9946,63.5547
8083,58.3743,76.8216,92.9946,63.5547
8085,58.3743,76.8216,92.9946,63.5547
8087,58.3743,76.8216,92.9946,63.5547
8089,58.3743,76.8216,92.9946,63.5547
8091,58.3743,76.8216,92.9946,63.5547
8093,58.3743,76.8216,92.9946,63.5547
8095,58.3743,76.8216,92.9946,63.5547
8097,58.3743,76.8216,92.9946,63.5547
8099,58.3743,76.8216,92.9946,63.5547
8101,58.3743,76.8216,92.9946,63.5547
8103,58.3743,76.8216,92.9946,63.5547
8105,58.3743,76.8216,92.9946,63.5547
8107,58.3743,76.8216,92.9946,63.5547
8109,58.3743,76.8216,92.9946,63.5547
8111,58.3743,76.8216,92.9946,63.5547
8113,58.3743,76.8216,92.9946,63.5547
8115,58.3743,76.8216,92.9946,63.5547
8117,58.3743,76.8216,92.9946,63.5547
8119,58.3743,76.8216,92.9946,63.5547
8121,58.3743,76.8216,92.9946,63.5547
8123,58.3743,76.8216,92.9946,63.5547
8125,58.3743,76.8216,92.9946,63.5547
9001,57.2372,75.8108,82.6338,57.4899
9003,57.2372,75.8108,82.6338,57.4899
9005,57.2372,75.8108,82.6338,57.4899
9007,57.2372,75.8108,82.6338,57.4899
9009,57.2372,75.8108,82.6338,57.4899
9011,57.2372,75.8108,82.6338,57.4899
9013,57.2372,75.8108,82.6338,57.4899
9015,57.2372,75.8108,82.6338,57.4899
10001,70.7568,82.7601,84.4027,57.8689
10003,70.7568,82.7601,84.4027,57.8689
