fips,2022,2023,2024
01,265.334,124.75,99.75
01001,265.334,124.75,99.75
01003,265.334,124.75,99.75
01005,265.334,124.75,99.75
01007,265.334,124.75,99.75
01009,265.334,124.75,99.75
01011,265.334,124.75,99.75
01013,265.334,124.75,99.75
01015,265.334,124.75,99.75
01017,265.334,124.75,99.75
01019,265.334,124.75,99.75
01021,265.334,124.75,99.75
01023,265.334,124.75,99.75
01025,265.334,124.75,99.75
01027,265.334,124.75,99.75
01029,265.334,124.75,99.75
01031,265.334,124.75,99.75
01033,265.334,124.75,99.75
01035,265.334,124.75,99.75
01037,265.334,124.75,99.75
01039,265.334,124.75,99.75
01041,265.334,124.75,99.75
01043,265.334,124.75,99.75
01045,265.334,124.75,99.75
01047,265.334,124.75,99.75
01049,265.334,124.75,99.75
01051,265.334,124.75,99.75
01053,265.334,124.75,99.75
01055,265.334,124.75,99.75
01057,265.334,124.75,99.75
01059,265.334,124.75,99.75
01061,265.334,124.75,99.75
01063,265.334,124.75,99.75
01065,265.334,124.75,99.75
01067,265.334,124.75,99.75
01069,265.334,124.75,99.75
01071,265.334,124.75,99.75
01073,265.334,124.75,99.75
01075,265.334,124.75,99.75
01077,265.334,124.75,99.75
01079,265.334,124.75,99.75
01081,265.334,124.75,99.75
01083,265.334,124.75,99.75
01085,265.334,124.75,99.75
01087,265.334,124.75,99.75
01089,265.334,124.75,99.75
01091,265.334,124.75,99.75
01093,265.334,124.75,99.75
01095,265.334,124.75,99.75
01097,265.334,124.75,99.75
01099,265.334,124.75,99.75
01101,265.334,124.75,99.75
01103,265.334,124.75,99.75
01105,265.334,124.75,99.75
01107,265.334,124.75,99.75
01109,265.334,124.75,99.75
01111,265.334,124.75,99.75
01113,265.334,124.75,99.75
01115,265.334,124.75,99.75
01117,265.334,124.75,99.75
01119,265.334,124.75,99.75
01121,265.334,124.75,99.75
01123,265.334,124.75,99.75
01125,265.334,124.75,99.75
01127,265.334,124.75,99.75
01129,265.334,124.75,99.75
01131,265.334,124.75,99.75
01133,265.334,124.75,99.75
04001,265.334,124.75,99.75
04003,265.334,124.75,99.75
04005,265.334,124.75,99.75
04007,265.334,124.75,99.75
04009,265.334,124.75,99.75
04011,265.334,124.75,99.75
04012,265.334,124.75,99.75
04013,265.334,124.75,99.75
04015,265.334,124.75,99.75
04017,265.334,124.75,99.75
04019,265.334,124.75,99.75
04021,265.334,124.75,99.75
04023,265.334,124.75,99.75
04025,265.334,124.75,99.75
04027,265.334,124.75,99.75
05001,265.334,124.75,99.75
05003,265.334,124.75,99.75
05005,265.334,124.75,99.75
05007,265.334,124.75,99.75
05009,265.334,124.75,99.75
05011,265.334,124.75,99.75
05013,265.334,124.75,99.75
05015,265.334,124.75,99.75
05017,265.334,124.75,99.75
05019,265.334,124.75,99.75
05021,265.334,124.75,99.75
05023,265.334,124.75,99.75
05025,265.334,124.75,99.75
05027,265.334,124.75,99.75
05029,265.334,124.75,99.75
05031,265.334,124.75,99.75
05033,265.334,124.75,99.75
05035,265.334,124.75,99.75
05037,265.334,124.75,99.75
05039,265.334,124.75,99.75
05041,265.334,124.75,99.75
05043,265.334,124.75,99.75
05045,265.334,124.75,99.75
05047,265.334,124.75,99.75
05049,265.334,124.75,99.75
05051,265.334,124.75,99.75
05053,265.334,124.75,99.75
