fips,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01,13.05,13.77,13.61,13.58,13.46,12.76,12.51,12.54,12.26,13.56,13.74,12.27,13.15,12.84,13.01,12.78,14.75,13.36,15.46,14.38,12.4,15.04,12.18,12.55,16.13,15.19,12.96,19.21,18.45,12.93,16.35,20.24,18.56,20.11,24.07,17.21,16.34,17.69,16.28,18.65,18.16,18.54,25.39,20.38
01001,14.4,14.7,14.6,14.8,14.8,14.5,14.4,14.7,14.2,14.9,15.9,13.5,14.5,14.2,14.7,14,16.4,14.8,16.5,16.5,14.2,16.9,14,14.1,17.9,16.9,15.4,21.4,21.7,15.6,19.5,23.6,21.6,23.7,27.8,19.5,17.1,18.6,16.6,18.6,18.3,19.3,27.5,23.3
01003,14.4,14.7,14.6,14.8,14.8,14.5,14.4,14.7,14.2,14.9,15.9,13.5,14.5,14.2,14.7,14,16.4,14.8,16.5,16.5,14.2,16.9,14,14.1,17.9,16.9,15.4,21.4,21.7,15.6,19.5,23.6,21.6,23.7,27.8,19.5,17.1,18.6,16.6,18.6,18.3,19.3,27.5,23.3
01005,14.4,14.7,14.6,14.8,14.8,14.5,14.4,14.7,14.2,14.9,15.9,13.5,14.5,14.2,14.7,14,16.4,14.8,16.5,16.5,14.2,16.9,14,14.1,17.9,16.9,15.4,21.4,21.7,15.6,19.5,23.6,21.6,23.7,27.8,19.5,17.1,18.6,16.6,18.6,18.3,19.3,27.5,23.3
01007,14.4,14.7,14.6,14.8,14.8,14.5,14.4,14.7,14.2,14.9,15.9,13.5,14.5,14.2,14.7,14,16.4,14.8,16.5,16.5,14.2,16.9,14,14.1,17.9,16.9,15.4,21.4,21.7,15.6,19.5,23.6,21.6,23.7,27.8,19.5,17.1,18.6,16.6,18.6,18.3,19.3,27.5,23.3
01009,14.4,14.7,14.6,14.8,14.8,14.5,14.4,14.7,14.2,14.9,15.9,13.5,14.5,14.2,14.7,14,16.4,14.8,16.5,16.5,14.2,16.9,14,14.1,17.9,16.9,15.4,21.4,21.7,15.6,19.5,23.6,21.6,23.7,27.8,19.5,17.1,18.6,16.6,18.6,18.3,19.3,27.5,23.3
01011,14.4,14.7,14.6,14.8,14.8,14.5,14.4,14.7,14.2,14.9,15.9,13.5,14.5,14.2,14.7,14,16.4,14.8,16.5,16.5,14.2,16.9,14,14.1,17.9,16.9,15.4,21.4,21.7,15.6,19.5,23.6,21.6,23.7,27.8,19.5,17.1,18.6,16.6,18.6,18.3,19.3,27.5,23.3
01013,14.4,14.7,14.6,14.8,14.8,14.5,14.4,14.7,14.2,14.9,15.9,13.5,14.5,14.2,14.7,14,16.4,14.8,16.5,16.5,14.2,16.9,14,14.1,17.9,16.9,15.4,21.4,21.7,15.6,19.5,23.6,21.6,23.7,27.8,19.5,17.1,18.6,16.6,18.6,18.3,19.3,27.5,23.3
01015,14.4,14.7,14.6,14.8,14.8,14.5,14.4,14.7,14.2,14.9,15.9,13.5,14.5,14.2,14.7,14,16.4,14.8,16.5,16.5,14.2,16.9,14,14.1,17.9,16.9,15.4,21.4,21.7,15.6,19.5,23.6,21.6,23.7,27.8,19.5,17.1,18.6,16.6,18.6,18.3,19.3,27.5,23.3
01017,14.4,14.7,14.6,14.8,14.8,14.5,14.4,14.7,14.2,14.9,15.9,13.5,14.5,14.2,14.7,14,16.4,14.8,16.5,16.5,14.2,16.9,14,14.1,17.9,16.9,15.4,21.4,21.7,15.6,19.5,23.6,21.6,23.7,27.8,19.5,17.1,18.6,16.6,18.6,18.3,19.3,27.5,23.3
01019,14.4,14.7,14.6,14.8,14.8,14.5,14.4,14.7,14.2,14.9,15.9,13.5,14.5,14.2,14.7,14,16.4,14.8,16.5,16.5,14.2,16.9,14,14.1,17.9,16.9,15.4,21.4,21.7,15.6,19.5,23.6,21.6,23.7,27.8,19.5,17.1,18.6,16.6,18.6,18.3,19.3,27.5,23.3
01021,14.4,14.7,14.6,14.8,14.8,14.5,14.4,14.7,14.2,14.9,15.9,13.5,14.5,14.2,14.7,14,16.4,14.8,16.5,16.5,14.2,16.9,14,14.1,17.9,16.9,15.4,21.4,21.7,15.6,19.5,23.6,21.6,23.7,27.8,19.5,17.1,18.6,16.6,18.6,18.3,19.3,27.5,23.3
01023,14.4,14.7,14.6,14.8,14.8,14.5,14.4,14.7,14.2,14.9,15.9,13.5,14.5,14.2,14.7,14,16.4,14.8,16.5,16.5,14.2,16.9,14,14.1,17.9,16.9,15.4,21.4,21.7,15.6,19.5,23.6,21.6,23.7,27.8,19.5,17.1,18.6,16.6,18.6,18.3,19.3,27.5,23.3
01025,14.4,14.7,14.6,14.8,14.8,14.5,14.4,14.7,14.2,14.9,15.9,13.5,14.5,14.2,14.7,14,16.4,14.8,16.5,16.5,14.2,16.9,14,14.1,17.9,16.9,15.4,21.4,21.7,15.6,19.5,23.6,21.6,23.7,27.8,19.5,17.1,18.6,16.6,18.6,18.3,19.3,27.5,23.3
01027,14.4,14.7,14.6,14.8,14.8,14.5,14.4,14.7,14.2,14.9,15.9,13.5,14.5,14.2,14.7,14,16.4,14.8,16.5,16.5,14.2,16.9,14,14.1,17.9,16.9,15.4,21.4,21.7,15.6,19.5,23.6,21.6,23.7,27.8,19.5,17.1,18.6,16.6,18.6,18.3,19.3,27.5,23.3
01029,14.4,14.7,14.6,14.8,14.8,14.5,14.4,14.7,14.2,14.9,15.9,13.5,14.5,14.2,14.7,14,16.4,14.8,16.5,16.5,14.2,16.9,14,14.1,17.9,16.9,15.4,21.4,21.7,15.6,19.5,23.6,21.6,23.7,27.8,19.5,17.1,18.6,16.6,18.6,18.3,19.3,27.5,23.3
01031,14.4,14.7,14.6,14.8,14.8,14.5,14.4,14.7,14.2,14.9,15.9,13.5,14.5,14.2,14.7,14,16.4,14.8,16.5,16.5,14.2,16.9,14,14.1,17.9,16.9,15.4,21.4,21.7,15.6,19.5,23.6,21.6,23.7,27.8,19.5,17.1,18.6,16.6,18.6,18.3,19.3,27.5,23.3
01033,14.4,14.7,14.6,14.8,14.8,14.5,14.4,14.7,14.2,14.9,15.9,13.5,14.5,14.2,14.7,14,16.4,14.8,16.5,16.5,14.2,16.9,14,14.1,17.9,16.9,15.4,21.4,21.7,15.6,19.5,23.6,21.6,23.7,27.8,19.5,17.1,18.6,16.6,18.6,18.3,19.3,27.5,23.3
01035,14.4,14.7,14.6,14.8,14.8,14.5,14.4,14.7,14.2,14.9,15.9,13.5,14.5,14.2,14.7,14,16.4,14.8,16.5,16.5,14.2,16.9,14,14.1,17.9,16.9,15.4,21.4,21.7,15.6,19.5,23.6,21.6,23.7,27.8,19.5,17.1,18.6,16.6,18.6,18.3,19.3,27.5,23.3
01037,14.4,14.7,14.6,14.8,14.8,14.5,14.4,14.7,14.2,14.9,15.9,13.5,14.5,14.2,14.7,14,16.4,14.8,16.5,16.5,14.2,16.9,14,14.1,17.9,16.9,15.4,21.4,21.7,15.6,19.5,23.6,21.6,23.7,27.8,19.5,17.1,18.6,16.6,18.6,18.3,19.3,27.5,23.3
01039,14.4,14.7,14.6,14.8,14.8,14.5,14.4,14.7,14.2,14.9,15.9,13.5,14.5,14.2,14.7,14,16.4,14.8,16.5,16.5,14.2,16.9,14,14.1,17.9,16.9,15.4,21.4,21.7,15.6,19.5,23.6,21.6,23.7,27.8,19.5,17.1,18.6,16.6,18.6,18.3,19.3,27.5,23.3
01041,14.4,14.7,14.6,14.8,14.8,14.5,14.4,14.7,14.2,14.9,15.9,13.5,14.5,14.2,14.7,14,16.4,14.8,16.5,16.5,14.2,16.9,14,14.1,17.9,16.9,15.4,21.4,21.7,15.6,19.5,23.6,21.6,23.7,27.8,19.5,17.1,18.6,16.6,18.6,18.3,19.3,27.5,23.3
01043,14.4,14.7,14.6,14.8,14.8,14.5,14.4,14.7,14.2,14.9,15.9,13.5,14.5,14.2,14.7,14,16.4,14.8,16.5,16.5,14.2,16.9,14,14.1,17.9,16.9,15.4,21.4,21.7,15.6,19.5,23.6,21.6,23.7,27.8,19.5,17.1,18.6,16.6,18.6,18.3,19.3,27.5,23.3
01045,14.4,14.7,14.6,14.8,14.8,14.5,14.4,14.7,14.2,14.9,15.9,13.5,14.5,14.2,14.7,14,16.4,14.8,16.5,16.5,14.2,16.9,14,14.1,17.9,16.9,15.4,21.4,21.7,15.6,19.5,23.6,21.6,23.7,27.8,19.5,17.1,18.6,16.6,18.6,18.3,19.3,27.5,23.3
01047,14.4,14.7,14.6,14.8,14.8,14.5,14.4,14.7,14.2,14.9,15.9,13.5,14.5,14.2,14.7,14,16.4,14.8,16.5,16.5,14.2,16.9,14,14.1,17.9,16.9,15.4,21.4,21.7,15.6,19.5,23.6,21.6,23.7,27.8,19.5,17.1,18.6,16.6,18.6,18.3,19.3,27.5,23.3
01049,14.4,14.7,14.6,14.8,14.8,14.5,14.4,14.7,14.2,14.9,15.9,13.5,14.5,14.2,14.7,14,16.4,14.8,16.5,16.5,14.2,16.9,14,14.1,17.9,16.9,15.4,21.4,21.7,15.6,19.5,23.6,21.6,23.7,27.8,19.5,17.1,18.6,16.6,18.6,18.3,19.3,27.5,23.3
01051,14.4,14.7,14.6,14.8,14.8,14.5,14.4,14.7,14.2,14.9,15.9,13.5,14.5,14.2,14.7,14,16.4,14.8,16.5,16.5,14.2,16.9,14,14.1,17.9,16.9,15.4,21.4,21.7,15.6,19.5,23.6,21.6,23.7,27.8,19.5,17.1,18.6,16.6,18.6,18.3,19.3,27.5,23.3
01053,14.4,14.7,14.6,14.8,14.8,14.5,14.4,14.7,14.2,14.9,15.9,13.5,14.5,14.2,14.7,14,16.4,14.8,16.5,16.5,14.2,16.9,14,14.1,17.9,16.9,15.4,21.4,21.7,15.6,19.5,23.6,21.6,23.7,27.8,19.5,17.1,18.6,16.6,18.6,18.3,19.3,27.5,23.3
01055,14.4,14.7,14.6,14.8,14.8,14.5,14.4,14.7,14.2,14.9,15.9,13.5,14.5,14.2,14.7,14,16.4,14.8,16.5,16.5,14.2,16.9,14,14.1,17.9,16.9,15.4,21.4,21.7,15.6,19.5,23.6,21.6,23.7,27.8,19.5,17.1,18.6,16.6,18.6,18.3,19.3,27.5,23.3
01057,14.4,14.7,14.6,14.8,14.8,14.5,14.4,14.7,14.2,14.9,15.9,13.5,14.5,14.2,14.7,14,16.4,14.8,16.5,16.5,14.2,16.9,14,14.1,17.9,16.9,15.4,21.4,21.7,15.6,19.5,23.6,21.6,23.7,27.8,19.5,17.1,18.6,16.6,18.6,18.3,19.3,27.5,23.3
01059,14.4,14.7,14.6,14.8,14.8,14.5,14.4,14.7,14.2,14.9,15.9,13.5,14.5,14.2,14.7,14,16.4,14.8,16.5,16.5,14.2,16.9,14,14.1,17.9,16.9,15.4,21.4,21.7,15.6,19.5,23.6,21.6,23.7,27.8,19.5,17.1,18.6,16.6,18.6,18.3,19.3,27.5,23.3
01061,14.4,14.7,14.6,14.8,14.8,14.5,14.4,14.7,14.2,14.9,15.9,13.5,14.5,14.2,14.7,14,16.4,14.8,16.5,16.5,14.2,16.9,14,14.1,17.9,16.9,15.4,21.4,21.7,15.6,19.5,23.6,21.6,23.7,27.8,19.5,17.1,18.6,16.6,18.6,18.3,19.3,27.5,23.3
01063,14.4,14.7,14.6,14.8,14.8,14.5,14.4,14.7,14.2,14.9,15.9,13.5,14.5,14.2,14.7,14,16.4,14.8,16.5,16.5,14.2,16.9,14,14.1,17.9,16.9,15.4,21.4,21.7,15.6,19.5,23.6,21.6,23.7,27.8,19.5,17.1,18.6,16.6,18.6,18.3,19.3,27.5,23.3
01065,14.4,14.7,14.6,14.8,14.8,14.5,14.4,14.7,14.2,14.9,15.9,13.5,14.5,14.2,14.7,14,16.4,14.8,16.5,16.5,14.2,16.9,14,14.1,17.9,16.9,15.4,21.4,21.7,15.6,19.5,23.6,21.6,23.7,27.8,19.5,17.1,18.6,16.6,18.6,18.3,19.3,27.5,23.3
01067,14.4,14.7,14.6,14.8,14.8,14.5,14.4,14.7,14.2,14.9,15.9,13.5,14.5,14.2,14.7,14,16.4,14.8,16.5,16.5,14.2,16.9,14,14.1,17.9,16.9,15.4,21.4,21.7,15.6,19.5,23.6,21.6,23.7,27.8,19.5,17.1,18.6,16.6,18.6,18.3,19.3,27.5,23.3
01069,14.4,14.7,14.6,14.8,14.8,14.5,14.4,14.7,14.2,14.9,15.9,13.5,14.5,14.2,14.7,14,16.4,14.8,16.5,16.5,14.2,16.9,14,14.1,17.9,16.9,15.4,21.4,21.7,15.6,19.5,23.6,21.6,23.7,27.8,19.5,17.1,18.6,16.6,18.6,18.3,19.3,27.5,23.3
01071,14.4,14.7,14.6,14.8,14.8,14.5,14.4,14.7,14.2,14.9,15.9,13.5,14.5,14.2,14.7,14,16.4,14.8,16.5,16.5,14.2,16.9,14,14.1,17.9,16.9,15.4,21.4,21.7,15.6,19.5,23.6,21.6,23.7,27.8,19.5,17.1,18.6,16.6,18.6,18.3,19.3,27.5,23.3
01073,14.4,14.7,14.6,14.8,14.8,14.5,14.4,14.7,14.2,14.9,15.9,13.5,14.5,14.2,14.7,14,16.4,14.8,16.5,16.5,14.2,16.9,14,14.1,17.9,16.9,15.4,21.4,21.7,15.6,19.5,23.6,21.6,23.7,27.8,19.5,17.1,18.6,16.6,18.6,18.3,19.3,27.5,23.3
01075,14.4,14.7,14.6,14.8,14.8,14.5,14.4,14.7,14.2,14.9,15.9,13.5,14.5,14.2,14.7,14,16.4,14.8,16.5,16.5,14.2,16.9,14,14.1,17.9,16.9,15.4,21.4,21.7,15.6,19.5,23.6,21.6,23.7,27.8,19.5,17.1,18.6,16.6,18.6,18.3,19.3,27.5,23.3
01077,14.4,14.7,14.6,14.8,14.8,14.5,14.4,14.7,14.2,14.9,15.9,13.5,14.5,14.2,14.7,14,16.4,14.8,16.5,16.5,14.2,16.9,14,14.1,17.9,16.9,15.4,21.4,21.7,15.6,19.5,23.6,21.6,23.7,27.8,19.5,17.1,18.6,16.6,18.6,18.3,19.3,27.5,23.3
01079,14.4,14.7,14.6,14.8,14.8,14.5,14.4,14.7,14.2,14.9,15.9,13.5,14.5,14.2,14.7,14,16.4,14.8,16.5,16.5,14.2,16.9,14,14.1,17.9,16.9,15.4,21.4,21.7,15.6,19.5,23.6,21.6,23.7,27.8,19.5,17.1,18.6,16.6,18.6,18.3,19.3,27.5,23.3
01081,14.4,14.7,14.6,14.8,14.8,14.5,14.4,14.7,14.2,14.9,15.9,13.5,14.5,14.2,14.7,14,16.4,14.8,16.5,16.5,14.2,16.9,14,14.1,17.9,16.9,15.4,21.4,21.7,15.6,19.5,23.6,21.6,23.7,27.8,19.5,17.1,18.6,16.6,18.6,18.3,19.3,27.5,23.3
01083,14.4,14.7,14.6,14.8,14.8,14.5,14.4,14.7,14.2,14.9,15.9,13.5,14.5,14.2,14.7,14,16.4,14.8,16.5,16.5,14.2,16.9,14,14.1,17.9,16.9,15.4,21.4,21.7,15.6,19.5,23.6,21.6,23.7,27.8,19.5,17.1,18.6,16.6,18.6,18.3,19.3,27.5,23.3
01085,14.4,14.7,14.6,14.8,14.8,14.5,14.4,14.7,14.2,14.9,15.9,13.5,14.5,14.2,14.7,14,16.4,14.8,16.5,16.5,14.2,16.9,14,14.1,17.9,16.9,15.4,21.4,21.7,15.6,19.5,23.6,21.6,23.7,27.8,19.5,17.1,18.6,16.6,18.6,18.3,19.3,27.5,23.3
01087,14.4,14.7,14.6,14.8,14.8,14.5,14.4,14.7,14.2,14.9,15.9,13.5,14.5,14.2,14.7,14,16.4,14.8,16.5,16.5,14.2,16.9,14,14.1,17.9,16.9,15.4,21.4,21.7,15.6,19.5,23.6,21.6,23.7,27.8,19.5,17.1,18.6,16.6,18.6,18.3,19.3,27.5,23.3
01089,14.4,14.7,14.6,14.8,14.8,14.5,14.4,14.7,14.2,14.9,15.9,13.5,14.5,14.2,14.7,14,16.4,14.8,16.5,16.5,14.2,16.9,14,14.1,17.9,16.9,15.4,21.4,21.7,15.6,19.5,23.6,21.6,23.7,27.8,19.5,17.1,18.6,16.6,18.6,18.3,19.3,27.5,23.3
01091,14.4,14.7,14.6,14.8,14.8,14.5,14.4,14.7,14.2,14.9,15.9,13.5,14.5,14.2,14.7,14,16.4,14.8,16.5,16.5,14.2,16.9,14,14.1,17.9,16.9,15.4,21.4,21.7,15.6,19.5,23.6,21.6,23.7,27.8,19.5,17.1,18.6,16.6,18.6,18.3,19.3,27.5,23.3
