fips,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
01,140.5,139.5,134.5,127.5,124.0,121.0,117.5,111.0,88.5,74.2,75.9,79.3,80.4,90.05,206.0,242.0,186.5,180.75,168.0,186.5,227.0,247.0,244.0,233.0,266.5,244.25,199.5,183.5,199.5,202.0,195.0,199.0,198.5,207.0,252.5,330.0,303.0,303.0,253.0,211.0,227.0,399.0,250.0,373.0,379.0,416.0,521.0,523.0,755.0,680.0,499.0,749.0,785.0,847.0,851.0,702.36,569.97,545.54,587.98,600.02,549.73,800.76,1317.52
01001,140.5,139.5,134.5,127.5,124.0,121.0,117.5,111.0,88.5,74.2,75.9,79.3,80.4,90.05,206.0,242.0,186.5,180.75,168.0,186.5,227.0,247.0,244.0,233.0,266.5,244.25,199.5,183.5,199.5,202.0,195.0,199.0,198.5,207.0,252.5,330.0,303.0,303.0,253.0,211.0,227.0,399.0,250.0,373.0,379.0,416.0,521.0,523.0,755.0,680.0,499.0,749.0,785.0,847.0,851.0,702.36,569.97,545.54,587.98,600.02,549.73,800.76,1317.52
01003,140.5,139.5,134.5,127.5,124.0,121.0,117.5,111.0,88.5,74.2,75.9,79.3,80.4,90.05,206.0,242.0,186.5,180.75,168.0,186.5,227.0,247.0,244.0,233.0,266.5,244.25,199.5,183.5,199.5,202.0,195.0,199.0,198.5,207.0,252.5,330.0,303.0,303.0,253.0,211.0,227.0,399.0,250.0,373.0,379.0,416.0,521.0,523.0,755.0,680.0,499.0,749.0,785.0,847.0,851.0,702.36,569.97,545.54,587.98,600.02,549.73,800.76,1317.52
01005,140.5,139.5,134.5,127.5,124.0,121.0,117.5,111.0,88.5,74.2,75.9,79.3,80.4,90.05,206.0,242.0,186.5,180.75,168.0,186.5,227.0,247.0,244.0,233.0,266.5,244.25,199.5,183.5,199.5,202.0,195.0,199.0,198.5,207.0,252.5,330.0,303.0,303.0,253.0,211.0,227.0,399.0,250.0,373.0,379.0,416.0,521.0,523.0,755.0,680.0,499.0,749.0,785.0,847.0,851.0,702.36,569.97,545.54,587.98,600.02,549.73,800.76,1317.52
01007,140.5,139.5,134.5,127.5,124.0,121.0,117.5,111.0,88.5,74.2,75.9,79.3,80.4,90.05,206.0,242.0,186.5,180.75,168.0,186.5,227.0,247.0,244.0,233.0,266.5,244.25,199.5,183.5,199.5,202.0,195.0,199.0,198.5,207.0,252.5,330.0,303.0,303.0,253.0,211.0,227.0,399.0,250.0,373.0,379.0,416.0,521.0,523.0,755.0,680.0,499.0,749.0,785.0,847.0,851.0,702.36,569.97,545.54,587.98,600.02,549.73,800.76,1317.52
01009,140.5,139.5,134.5,127.5,124.0,121.0,117.5,111.0,88.5,74.2,75.9,79.3,80.4,90.05,206.0,242.0,186.5,180.75,168.0,186.5,227.0,247.0,244.0,233.0,266.5,244.25,199.5,183.5,199.5,202.0,195.0,199.0,198.5,207.0,252.5,330.0,303.0,303.0,253.0,211.0,227.0,399.0,250.0,373.0,379.0,416.0,521.0,523.0,755.0,680.0,499.0,749.0,785.0,847.0,851.0,702.36,569.97,545.54,587.98,600.02,549.73,800.76,1317.52
01011,140.5,139.5,134.5,127.5,124.0,121.0,117.5,111.0,88.5,74.2,75.9,79.3,80.4,90.05,206.0,242.0,186.5,180.75,168.0,186.5,227.0,247.0,244.0,233.0,266.5,244.25,199.5,183.5,199.5,202.0,195.0,199.0,198.5,207.0,252.5,330.0,303.0,303.0,253.0,211.0,227.0,399.0,250.0,373.0,379.0,416.0,521.0,523.0,755.0,680.0,499.0,749.0,785.0,847.0,851.0,702.36,569.97,545.54,587.98,600.02,549.73,800.76,1317.52
01013,140.5,139.5,134.5,127.5,124.0,121.0,117.5,111.0,88.5,74.2,75.9,79.3,80.4,90.05,206.0,242.0,186.5,180.75,168.0,186.5,227.0,247.0,244.0,233.0,266.5,244.25,199.5,183.5,199.5,202.0,195.0,199.0,198.5,207.0,252.5,330.0,303.0,303.0,253.0,211.0,227.0,399.0,250.0,373.0,379.0,416.0,521.0,523.0,755.0,680.0,499.0,749.0,785.0,847.0,851.0,702.36,569.97,545.54,587.98,600.02,549.73,800.76,1317.52
01015,140.5,139.5,134.5,127.5,124.0,121.0,117.5,111.0,88.5,74.2,75.9,79.3,80.4,90.05,206.0,242.0,186.5,180.75,168.0,186.5,227.0,247.0,244.0,233.0,266.5,244.25,199.5,183.5,199.5,202.0,195.0,199.0,198.5,207.0,252.5,330.0,303.0,303.0,253.0,211.0,227.0,399.0,250.0,373.0,379.0,416.0,521.0,523.0,755.0,680.0,499.0,749.0,785.0,847.0,851.0,702.36,569.97,545.54,587.98,600.02,549.73,800.76,1317.52
01017,140.5,139.5,134.5,127.5,124.0,121.0,117.5,111.0,88.5,74.2,75.9,79.3,80.4,90.05,206.0,242.0,186.5,180.75,168.0,186.5,227.0,247.0,244.0,233.0,266.5,244.25,199.5,183.5,199.5,202.0,195.0,199.0,198.5,207.0,252.5,330.0,303.0,303.0,253.0,211.0,227.0,399.0,250.0,373.0,379.0,416.0,521.0,523.0,755.0,680.0,499.0,749.0,785.0,847.0,851.0,702.36,569.97,545.54,587.98,600.02,549.73,800.76,1317.52
