fips,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
01,117.0,113.0,108.5,106.0,105.0,103.5,100.5,98.95,89.9,83.25,83.05,81.1,82.05,93.25,207.5,223.5,167.0,169.0,169.0,184.25,223.75,243.75,231.25,210.75,226.0,209.25,166.5,160.0,185.5,192.0,191.5,207.5,198.5,201.0,207.5,266.0,278.0,257.0,195.0,176.0,200.0,280.0,191.0,261.0,276.0,332.0,362.0,453.0,552.0,486.0,448.0,526.0,644.0,592.0,571.0,527.96,428.44,410.08,441.98,451.03,413.23,601.93,990.38
01001,117.0,113.0,108.5,106.0,105.0,103.5,100.5,98.95,89.9,83.25,83.05,81.1,82.05,93.25,207.5,223.5,167.0,169.0,169.0,184.25,223.75,243.75,231.25,210.75,226.0,209.25,166.5,160.0,185.5,192.0,191.5,207.5,198.5,201.0,207.5,266.0,278.0,257.0,195.0,176.0,200.0,280.0,191.0,261.0,276.0,332.0,362.0,453.0,552.0,486.0,448.0,526.0,644.0,592.0,571.0,527.96,428.44,410.08,441.98,451.03,413.23,601.93,990.38
01003,117.0,113.0,108.5,106.0,105.0,103.5,100.5,98.95,89.9,83.25,83.05,81.1,82.05,93.25,207.5,223.5,167.0,169.0,169.0,184.25,223.75,243.75,231.25,210.75,226.0,209.25,166.5,160.0,185.5,192.0,191.5,207.5,198.5,201.0,207.5,266.0,278.0,257.0,195.0,176.0,200.0,280.0,191.0,261.0,276.0,332.0,362.0,453.0,552.0,486.0,448.0,526.0,644.0,592.0,571.0,527.96,428.44,410.08,441.98,451.03,413.23,601.93,990.38
01005,117.0,113.0,108.5,106.0,105.0,103.5,100.5,98.95,89.9,83.25,83.05,81.1,82.05,93.25,207.5,223.5,167.0,169.0,169.0,184.25,223.75,243.75,231.25,210.75,226.0,209.25,166.5,160.0,185.5,192.0,191.5,207.5,198.5,201.0,207.5,266.0,278.0,257.0,195.0,176.0,200.0,280.0,191.0,261.0,276.0,332.0,362.0,453.0,552.0,486.0,448.0,526.0,644.0,592.0,571.0,527.96,428.44,410.08,441.98,451.03,413.23,601.93,990.38
01007,117.0,113.0,108.5,106.0,105.0,103.5,100.5,98.95,89.9,83.25,83.05,81.1,82.05,93.25,207.5,223.5,167.0,169.0,169.0,184.25,223.75,243.75,231.25,210.75,226.0,209.25,166.5,160.0,185.5,192.0,191.5,207.5,198.5,201.0,207.5,266.0,278.0,257.0,195.0,176.0,200.0,280.0,191.0,261.0,276.0,332.0,362.0,453.0,552.0,486.0,448.0,526.0,644.0,592.0,571.0,527.96,428.44,410.08,441.98,451.03,413.23,601.93,990.38
01009,117.0,113.0,108.5,106.0,105.0,103.5,100.5,98.95,89.9,83.25,83.05,81.1,82.05,93.25,207.5,223.5,167.0,169.0,169.0,184.25,223.75,243.75,231.25,210.75,226.0,209.25,166.5,160.0,185.5,192.0,191.5,207.5,198.5,201.0,207.5,266.0,278.0,257.0,195.0,176.0,200.0,280.0,191.0,261.0,276.0,332.0,362.0,453.0,552.0,486.0,448.0,526.0,644.0,592.0,571.0,527.96,428.44,410.08,441.98,451.03,413.23,601.93,990.38
01011,117.0,113.0,108.5,106.0,105.0,103.5,100.5,98.95,89.9,83.25,83.05,81.1,82.05,93.25,207.5,223.5,167.0,169.0,169.0,184.25,223.75,243.75,231.25,210.75,226.0,209.25,166.5,160.0,185.5,192.0,191.5,207.5,198.5,201.0,207.5,266.0,278.0,257.0,195.0,176.0,200.0,280.0,191.0,261.0,276.0,332.0,362.0,453.0,552.0,486.0,448.0,526.0,644.0,592.0,571.0,527.96,428.44,410.08,441.98,451.03,413.23,601.93,990.38
01013,117.0,113.0,108.5,106.0,105.0,103.5,100.5,98.95,89.9,83.25,83.05,81.1,82.05,93.25,207.5,223.5,167.0,169.0,169.0,184.25,223.75,243.75,231.25,210.75,226.0,209.25,166.5,160.0,185.5,192.0,191.5,207.5,198.5,201.0,207.5,266.0,278.0,257.0,195.0,176.0,200.0,280.0,191.0,261.0,276.0,332.0,362.0,453.0,552.0,486.0,448.0,526.0,644.0,592.0,571.0,527.96,428.44,410.08,441.98,451.03,413.23,601.93,990.38
01015,117.0,113.0,108.5,106.0,105.0,103.5,100.5,98.95,89.9,83.25,83.05,81.1,82.05,93.25,207.5,223.5,167.0,169.0,169.0,184.25,223.75,243.75,231.25,210.75,226.0,209.25,166.5,160.0,185.5,192.0,191.5,207.5,198.5,201.0,207.5,266.0,278.0,257.0,195.0,176.0,200.0,280.0,191.0,261.0,276.0,332.0,362.0,453.0,552.0,486.0,448.0,526.0,644.0,592.0,571.0,527.96,428.44,410.08,441.98,451.03,413.23,601.93,990.38
01017,117.0,113.0,108.5,106.0,105.0,103.5,100.5,98.95,89.9,83.25,83.05,81.1,82.05,93.25,207.5,223.5,167.0,169.0,169.0,184.25,223.75,243.75,231.25,210.75,226.0,209.25,166.5,160.0,185.5,192.0,191.5,207.5,198.5,201.0,207.5,266.0,278.0,257.0,195.0,176.0,200.0,280.0,191.0,261.0,276.0,332.0,362.0,453.0,552.0,486.0,448.0,526.0,644.0,592.0,571.0,527.96,428.44,410.08,441.98,451.03,413.23,601.93,990.38
01019,117.0,113.0,108.5,106.0,105.0,103.5,100.5,98.95,89.9,83.25,83.05,81.1,82.05,93.25,207.5,223.5,167.0,169.0,169.0,184.25,223.75,243.75,231.25,210.75,226.0,209.25,166.5,160.0,185.5,192.0,191.5,207.5,198.5,201.0,207.5,266.0,278.0,257.0,195.0,176.0,200.0,280.0,191.0,261.0,276.0,332.0,362.0,453.0,552.0,486.0,448.0,526.0,644.0,592.0,571.0,527.96,428.44,410.08,441.98,451.03,413.23,601.93,990.38
01021,117.0,113.0,108.5,106.0,105.0,103.5,100.5,98.95,89.9,83.25,83.05,81.1,82.05,93.25,207.5,223.5,167.0,169.0,169.0,184.25,223.75,243.75,231.25,210.75,226.0,209.25,166.5,160.0,185.5,192.0,191.5,207.5,198.5,201.0,207.5,266.0,278.0,257.0,195.0,176.0,200.0,280.0,191.0,261.0,276.0,332.0,362.0,453.0,552.0,486.0,448.0,526.0,644.0,592.0,571.0,527.96,428.44,410.08,441.98,451.03,413.23,601.93,990.38
01023,117.0,113.0,108.5,106.0,105.0,103.5,100.5,98.95,89.9,83.25,83.05,81.1,82.05,93.25,207.5,223.5,167.0,169.0,169.0,184.25,223.75,243.75,231.25,210.75,226.0,209.25,166.5,160.0,185.5,192.0,191.5,207.5,198.5,201.0,207.5,266.0,278.0,257.0,195.0,176.0,200.0,280.0,191.0,261.0,276.0,332.0,362.0,453.0,552.0,486.0,448.0,526.0,644.0,592.0,571.0,527.96,428.44,410.08,441.98,451.03,413.23,601.93,990.38
01025,117.0,113.0,108.5,106.0,105.0,103.5,100.5,98.95,89.9,83.25,83.05,81.1,82.05,93.25,207.5,223.5,167.0,169.0,169.0,184.25,223.75,243.75,231.25,210.75,226.0,209.25,166.5,160.0,185.5,192.0,191.5,207.5,198.5,201.0,207.5,266.0,278.0,257.0,195.0,176.0,200.0,280.0,191.0,261.0,276.0,332.0,362.0,453.0,552.0,486.0,448.0,526.0,644.0,592.0,571.0,527.96,428.44,410.08,441.98,451.03,413.23,601.93,990.38
01027,117.0,113.0,108.5,106.0,105.0,103.5,100.5,98.95,89.9,83.25,83.05,81.1,82.05,93.25,207.5,223.5,167.0,169.0,169.0,184.25,223.75,243.75,231.25,210.75,226.0,209.25,166.5,160.0,185.5,192.0,191.5,207.5,198.5,201.0,207.5,266.0,278.0,257.0,195.0,176.0,200.0,280.0,191.0,261.0,276.0,332.0,362.0,453.0,552.0,486.0,448.0,526.0,644.0,592.0,571.0,527.96,428.44,410.08,441.98,451.03,413.23,601.93,990.38
01029,117.0,113.0,108.5,106.0,105.0,103.5,100.5,98.95,89.9,83.25,83.05,81.1,82.05,93.25,207.5,223.5,167.0,169.0,169.0,184.25,223.75,243.75,231.25,210.75,226.0,209.25,166.5,160.0,185.5,192.0,191.5,207.5,198.5,201.0,207.5,266.0,278.0,257.0,195.0,176.0,200.0,280.0,191.0,261.0,276.0,332.0,362.0,453.0,552.0,486.0,448.0,526.0,644.0,592.0,571.0,527.96,428.44,410.08,441.98,451.03,413.23,601.93,990.38
01031,117.0,113.0,108.5,106.0,105.0,103.5,100.5,98.95,89.9,83.25,83.05,81.1,82.05,93.25,207.5,223.5,167.0,169.0,169.0,184.25,223.75,243.75,231.25,210.75,226.0,209.25,166.5,160.0,185.5,192.0,191.5,207.5,198.5,201.0,207.5,266.0,278.0,257.0,195.0,176.0,200.0,280.0,191.0,261.0,276.0,332.0,362.0,453.0,552.0,486.0,448.0,526.0,644.0,592.0,571.0,527.96,428.44,410.08,441.98,451.03,413.23,601.93,990.38
01033,117.0,113.0,108.5,106.0,105.0,103.5,100.5,98.95,89.9,83.25,83.05,81.1,82.05,93.25,207.5,223.5,167.0,169.0,169.0,184.25,223.75,243.75,231.25,210.75,226.0,209.25,166.5,160.0,185.5,192.0,191.5,207.5,198.5,201.0,207.5,266.0,278.0,257.0,195.0,176.0,200.0,280.0,191.0,261.0,276.0,332.0,362.0,453.0,552.0,486.0,448.0,526.0,644.0,592.0,571.0,527.96,428.44,410.08,441.98,451.03,413.23,601.93,990.38
01035,117.0,113.0,108.5,106.0,105.0,103.5,100.5,98.95,89.9,83.25,83.05,81.1,82.05,93.25,207.5,223.5,167.0,169.0,169.0,184.25,223.75,243.75,231.25,210.75,226.0,209.25,166.5,160.0,185.5,192.0,191.5,207.5,198.5,201.0,207.5,266.0,278.0,257.0,195.0,176.0,200.0,280.0,191.0,261.0,276.0,332.0,362.0,453.0,552.0,486.0,448.0,526.0,644.0,592.0,571.0,527.96,428.44,410.08,441.98,451.03,413.23,601.93,990.38
01037,117.0,113.0,108.5,106.0,105.0,103.5,100.5,98.95,89.9,83.25,83.05,81.1,82.05,93.25,207.5,223.5,167.0,169.0,169.0,184.25,223.75,243.75,231.25,210.75,226.0,209.25,166.5,160.0,185.5,192.0,191.5,207.5,198.5,201.0,207.5,266.0,278.0,257.0,195.0,176.0,200.0,280.0,191.0,261.0,276.0,332.0,362.0,453.0,552.0,486.0,448.0,526.0,644.0,592.0,571.0,527.96,428.44,410.08,441.98,451.03,413.23,601.93,990.38
01039,117.0,113.0,108.5,106.0,105.0,103.5,100.5,98.95,89.9,83.25,83.05,81.1,82.05,93.25,207.5,223.5,167.0,169.0,169.0,184.25,223.75,243.75,231.25,210.75,226.0,209.25,166.5,160.0,185.5,192.0,191.5,207.5,198.5,201.0,207.5,266.0,278.0,257.0,195.0,176.0,200.0,280.0,191.0,261.0,276.0,332.0,362.0,453.0,552.0,486.0,448.0,526.0,644.0,592.0,571.0,527.96,428.44,410.08,441.98,451.03,413.23,601.93,990.38
01041,117.0,113.0,108.5,106.0,105.0,103.5,100.5,98.95,89.9,83.25,83.05,81.1,82.05,93.25,207.5,223.5,167.0,169.0,169.0,184.25,223.75,243.75,231.25,210.75,226.0,209.25,166.5,160.0,185.5,192.0,191.5,207.5,198.5,201.0,207.5,266.0,278.0,257.0,195.0,176.0,200.0,280.0,191.0,261.0,276.0,332.0,362.0,453.0,552.0,486.0,448.0,526.0,644.0,592.0,571.0,527.96,428.44,410.08,441.98,451.03,413.23,601.93,990.38
01043,117.0,113.0,108.5,106.0,105.0,103.5,100.5,98.95,89.9,83.25,83.05,81.1,82.05,93.25,207.5,223.5,167.0,169.0,169.0,184.25,223.75,243.75,231.25,210.75,226.0,209.25,166.5,160.0,185.5,192.0,191.5,207.5,198.5,201.0,207.5,266.0,278.0,257.0,195.0,176.0,200.0,280.0,191.0,261.0,276.0,332.0,362.0,453.0,552.0,486.0,448.0,526.0,644.0,592.0,571.0,527.96,428.44,410.08,441.98,451.03,413.23,601.93,990.38
01045,117.0,113.0,108.5,106.0,105.0,103.5,100.5,98.95,89.9,83.25,83.05,81.1,82.05,93.25,207.5,223.5,167.0,169.0,169.0,184.25,223.75,243.75,231.25,210.75,226.0,209.25,166.5,160.0,185.5,192.0,191.5,207.5,198.5,201.0,207.5,266.0,278.0,257.0,195.0,176.0,200.0,280.0,191.0,261.0,276.0,332.0,362.0,453.0,552.0,486.0,448.0,526.0,644.0,592.0,571.0,527.96,428.44,410.08,441.98,451.03,413.23,601.93,990.38
01047,117.0,113.0,108.5,106.0,105.0,103.5,100.5,98.95,89.9,83.25,83.05,81.1,82.05,93.25,207.5,223.5,167.0,169.0,169.0,184.25,223.75,243.75,231.25,210.75,226.0,209.25,166.5,160.0,185.5,192.0,191.5,207.5,198.5,201.0,207.5,266.0,278.0,257.0,195.0,176.0,200.0,280.0,191.0,261.0,276.0,332.0,362.0,453.0,552.0,486.0,448.0,526.0,644.0,592.0,571.0,527.96,428.44,410.08,441.98,451.03,413.23,601.93,990.38
