fips,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01,3.59,3.14,3.12,4.45,5.24,4.02,5.89,6.53,8.56,7.87,7.68,9.65,5.33,5.49,5.13,3.88,4.64,5.62,3.93,3.51,4.08,4.19,3.9,3.32,5.44,7.66,4.59
01001,3.65,3.3,3.42,4.47,6.33,5.24,6.65,7.35,9.51,9.46,8.7,10.57,6.48,6.64,5.57,4.35,4.98,5.49,4.09,3.79,4.23,4.22,3.95,3.54,4.86,7.87,4.2
01003,3.65,3.3,3.42,4.47,6.33,5.24,6.65,7.35,9.51,9.46,8.7,10.57,6.48,6.64,5.57,4.35,4.98,5.49,4.09,3.79,4.23,4.22,3.95,3.54,4.86,7.87,4.2
01005,3.65,3.3,3.42,4.47,6.33,5.24,6.65,7.35,9.51,9.46,8.7,10.57,6.48,6.64,5.57,4.35,4.98,5.49,4.09,3.79,4.23,4.22,3.95,3.54,4.86,7.87,4.2
01007,3.65,3.3,3.42,4.47,6.33,5.24,6.65,7.35,9.51,9.46,8.7,10.57,6.48,6.64,5.57,4.35,4.98,5.49,4.09,3.79,4.23,4.22,3.95,3.54,4.86,7.87,4.2
01009,3.65,3.3,3.42,4.47,6.33,5.24,6.65,7.35,9.51,9.46,8.7,10.57,6.48,6.64,5.57,4.35,4.98,5.49,4.09,3.79,4.23,4.22,3.95,3.54,4.86,7.87,4.2
01011,3.65,3.3,3.42,4.47,6.33,5.24,6.65,7.35,9.51,9.46,8.7,10.57,6.48,6.64,5.57,4.35,4.98,5.49,4.09,3.79,4.23,4.22,3.95,3.54,4.86,7.87,4.2
01013,3.65,3.3,3.42,4.47,6.33,5.24,6.65,7.35,9.51,9.46,8.7,10.57,6.48,6.64,5.57,4.35,4.98,5.49,4.09,3.79,4.23,4.22,3.95,3.54,4.86,7.87,4.2
01015,3.65,3.3,3.42,4.47,6.33,5.24,6.65,7.35,9.51,9.46,8.7,10.57,6.48,6.64,5.57,4.35,4.98,5.49,4.09,3.79,4.23,4.22,3.95,3.54,4.86,7.87,4.2
01017,3.65,3.3,3.42,4.47,6.33,5.24,6.65,7.35,9.51,9.46,8.7,10.57,6.48,6.64,5.57,4.35,4.98,5.49,4.09,3.79,4.23,4.22,3.95,3.54,4.86,7.87,4.2
01019,3.65,3.3,3.42,4.47,6.33,5.24,6.65,7.35,9.51,9.46,8.7,10.57,6.48,6.64,5.57,4.35,4.98,5.49,4.09,3.79,4.23,4.22,3.95,3.54,4.86,7.87,4.2
