fips,2016,2017,2018,2019,2020,2021,2022,2023
01,0.584346,0.942192,0.970259,0.7744,0.634231,1.263654,1.267308,0.940077
01001,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01003,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01005,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01007,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01009,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01011,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01013,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01015,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01017,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01019,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01021,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01023,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01025,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01027,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01029,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01031,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01033,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01035,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01037,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01039,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01041,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01043,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01045,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01047,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01049,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01051,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01053,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01055,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01057,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01059,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01061,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01063,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01065,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01067,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01069,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01071,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01073,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01075,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01077,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01079,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01081,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01083,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01085,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01087,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01089,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01091,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01093,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01095,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01097,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01099,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01101,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01103,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01105,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01107,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01109,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01111,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01113,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01115,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01117,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01119,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01121,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01123,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01125,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01127,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01129,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01131,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
01133,0.650231,0.864962,0.916593,0.69356,0.571,1.190231,1.167038,0.858
04001,0.584346,0.942192,0.970259,0.7744,0.634231,1.263654,1.267308,0.940077
04003,0.584346,0.942192,0.970259,0.7744,0.634231,1.263654,1.267308,0.940077
04005,0.584346,0.942192,0.970259,0.7744,0.634231,1.263654,1.267308,0.940077
04007,0.584346,0.942192,0.970259,0.7744,0.634231,1.263654,1.267308,0.940077
04009,0.584346,0.942192,0.970259,0.7744,0.634231,1.263654,1.267308,0.940077
04011,0.584346,0.942192,0.970259,0.7744,0.634231,1.263654,1.267308,0.940077
04012,0.584346,0.942192,0.970259,0.7744,0.634231,1.263654,1.267308,0.940077
04013,0.584346,0.942192,0.970259,0.7744,0.634231,1.263654,1.267308,0.940077
04015,0.584346,0.942192,0.970259,0.7744,0.634231,1.263654,1.267308,0.940077
04017,0.584346,0.942192,0.970259,0.7744,0.634231,1.263654,1.267308,0.940077
04019,0.584346,0.942192,0.970259,0.7744,0.634231,1.263654,1.267308,0.940077
04021,0.584346,0.942192,0.970259,0.7744,0.634231,1.263654,1.267308,0.940077
04023,0.584346,0.942192,0.970259,0.7744,0.634231,1.263654,1.267308,0.940077
04025,0.584346,0.942192,0.970259,0.7744,0.634231,1.263654,1.267308,0.940077
04027,0.584346,0.942192,0.970259,0.7744,0.634231,1.263654,1.267308,0.940077
05001,0.677538,0.919885,0.976407,0.72692,0.590269,1.215731,1.205692,0.8965
05003,0.677538,0.919885,0.976407,0.72692,0.590269,1.215731,1.205692,0.8965
05005,0.677538,0.919885,0.976407,0.72692,0.590269,1.215731,1.205692,0.8965
05007,0.677538,0.919885,0.976407,0.72692,0.590269,1.215731,1.205692,0.8965
05009,0.677538,0.919885,0.976407,0.72692,0.590269,1.215731,1.205692,0.8965
05011,0.677538,0.919885,0.976407,0.72692,0.590269,1.215731,1.205692,0.8965
05013,0.677538,0.919885,0.976407,0.72692,0.590269,1.215731,1.205692,0.8965
05015,0.677538,0.919885,0.976407,0.72692,0.590269,1.215731,1.205692,0.8965
05017,0.677538,0.919885,0.976407,0.72692,0.590269,1.215731,1.205692,0.8965
05019,0.677538,0.919885,0.976407,0.72692,0.590269,1.215731,1.205692,0.8965
05021,0.677538,0.919885,0.976407,0.72692,0.590269,1.215731,1.205692,0.8965
05023,0.677538,0.919885,0.976407,0.72692,0.590269,1.215731,1.205692,0.8965
05025,0.677538,0.919885,0.976407,0.72692,0.590269,1.215731,1.205692,0.8965
05027,0.677538,0.919885,0.976407,0.72692,0.590269,1.215731,1.205692,0.8965
05029,0.677538,0.919885,0.976407,0.72692,0.590269,1.215731,1.205692,0.8965
05031,0.677538,0.919885,0.976407,0.72692,0.590269,1.215731,1.205692,0.8965
05033,0.677538,0.919885,0.976407,0.72692,0.590269,1.215731,1.205692,0.8965
05035,0.677538,0.919885,0.976407,0.72692,0.590269,1.215731,1.205692,0.8965
05037,0.677538,0.919885,0.976407,0.72692,0.590269,1.215731,1.205692,0.8965
05039,0.677538,0.919885,0.976407,0.72692,0.590269,1.215731,1.205692,0.8965
05041,0.677538,0.919885,0.976407,0.72692,0.590269,1.215731,1.205692,0.8965
05043,0.677538,0.919885,0.976407,0.72692,0.590269,1.215731,1.205692,0.8965
05045,0.677538,0.919885,0.976407,0.72692,0.590269,1.215731,1.205692,0.8965
05047,0.677538,0.919885,0.976407,0.72692,0.590269,1.215731,1.205692,0.8965
05049,0.677538,0.919885,0.976407,0.72692,0.590269,1.215731,1.205692,0.8965
05051,0.677538,0.919885,0.976407,0.72692,0.590269,1.215731,1.205692,0.8965
05053,0.677538,0.919885,0.976407,0.72692,0.590269,1.215731,1.205692,0.8965
05055,0.677538,0.919885,0.976407,0.72692,0.590269,1.215731,1.205692,0.8965
05057,0.677538,0.919885,0.976407,0.72692,0.590269,1.215731,1.205692,0.8965
05059,0.677538,0.919885,0.976407,0.72692,0.590269,1.215731,1.205692,0.8965
05061,0.677538,0.919885,0.976407,0.72692,0.590269,1.215731,1.205692,0.8965
05063,0.677538,0.919885,0.976407,0.72692,0.590269,1.215731,1.205692,0.8965
05065,0.677538,0.919885,0.976407,0.72692,0.590269,1.215731,1.205692,0.8965
05067,0.677538,0.919885,0.976407,0.72692,0.590269,1.215731,1.205692,0.8965
05069,0.677538,0.919885,0.976407,0.72692,0.590269,1.215731,1.205692,0.8965
05071,0.677538,0.919885,0.976407,0.72692,0.590269,1.215731,1.205692,0.8965
05073,0.677538,0.919885,0.976407,0.72692,0.590269,1.215731,1.205692,0.8965
05075,0.677538,0.919885,0.976407,0.72692,0.590269,1.215731,1.205692,0.8965
05077,0.677538,0.919885,0.976407,0.72692,0.590269,1.215731,1.205692,0.8965
05079,0.677538,0.919885,0.976407,0.72692,0.590269,1.215731,1.205692,0.8965
05081,0.677538,0.919885,0.976407,0.72692,0.590269,1.215731,1.205692,0.8965
05083,0.677538,0.919885,0.976407,0.72692,0.590269,1.215731,1.205692,0.8965
