fips,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01,79.7,85.8,89.7,87.2,89.9,89.1,80.3,92.2,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01001,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01003,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01005,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01007,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01009,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01011,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01013,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01015,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01017,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01019,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01021,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01023,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01025,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01027,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01029,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01031,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01033,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01035,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01037,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01039,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01041,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01043,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01045,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01047,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01049,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01051,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01053,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01055,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01057,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01059,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01061,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01063,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01065,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01067,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01069,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01071,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01073,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01075,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01077,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01079,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01081,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01083,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01085,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01087,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01089,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01091,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01093,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
01095,68.6,80.7,84.0,81.5,77.0,73.4,67.2,76.7,113.0,121.0,125.0,152.0,147.0,119.0,120.0,115.0,116.0,109.0,121.0,142.0,173.0,187.0
