fips,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01,117.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
01001,117.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
01003,117.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
01005,117.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
01007,117.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
01009,117.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
01011,117.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
01013,117.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
01015,117.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
01017,117.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
01019,117.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
01021,117.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
01023,117.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
01025,117.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
01027,117.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
01029,117.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
01031,117.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
01033,117.0,142.0,172.0,181.0,261.0,247.0,158.0,168.0,170.0,159.0,161.0,171.0,195.0,261.0,324.0
