fips,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01,"1,330","1,420","1,430","1,380","1,830","1,990","1,760","1,620","1,360","1,200","1,300","1,360","1,590","1,760","2,240"
01001,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01003,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01005,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01007,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01009,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01011,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01013,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01015,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01017,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01019,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01021,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01023,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01025,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01027,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01029,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01031,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01033,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01035,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01037,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01039,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01041,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01043,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01045,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01047,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01049,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01051,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01053,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01055,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01057,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01059,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01061,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01063,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01065,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01067,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01069,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01071,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01073,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01075,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01077,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01079,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01081,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01083,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01085,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01087,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01089,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01091,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01093,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01095,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01097,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01099,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01101,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01103,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01105,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01107,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01109,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01111,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01113,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01115,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01117,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01119,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01121,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01123,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01125,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01127,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01129,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01131,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
01133,"1,300","1,400","1,430","1,410","1,490","1,720","1,580","1,450","1,280","1,080","1,200","1,100","1,450","1,570","1,790"
04001,"1,350","1,470","1,480","1,500","1,950","2,050","1,880","1,730","1,540","1,340","1,430","1,500","1,700","1,830","2,230"
04003,"1,350","1,470","1,480","1,500","1,950","2,050","1,880","1,730","1,540","1,340","1,430","1,500","1,700","1,830","2,230"
04005,"1,350","1,470","1,480","1,500","1,950","2,050","1,880","1,730","1,540","1,340","1,430","1,500","1,700","1,830","2,230"
04007,"1,350","1,470","1,480","1,500","1,950","2,050","1,880","1,730","1,540","1,340","1,430","1,500","1,700","1,830","2,230"
04009,"1,350","1,470","1,480","1,500","1,950","2,050","1,880","1,730","1,540","1,340","1,430","1,500","1,700","1,830","2,230"
04011,"1,350","1,470","1,480","1,500","1,950","2,050","1,880","1,730","1,540","1,340","1,430","1,500","1,700","1,830","2,230"
04012,"1,350","1,470","1,480","1,500","1,950","2,050","1,880","1,730","1,540","1,340","1,430","1,500","1,700","1,830","2,230"
04013,"1,350","1,470","1,480","1,500","1,950","2,050","1,880","1,730","1,540","1,340","1,430","1,500","1,700","1,830","2,230"
