fips,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01,42.9,50.3,51.7,46.6,47.9,50.6,44.8,54.8,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01001,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01003,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01005,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01007,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01009,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01011,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01013,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01015,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01017,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01019,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01021,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01023,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01025,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01027,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01029,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01031,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01033,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01035,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01037,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01039,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01041,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01043,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01045,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01047,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01049,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01051,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01053,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01055,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01057,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01059,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01061,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01063,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01065,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01067,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01069,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01071,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01073,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01075,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01077,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01079,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01081,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01083,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01085,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01087,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01089,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01091,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01093,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
01095,36.8,46.6,48.0,44.2,44.9,49.9,42.3,49.5,71.2,81.7,82.3,107.0,103.0,74.3,69.1,63.5,62.0,64.2,70.2,83.7,102.0,129.0
