fips,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01,84.2,90.2,94.3,92.3,95.4,94.5,85.4,97.7,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
01001,82.7,96.4,101.0,98.4,91.2,85.0,79.0,89.3,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
01003,82.7,96.4,101.0,98.4,91.2,85.0,79.0,89.3,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
01005,82.7,96.4,101.0,98.4,91.2,85.0,79.0,89.3,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
01007,82.7,96.4,101.0,98.4,91.2,85.0,79.0,89.3,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
01009,82.7,96.4,101.0,98.4,91.2,85.0,79.0,89.3,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
01011,82.7,96.4,101.0,98.4,91.2,85.0,79.0,89.3,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
01013,82.7,96.4,101.0,98.4,91.2,85.0,79.0,89.3,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
01015,82.7,96.4,101.0,98.4,91.2,85.0,79.0,89.3,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
01017,82.7,96.4,101.0,98.4,91.2,85.0,79.0,89.3,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
01019,82.7,96.4,101.0,98.4,91.2,85.0,79.0,89.3,117.0,123.0,126.0,153.0,148.0,121.0,122.0,117.0,118.0,111.0,124.0,145.0,177.0,189.0
