fips,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01,0.00238456,0.00229314,0.00232279,0.00227337,0.00255507,0.0035682,0.00348171,0.00312835,0.00416866,0.005036,0.0054462,0.0054289,0.00575261,0.00570319,0.0057452,0.00570813,0.00500141,0.00498411,0.00517438,0.00574272,0.00596512
01001,0.00238456,0.00229314,0.00232279,0.00227337,0.00255507,0.0035682,0.00348171,0.00312835,0.00416866,0.005036,0.0054462,0.0054289,0.00575261,0.00570319,0.0057452,0.00570813,0.00500141,0.00498411,0.00517438,0.00574272,0.00596512
01003,0.00238456,0.00229314,0.00232279,0.00227337,0.00255507,0.0035682,0.00348171,0.00312835,0.00416866,0.005036,0.0054462,0.0054289,0.00575261,0.00570319,0.0057452,0.00570813,0.00500141,0.00498411,0.00517438,0.00574272,0.00596512
01005,0.00238456,0.00229314,0.00232279,0.00227337,0.00255507,0.0035682,0.00348171,0.00312835,0.00416866,0.005036,0.0054462,0.0054289,0.00575261,0.00570319,0.0057452,0.00570813,0.00500141,0.00498411,0.00517438,0.00574272,0.00596512
01007,0.00238456,0.00229314,0.00232279,0.00227337,0.00255507,0.0035682,0.00348171,0.00312835,0.00416866,0.005036,0.0054462,0.0054289,0.00575261,0.00570319,0.0057452,0.00570813,0.00500141,0.00498411,0.00517438,0.00574272,0.00596512
01009,0.00238456,0.00229314,0.00232279,0.00227337,0.00255507,0.0035682,0.00348171,0.00312835,0.00416866,0.005036,0.0054462,0.0054289,0.00575261,0.00570319,0.0057452,0.00570813,0.00500141,0.00498411,0.00517438,0.00574272,0.00596512
01011,0.00238456,0.00229314,0.00232279,0.00227337,0.00255507,0.0035682,0.00348171,0.00312835,0.00416866,0.005036,0.0054462,0.0054289,0.00575261,0.00570319,0.0057452,0.00570813,0.00500141,0.00498411,0.00517438,0.00574272,0.00596512
01013,0.00238456,0.00229314,0.00232279,0.00227337,0.00255507,0.0035682,0.00348171,0.00312835,0.00416866,0.005036,0.0054462,0.0054289,0.00575261,0.00570319,0.0057452,0.00570813,0.00500141,0.00498411,0.00517438,0.00574272,0.00596512
01015,0.00238456,0.00229314,0.00232279,0.00227337,0.00255507,0.0035682,0.00348171,0.00312835,0.00416866,0.005036,0.0054462,0.0054289,0.00575261,0.00570319,0.0057452,0.00570813,0.00500141,0.00498411,0.00517438,0.00574272,0.00596512
01017,0.00238456,0.00229314,0.00232279,0.00227337,0.00255507,0.0035682,0.00348171,0.00312835,0.00416866,0.005036,0.0054462,0.0054289,0.00575261,0.00570319,0.0057452,0.00570813,0.00500141,0.00498411,0.00517438,0.00574272,0.00596512
01019,0.00238456,0.00229314,0.00232279,0.00227337,0.00255507,0.0035682,0.00348171,0.00312835,0.00416866,0.005036,0.0054462,0.0054289,0.00575261,0.00570319,0.0057452,0.00570813,0.00500141,0.00498411,0.00517438,0.00574272,0.00596512
01021,0.00238456,0.00229314,0.00232279,0.00227337,0.00255507,0.0035682,0.00348171,0.00312835,0.00416866,0.005036,0.0054462,0.0054289,0.00575261,0.00570319,0.0057452,0.00570813,0.00500141,0.00498411,0.00517438,0.00574272,0.00596512
01023,0.00238456,0.00229314,0.00232279,0.00227337,0.00255507,0.0035682,0.00348171,0.00312835,0.00416866,0.005036,0.0054462,0.0054289,0.00575261,0.00570319,0.0057452,0.00570813,0.00500141,0.00498411,0.00517438,0.00574272,0.00596512
01025,0.00238456,0.00229314,0.00232279,0.00227337,0.00255507,0.0035682,0.00348171,0.00312835,0.00416866,0.005036,0.0054462,0.0054289,0.00575261,0.00570319,0.0057452,0.00570813,0.00500141,0.00498411,0.00517438,0.00574272,0.00596512
01027,0.00238456,0.00229314,0.00232279,0.00227337,0.00255507,0.0035682,0.00348171,0.00312835,0.00416866,0.005036,0.0054462,0.0054289,0.00575261,0.00570319,0.0057452,0.00570813,0.00500141,0.00498411,0.00517438,0.00574272,0.00596512
01029,0.00238456,0.00229314,0.00232279,0.00227337,0.00255507,0.0035682,0.00348171,0.00312835,0.00416866,0.005036,0.0054462,0.0054289,0.00575261,0.00570319,0.0057452,0.00570813,0.00500141,0.00498411,0.00517438,0.00574272,0.00596512
01031,0.00238456,0.00229314,0.00232279,0.00227337,0.00255507,0.0035682,0.00348171,0.00312835,0.00416866,0.005036,0.0054462,0.0054289,0.00575261,0.00570319,0.0057452,0.00570813,0.00500141,0.00498411,0.00517438,0.00574272,0.00596512
01033,0.00238456,0.00229314,0.00232279,0.00227337,0.00255507,0.0035682,0.00348171,0.00312835,0.00416866,0.005036,0.0054462,0.0054289,0.00575261,0.00570319,0.0057452,0.00570813,0.00500141,0.00498411,0.00517438,0.00574272,0.00596512
01035,0.00238456,0.00229314,0.00232279,0.00227337,0.00255507,0.0035682,0.00348171,0.00312835,0.00416866,0.005036,0.0054462,0.0054289,0.00575261,0.00570319,0.0057452,0.00570813,0.00500141,0.00498411,0.00517438,0.00574272,0.00596512
01037,0.00238456,0.00229314,0.00232279,0.00227337,0.00255507,0.0035682,0.00348171,0.00312835,0.00416866,0.005036,0.0054462,0.0054289,0.00575261,0.00570319,0.0057452,0.00570813,0.00500141,0.00498411,0.00517438,0.00574272,0.00596512
