fips,2017,2018,2019,2020,2021,2022,2023,2024,2025
01,2.08006,1.1142,0.636856,0.643218,0.513034,0.876338,1.8,7.86384,9.31564
01001,2.08006,1.1142,0.636856,0.643218,0.513034,0.876338,1.8,7.86384,9.31564
01003,2.08006,1.1142,0.636856,0.643218,0.513034,0.876338,1.8,7.86384,9.31564
01005,2.08006,1.1142,0.636856,0.643218,0.513034,0.876338,1.8,7.86384,9.31564
01007,2.08006,1.1142,0.636856,0.643218,0.513034,0.876338,1.8,7.86384,9.31564
01009,2.08006,1.1142,0.636856,0.643218,0.513034,0.876338,1.8,7.86384,9.31564
01011,2.08006,1.1142,0.636856,0.643218,0.513034,0.876338,1.8,7.86384,9.31564
01013,2.08006,1.1142,0.636856,0.643218,0.513034,0.876338,1.8,7.86384,9.31564
01015,2.08006,1.1142,0.636856,0.643218,0.513034,0.876338,1.8,7.86384,9.31564
01017,2.08006,1.1142,0.636856,0.643218,0.513034,0.876338,1.8,7.86384,9.31564
01019,2.08006,1.1142,0.636856,0.643218,0.513034,0.876338,1.8,7.86384,9.31564
01021,2.08006,1.1142,0.636856,0.643218,0.513034,0.876338,1.8,7.86384,9.31564
01023,2.08006,1.1142,0.636856,0.643218,0.513034,0.876338,1.8,7.86384,9.31564
01025,2.08006,1.1142,0.636856,0.643218,0.513034,0.876338,1.8,7.86384,9.31564
01027,2.08006,1.1142,0.636856,0.643218,0.513034,0.876338,1.8,7.86384,9.31564
01029,2.08006,1.1142,0.636856,0.643218,0.513034,0.876338,1.8,7.86384,9.31564
01031,2.08006,1.1142,0.636856,0.643218,0.513034,0.876338,1.8,7.86384,9.31564
01033,2.08006,1.1142,0.636856,0.643218,0.513034,0.876338,1.8,7.86384,9.31564
01035,2.08006,1.1142,0.636856,0.643218,0.513034,0.876338,1.8,7.86384,9.31564
01037,2.08006,1.1142,0.636856,0.643218,0.513034,0.876338,1.8,7.86384,9.31564
01039,2.08006,1.1142,0.636856,0.643218,0.513034,0.876338,1.8,7.86384,9.31564
01041,2.08006,1.1142,0.636856,0.643218,0.513034,0.876338,1.8,7.86384,9.31564
01043,2.08006,1.1142,0.636856,0.643218,0.513034,0.876338,1.8,7.86384,9.31564
01045,2.08006,1.1142,0.636856,0.643218,0.513034,0.876338,1.8,7.86384,9.31564
01047,2.08006,1.1142,0.636856,0.643218,0.513034,0.876338,1.8,7.86384,9.31564
01049,2.08006,1.1142,0.636856,0.643218,0.513034,0.876338,1.8,7.86384,9.31564
01051,2.08006,1.1142,0.636856,0.643218,0.513034,0.876338,1.8,7.86384,9.31564
01053,2.08006,1.1142,0.636856,0.643218,0.513034,0.876338,1.8,7.86384,9.31564
01055,2.08006,1.1142,0.636856,0.643218,0.513034,0.876338,1.8,7.86384,9.31564
01057,2.08006,1.1142,0.636856,0.643218,0.513034,0.876338,1.8,7.86384,9.31564
01059,2.08006,1.1142,0.636856,0.643218,0.513034,0.876338,1.8,7.86384,9.31564
