fips,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01,0.00435646,0.00441577,0.00453438,0.00743787,0.00934552,0.0118586,0.00918984,0.0113446,0.0131929,0.0152439,0.0149103,0.0160075,0.0180807,0.0200106,0.0238728,0.0243646,0.0248934,0.0249131,0.0174036,0.017075,0.0168896,0.0165709,0.0208211,0.0203639,0.0211596,0.0236702,0.0253901
01001,0.00435399,0.00449731,0.0046011,0.0107466,0.0128989,0.0172825,0.0105464,0.013062,0.0149486,0.017222,0.0159753,0.0178163,0.020401,0.0223185,0.0267813,0.027488,0.0287408,0.0287013,0.0234552,0.0228795,0.0225706,0.0223062,0.0241187,0.0241829,0.0250688,0.0281552,0.0296588
01003,0.00435399,0.00449731,0.0046011,0.0107466,0.0128989,0.0172825,0.0105464,0.013062,0.0149486,0.017222,0.0159753,0.0178163,0.020401,0.0223185,0.0267813,0.027488,0.0287408,0.0287013,0.0234552,0.0228795,0.0225706,0.0223062,0.0241187,0.0241829,0.0250688,0.0281552,0.0296588
01005,0.00435399,0.00449731,0.0046011,0.0107466,0.0128989,0.0172825,0.0105464,0.013062,0.0149486,0.017222,0.0159753,0.0178163,0.020401,0.0223185,0.0267813,0.027488,0.0287408,0.0287013,0.0234552,0.0228795,0.0225706,0.0223062,0.0241187,0.0241829,0.0250688,0.0281552,0.0296588
01007,0.00435399,0.00449731,0.0046011,0.0107466,0.0128989,0.0172825,0.0105464,0.013062,0.0149486,0.017222,0.0159753,0.0178163,0.020401,0.0223185,0.0267813,0.027488,0.0287408,0.0287013,0.0234552,0.0228795,0.0225706,0.0223062,0.0241187,0.0241829,0.0250688,0.0281552,0.0296588
01009,0.00435399,0.00449731,0.0046011,0.0107466,0.0128989,0.0172825,0.0105464,0.013062,0.0149486,0.017222,0.0159753,0.0178163,0.020401,0.0223185,0.0267813,0.027488,0.0287408,0.0287013,0.0234552,0.0228795,0.0225706,0.0223062,0.0241187,0.0241829,0.0250688,0.0281552,0.0296588
01011,0.00435399,0.00449731,0.0046011,0.0107466,0.0128989,0.0172825,0.0105464,0.013062,0.0149486,0.017222,0.0159753,0.0178163,0.020401,0.0223185,0.0267813,0.027488,0.0287408,0.0287013,0.0234552,0.0228795,0.0225706,0.0223062,0.0241187,0.0241829,0.0250688,0.0281552,0.0296588
01013,0.00435399,0.00449731,0.0046011,0.0107466,0.0128989,0.0172825,0.0105464,0.013062,0.0149486,0.017222,0.0159753,0.0178163,0.020401,0.0223185,0.0267813,0.027488,0.0287408,0.0287013,0.0234552,0.0228795,0.0225706,0.0223062,0.0241187,0.0241829,0.0250688,0.0281552,0.0296588
01015,0.00435399,0.00449731,0.0046011,0.0107466,0.0128989,0.0172825,0.0105464,0.013062,0.0149486,0.017222,0.0159753,0.0178163,0.020401,0.0223185,0.0267813,0.027488,0.0287408,0.0287013,0.0234552,0.0228795,0.0225706,0.0223062,0.0241187,0.0241829,0.0250688,0.0281552,0.0296588
01017,0.00435399,0.00449731,0.0046011,0.0107466,0.0128989,0.0172825,0.0105464,0.013062,0.0149486,0.017222,0.0159753,0.0178163,0.020401,0.0223185,0.0267813,0.027488,0.0287408,0.0287013,0.0234552,0.0228795,0.0225706,0.0223062,0.0241187,0.0241829,0.0250688,0.0281552,0.0296588
