fips,2017,2018,2019,2020,2021,2022,2023,2024,2025
01,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01001,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01003,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01005,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01007,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01009,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01011,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01013,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01015,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01017,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01019,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01021,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01023,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01025,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01027,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01029,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01031,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01033,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01035,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01037,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01039,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01041,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01043,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01045,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01047,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01049,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01051,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01053,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01055,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01057,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01059,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01061,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01063,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01065,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01067,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01069,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01071,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01073,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01075,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01077,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01079,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01081,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01083,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01085,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01087,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01089,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01091,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01093,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01095,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01097,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01099,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01101,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01103,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01105,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01107,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01109,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01111,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01113,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01115,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01117,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01119,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01121,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01123,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01125,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01127,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01129,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01131,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
01133,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
04001,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
04003,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
04005,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
04007,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
04009,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
04011,0.270386,0.319347,0.283386,0.337925,0.422776,0.454729,0.447417,0.384192,0.324267
