fips,2017,2018,2019,2020,2021,2022,2023,2024
01,1329.95,1093.28,1061.69,1099.57,1096.22,1451.72,1641.07,2191.82
01001,1329.95,1093.28,1061.69,1099.57,1096.22,1451.72,1641.07,2191.82
01003,1329.95,1093.28,1061.69,1099.57,1096.22,1451.72,1641.07,2191.82
01005,1329.95,1093.28,1061.69,1099.57,1096.22,1451.72,1641.07,2191.82
01007,1329.95,1093.28,1061.69,1099.57,1096.22,1451.72,1641.07,2191.82
01009,1329.95,1093.28,1061.69,1099.57,1096.22,1451.72,1641.07,2191.82
01011,1329.95,1093.28,1061.69,1099.57,1096.22,1451.72,1641.07,2191.82
01013,1329.95,1093.28,1061.69,1099.57,1096.22,1451.72,1641.07,2191.82
01015,1329.95,1093.28,1061.69,1099.57,1096.22,1451.72,1641.07,2191.82
01017,1329.95,1093.28,1061.69,1099.57,1096.22,1451.72,1641.07,2191.82
01019,1329.95,1093.28,1061.69,1099.57,1096.22,1451.72,1641.07,2191.82
01021,1329.95,1093.28,1061.69,1099.57,1096.22,1451.72,1641.07,2191.82
01023,1329.95,1093.28,1061.69,1099.57,1096.22,1451.72,1641.07,2191.82
01025,1329.95,1093.28,1061.69,1099.57,1096.22,1451.72,1641.07,2191.82
01027,1329.95,1093.28,1061.69,1099.57,1096.22,1451.72,1641.07,2191.82
01029,1329.95,1093.28,1061.69,1099.57,1096.22,1451.72,1641.07,2191.82
01031,1329.95,1093.28,1061.69,1099.57,1096.22,1451.72,1641.07,2191.82
01033,1329.95,1093.28,1061.69,1099.57,1096.22,1451.72,1641.07,2191.82
01035,1329.95,1093.28,1061.69,1099.57,1096.22,1451.72,1641.07,2191.82
01037,1329.95,1093.28,1061.69,1099.57,1096.22,1451.72,1641.07,2191.82
01039,1329.95,1093.28,1061.69,1099.57,1096.22,1451.72,1641.07,2191.82
01041,1329.95,1093.28,1061.69,1099.57,1096.22,1451.72,1641.07,2191.82
01043,1329.95,1093.28,1061.69,1099.57,1096.22,1451.72,1641.07,2191.82
01045,1329.95,1093.28,1061.69,1099.57,1096.22,1451.72,1641.07,2191.82
01047,1329.95,1093.28,1061.69,1099.57,1096.22,1451.72,1641.07,2191.82
01049,1329.95,1093.28,1061.69,1099.57,1096.22,1451.72,1641.07,2191.82
01051,1329.95,1093.28,1061.69,1099.57,1096.22,1451.72,1641.07,2191.82
01053,1329.95,1093.28,1061.69,1099.57,1096.22,1451.72,1641.07,2191.82
01055,1329.95,1093.28,1061.69,1099.57,1096.22,1451.72,1641.07,2191.82
01057,1329.95,1093.28,1061.69,1099.57,1096.22,1451.72,1641.07,2191.82
01059,1329.95,1093.28,1061.69,1099.57,1096.22,1451.72,1641.07,2191.82
01061,1329.95,1093.28,1061.69,1099.57,1096.22,1451.72,1641.07,2191.82
01063,1329.95,1093.28,1061.69,1099.57,1096.22,1451.72,1641.07,2191.82
01065,1329.95,1093.28,1061.69,1099.57,1096.22,1451.72,1641.07,2191.82
01067,1329.95,1093.28,1061.69,1099.57,1096.22,1451.72,1641.07,2191.82
01069,1329.95,1093.28,1061.69,1099.57,1096.22,1451.72,1641.07,2191.82
01071,1329.95,1093.28,1061.69,1099.57,1096.22,1451.72,1641.07,2191.82
01073,1329.95,1093.28,1061.69,1099.57,1096.22,1451.72,1641.07,2191.82
01075,1329.95,1093.28,1061.69,1099.57,1096.22,1451.72,1641.07,2191.82
01077,1329.95,1093.28,1061.69,1099.57,1096.22,1451.72,1641.07,2191.82
01079,1329.95,1093.28,1061.69,1099.57,1096.22,1451.72,1641.07,2191.82
