fips,2017,2018,2019,2020,2021,2022,2023,2024
01,711.893,591.297,517.573,469.054,503.217,1050,1108.75,1076.14
01001,711.893,591.297,517.573,469.054,503.217,1050,1108.75,1076.14
01003,711.893,591.297,517.573,469.054,503.217,1050,1108.75,1076.14
01005,711.893,591.297,517.573,469.054,503.217,1050,1108.75,1076.14
01007,711.893,591.297,517.573,469.054,503.217,1050,1108.75,1076.14
01009,711.893,591.297,517.573,469.054,503.217,1050,1108.75,1076.14
01011,711.893,591.297,517.573,469.054,503.217,1050,1108.75,1076.14
01013,711.893,591.297,517.573,469.054,503.217,1050,1108.75,1076.14
01015,711.893,591.297,517.573,469.054,503.217,1050,1108.75,1076.14
01017,711.893,591.297,517.573,469.054,503.217,1050,1108.75,1076.14
01019,711.893,591.297,517.573,469.054,503.217,1050,1108.75,1076.14
01021,711.893,591.297,517.573,469.054,503.217,1050,1108.75,1076.14
01023,711.893,591.297,517.573,469.054,503.217,1050,1108.75,1076.14
01025,711.893,591.297,517.573,469.054,503.217,1050,1108.75,1076.14
01027,711.893,591.297,517.573,469.054,503.217,1050,1108.75,1076.14
01029,711.893,591.297,517.573,469.054,503.217,1050,1108.75,1076.14
01031,711.893,591.297,517.573,469.054,503.217,1050,1108.75,1076.14
01033,711.893,591.297,517.573,469.054,503.217,1050,1108.75,1076.14
01035,711.893,591.297,517.573,469.054,503.217,1050,1108.75,1076.14
01037,711.893,591.297,517.573,469.054,503.217,1050,1108.75,1076.14
01039,711.893,591.297,517.573,469.054,503.217,1050,1108.75,1076.14
01041,711.893,591.297,517.573,469.054,503.217,1050,1108.75,1076.14
01043,711.893,591.297,517.573,469.054,503.217,1050,1108.75,1076.14
01045,711.893,591.297,517.573,469.054,503.217,1050,1108.75,1076.14
01047,711.893,591.297,517.573,469.054,503.217,1050,1108.75,1076.14
01049,711.893,591.297,517.573,469.054,503.217,1050,1108.75,1076.14
01051,711.893,591.297,517.573,469.054,503.217,1050,1108.75,1076.14
01053,711.893,591.297,517.573,469.054,503.217,1050,1108.75,1076.14
01055,711.893,591.297,517.573,469.054,503.217,1050,1108.75,1076.14
01057,711.893,591.297,517.573,469.054,503.217,1050,1108.75,1076.14
01059,711.893,591.297,517.573,469.054,503.217,1050,1108.75,1076.14
01061,711.893,591.297,517.573,469.054,503.217,1050,1108.75,1076.14
01063,711.893,591.297,517.573,469.054,503.217,1050,1108.75,1076.14
01065,711.893,591.297,517.573,469.054,503.217,1050,1108.75,1076.14
01067,711.893,591.297,517.573,469.054,503.217,1050,1108.75,1076.14
01069,711.893,591.297,517.573,469.054,503.217,1050,1108.75,1076.14
01071,711.893,591.297,517.573,469.054,503.217,1050,1108.75,1076.14
01073,711.893,591.297,517.573,469.054,503.217,1050,1108.75,1076.14
01075,711.893,591.297,517.573,469.054,503.217,1050,1108.75,1076.14
01077,711.893,591.297,517.573,469.054,503.217,1050,1108.75,1076.14
01079,711.893,591.297,517.573,469.054,503.217,1050,1108.75,1076.14
01081,711.893,591.297,517.573,469.054,503.217,1050,1108.75,1076.14
01083,711.893,591.297,517.573,469.054,503.217,1050,1108.75,1076.14
01085,711.893,591.297,517.573,469.054,503.217,1050,1108.75,1076.14
01087,711.893,591.297,517.573,469.054,503.217,1050,1108.75,1076.14
01089,711.893,591.297,517.573,469.054,503.217,1050,1108.75,1076.14
01091,711.893,591.297,517.573,469.054,503.217,1050,1108.75,1076.14
01093,711.893,591.297,517.573,469.054,503.217,1050,1108.75,1076.14
01095,711.893,591.297,517.573,469.054,503.217,1050,1108.75,1076.14
01097,711.893,591.297,517.573,469.054,503.217,1050,1108.75,1076.14
