fips,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01,0.0792,0.0789,0.0803,0.0817,0.0867,0.0946,0.0965,0.1026,0.1016,0.1019,0.1024,0.1009,0.1026,0.1074,0.1064,0.1043,0.1066,0.1067,0.1068,0.1059,0.1122,0.1241,0.1259
01001,0.0653,0.0663,0.0685,0.0712,0.075,0.0818,0.087,0.0987,0.1005,0.1018,0.1047,0.1063,0.1051,0.1079,0.1083,0.1111,0.116,0.1124,0.1152,0.1155,0.1184,0.1316,0.1316
01003,0.0653,0.0663,0.0685,0.0712,0.075,0.0818,0.087,0.0987,0.1005,0.1018,0.1047,0.1063,0.1051,0.1079,0.1083,0.1111,0.116,0.1124,0.1152,0.1155,0.1184,0.1316,0.1316
01005,0.0653,0.0663,0.0685,0.0712,0.075,0.0818,0.087,0.0987,0.1005,0.1018,0.1047,0.1063,0.1051,0.1079,0.1083,0.1111,0.116,0.1124,0.1152,0.1155,0.1184,0.1316,0.1316
01007,0.0653,0.0663,0.0685,0.0712,0.075,0.0818,0.087,0.0987,0.1005,0.1018,0.1047,0.1063,0.1051,0.1079,0.1083,0.1111,0.116,0.1124,0.1152,0.1155,0.1184,0.1316,0.1316
01009,0.0653,0.0663,0.0685,0.0712,0.075,0.0818,0.087,0.0987,0.1005,0.1018,0.1047,0.1063,0.1051,0.1079,0.1083,0.1111,0.116,0.1124,0.1152,0.1155,0.1184,0.1316,0.1316
01011,0.0653,0.0663,0.0685,0.0712,0.075,0.0818,0.087,0.0987,0.1005,0.1018,0.1047,0.1063,0.1051,0.1079,0.1083,0.1111,0.116,0.1124,0.1152,0.1155,0.1184,0.1316,0.1316
01013,0.0653,0.0663,0.0685,0.0712,0.075,0.0818,0.087,0.0987,0.1005,0.1018,0.1047,0.1063,0.1051,0.1079,0.1083,0.1111,0.116,0.1124,0.1152,0.1155,0.1184,0.1316,0.1316
01015,0.0653,0.0663,0.0685,0.0712,0.075,0.0818,0.087,0.0987,0.1005,0.1018,0.1047,0.1063,0.1051,0.1079,0.1083,0.1111,0.116,0.1124,0.1152,0.1155,0.1184,0.1316,0.1316
01017,0.0653,0.0663,0.0685,0.0712,0.075,0.0818,0.087,0.0987,0.1005,0.1018,0.1047,0.1063,0.1051,0.1079,0.1083,0.1111,0.116,0.1124,0.1152,0.1155,0.1184,0.1316,0.1316
01019,0.0653,0.0663,0.0685,0.0712,0.075,0.0818,0.087,0.0987,0.1005,0.1018,0.1047,0.1063,0.1051,0.1079,0.1083,0.1111,0.116,0.1124,0.1152,0.1155,0.1184,0.1316,0.1316
01021,0.0653,0.0663,0.0685,0.0712,0.075,0.0818,0.087,0.0987,0.1005,0.1018,0.1047,0.1063,0.1051,0.1079,0.1083,0.1111,0.116,0.1124,0.1152,0.1155,0.1184,0.1316,0.1316
01023,0.0653,0.0663,0.0685,0.0712,0.075,0.0818,0.087,0.0987,0.1005,0.1018,0.1047,0.1063,0.1051,0.1079,0.1083,0.1111,0.116,0.1124,0.1152,0.1155,0.1184,0.1316,0.1316
01025,0.0653,0.0663,0.0685,0.0712,0.075,0.0818,0.087,0.0987,0.1005,0.1018,0.1047,0.1063,0.1051,0.1079,0.1083,0.1111,0.116,0.1124,0.1152,0.1155,0.1184,0.1316,0.1316
01027,0.0653,0.0663,0.0685,0.0712,0.075,0.0818,0.087,0.0987,0.1005,0.1018,0.1047,0.1063,0.1051,0.1079,0.1083,0.1111,0.116,0.1124,0.1152,0.1155,0.1184,0.1316,0.1316
01029,0.0653,0.0663,0.0685,0.0712,0.075,0.0818,0.087,0.0987,0.1005,0.1018,0.1047,0.1063,0.1051,0.1079,0.1083,0.1111,0.116,0.1124,0.1152,0.1155,0.1184,0.1316,0.1316
01031,0.0653,0.0663,0.0685,0.0712,0.075,0.0818,0.087,0.0987,0.1005,0.1018,0.1047,0.1063,0.1051,0.1079,0.1083,0.1111,0.116,0.1124,0.1152,0.1155,0.1184,0.1316,0.1316
01033,0.0653,0.0663,0.0685,0.0712,0.075,0.0818,0.087,0.0987,0.1005,0.1018,0.1047,0.1063,0.1051,0.1079,0.1083,0.1111,0.116,0.1124,0.1152,0.1155,0.1184,0.1316,0.1316
01035,0.0653,0.0663,0.0685,0.0712,0.075,0.0818,0.087,0.0987,0.1005,0.1018,0.1047,0.1063,0.1051,0.1079,0.1083,0.1111,0.116,0.1124,0.1152,0.1155,0.1184,0.1316,0.1316
01037,0.0653,0.0663,0.0685,0.0712,0.075,0.0818,0.087,0.0987,0.1005,0.1018,0.1047,0.1063,0.1051,0.1079,0.1083,0.1111,0.116,0.1124,0.1152,0.1155,0.1184,0.1316,0.1316
01039,0.0653,0.0663,0.0685,0.0712,0.075,0.0818,0.087,0.0987,0.1005,0.1018,0.1047,0.1063,0.1051,0.1079,0.1083,0.1111,0.116,0.1124,0.1152,0.1155,0.1184,0.1316,0.1316
01041,0.0653,0.0663,0.0685,0.0712,0.075,0.0818,0.087,0.0987,0.1005,0.1018,0.1047,0.1063,0.1051,0.1079,0.1083,0.1111,0.116,0.1124,0.1152,0.1155,0.1184,0.1316,0.1316
01043,0.0653,0.0663,0.0685,0.0712,0.075,0.0818,0.087,0.0987,0.1005,0.1018,0.1047,0.1063,0.1051,0.1079,0.1083,0.1111,0.116,0.1124,0.1152,0.1155,0.1184,0.1316,0.1316
