fips,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01,0.0858,0.0844,0.0872,0.0895,0.0945,0.104,0.1065,0.1126,0.1151,0.1154,0.1172,0.1188,0.1213,0.1252,0.1265,0.1255,0.1289,0.1287,0.1301,0.1315,0.1366,0.1504,0.16
01001,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01003,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01005,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01007,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01009,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01011,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01013,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01015,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01017,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01019,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01021,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01023,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01025,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01027,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01029,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01031,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01033,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01035,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01037,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01039,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01041,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01043,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01045,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01047,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01049,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01051,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01053,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01055,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01057,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01059,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01061,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01063,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01065,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01067,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01069,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01071,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01073,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01075,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01077,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01079,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01081,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01083,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01085,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01087,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
01089,0.0701,0.0712,0.0739,0.0762,0.08,0.0875,0.0932,0.104,0.1066,0.1067,0.1109,0.114,0.1126,0.1148,0.117,0.1199,0.1255,0.1218,0.1253,0.1257,0.1296,0.1425,0.1463
