fips,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01,0.018009,0.0184835,0.0183574,0.0186515,0.0180115,0.017967,0.0182166,0.0181795,0.0185971,0.0166623,0.0164399,0.0168946,0.0177743,0.024241,0.0223136,0.022064,0.0267244,0.0279649,0.0276486,0.0288619,0.0314515,0.0302457,0.0300826,0.0292251,0.0284517,0.0284665,0.029623,0.0332949,0.0348319
01001,0.0184563,0.0187034,0.0187355,0.0193113,0.0185378,0.0187751,0.0189456,0.0186268,0.0190642,0.0164152,0.0162719,0.016645,0.0175049,0.0239643,0.0220615,0.0217453,0.0262426,0.0275127,0.027147,0.0282762,0.0310414,0.0302457,0.0298701,0.0288001,0.028128,0.0281774,0.0292968,0.0328106,0.0345552
01003,0.0184563,0.0187034,0.0187355,0.0193113,0.0185378,0.0187751,0.0189456,0.0186268,0.0190642,0.0164152,0.0162719,0.016645,0.0175049,0.0239643,0.0220615,0.0217453,0.0262426,0.0275127,0.027147,0.0282762,0.0310414,0.0302457,0.0298701,0.0288001,0.028128,0.0281774,0.0292968,0.0328106,0.0345552
01005,0.0184563,0.0187034,0.0187355,0.0193113,0.0185378,0.0187751,0.0189456,0.0186268,0.0190642,0.0164152,0.0162719,0.016645,0.0175049,0.0239643,0.0220615,0.0217453,0.0262426,0.0275127,0.027147,0.0282762,0.0310414,0.0302457,0.0298701,0.0288001,0.028128,0.0281774,0.0292968,0.0328106,0.0345552
01007,0.0184563,0.0187034,0.0187355,0.0193113,0.0185378,0.0187751,0.0189456,0.0186268,0.0190642,0.0164152,0.0162719,0.016645,0.0175049,0.0239643,0.0220615,0.0217453,0.0262426,0.0275127,0.027147,0.0282762,0.0310414,0.0302457,0.0298701,0.0288001,0.028128,0.0281774,0.0292968,0.0328106,0.0345552
01009,0.0184563,0.0187034,0.0187355,0.0193113,0.0185378,0.0187751,0.0189456,0.0186268,0.0190642,0.0164152,0.0162719,0.016645,0.0175049,0.0239643,0.0220615,0.0217453,0.0262426,0.0275127,0.027147,0.0282762,0.0310414,0.0302457,0.0298701,0.0288001,0.028128,0.0281774,0.0292968,0.0328106,0.0345552
01011,0.0184563,0.0187034,0.0187355,0.0193113,0.0185378,0.0187751,0.0189456,0.0186268,0.0190642,0.0164152,0.0162719,0.016645,0.0175049,0.0239643,0.0220615,0.0217453,0.0262426,0.0275127,0.027147,0.0282762,0.0310414,0.0302457,0.0298701,0.0288001,0.028128,0.0281774,0.0292968,0.0328106,0.0345552
01013,0.0184563,0.0187034,0.0187355,0.0193113,0.0185378,0.0187751,0.0189456,0.0186268,0.0190642,0.0164152,0.0162719,0.016645,0.0175049,0.0239643,0.0220615,0.0217453,0.0262426,0.0275127,0.027147,0.0282762,0.0310414,0.0302457,0.0298701,0.0288001,0.028128,0.0281774,0.0292968,0.0328106,0.0345552
01015,0.0184563,0.0187034,0.0187355,0.0193113,0.0185378,0.0187751,0.0189456,0.0186268,0.0190642,0.0164152,0.0162719,0.016645,0.0175049,0.0239643,0.0220615,0.0217453,0.0262426,0.0275127,0.027147,0.0282762,0.0310414,0.0302457,0.0298701,0.0288001,0.028128,0.0281774,0.0292968,0.0328106,0.0345552
01017,0.0184563,0.0187034,0.0187355,0.0193113,0.0185378,0.0187751,0.0189456,0.0186268,0.0190642,0.0164152,0.0162719,0.016645,0.0175049,0.0239643,0.0220615,0.0217453,0.0262426,0.0275127,0.027147,0.0282762,0.0310414,0.0302457,0.0298701,0.0288001,0.028128,0.0281774,0.0292968,0.0328106,0.0345552
01019,0.0184563,0.0187034,0.0187355,0.0193113,0.0185378,0.0187751,0.0189456,0.0186268,0.0190642,0.0164152,0.0162719,0.016645,0.0175049,0.0239643,0.0220615,0.0217453,0.0262426,0.0275127,0.027147,0.0282762,0.0310414,0.0302457,0.0298701,0.0288001,0.028128,0.0281774,0.0292968,0.0328106,0.0345552
01021,0.0184563,0.0187034,0.0187355,0.0193113,0.0185378,0.0187751,0.0189456,0.0186268,0.0190642,0.0164152,0.0162719,0.016645,0.0175049,0.0239643,0.0220615,0.0217453,0.0262426,0.0275127,0.027147,0.0282762,0.0310414,0.0302457,0.0298701,0.0288001,0.028128,0.0281774,0.0292968,0.0328106,0.0345552
01023,0.0184563,0.0187034,0.0187355,0.0193113,0.0185378,0.0187751,0.0189456,0.0186268,0.0190642,0.0164152,0.0162719,0.016645,0.0175049,0.0239643,0.0220615,0.0217453,0.0262426,0.0275127,0.027147,0.0282762,0.0310414,0.0302457,0.0298701,0.0288001,0.028128,0.0281774,0.0292968,0.0328106,0.0345552
01025,0.0184563,0.0187034,0.0187355,0.0193113,0.0185378,0.0187751,0.0189456,0.0186268,0.0190642,0.0164152,0.0162719,0.016645,0.0175049,0.0239643,0.0220615,0.0217453,0.0262426,0.0275127,0.027147,0.0282762,0.0310414,0.0302457,0.0298701,0.0288001,0.028128,0.0281774,0.0292968,0.0328106,0.0345552
01027,0.0184563,0.0187034,0.0187355,0.0193113,0.0185378,0.0187751,0.0189456,0.0186268,0.0190642,0.0164152,0.0162719,0.016645,0.0175049,0.0239643,0.0220615,0.0217453,0.0262426,0.0275127,0.027147,0.0282762,0.0310414,0.0302457,0.0298701,0.0288001,0.028128,0.0281774,0.0292968,0.0328106,0.0345552
01029,0.0184563,0.0187034,0.0187355,0.0193113,0.0185378,0.0187751,0.0189456,0.0186268,0.0190642,0.0164152,0.0162719,0.016645,0.0175049,0.0239643,0.0220615,0.0217453,0.0262426,0.0275127,0.027147,0.0282762,0.0310414,0.0302457,0.0298701,0.0288001,0.028128,0.0281774,0.0292968,0.0328106,0.0345552
01031,0.0184563,0.0187034,0.0187355,0.0193113,0.0185378,0.0187751,0.0189456,0.0186268,0.0190642,0.0164152,0.0162719,0.016645,0.0175049,0.0239643,0.0220615,0.0217453,0.0262426,0.0275127,0.027147,0.0282762,0.0310414,0.0302457,0.0298701,0.0288001,0.028128,0.0281774,0.0292968,0.0328106,0.0345552
01033,0.0184563,0.0187034,0.0187355,0.0193113,0.0185378,0.0187751,0.0189456,0.0186268,0.0190642,0.0164152,0.0162719,0.016645,0.0175049,0.0239643,0.0220615,0.0217453,0.0262426,0.0275127,0.027147,0.0282762,0.0310414,0.0302457,0.0298701,0.0288001,0.028128,0.0281774,0.0292968,0.0328106,0.0345552
01035,0.0184563,0.0187034,0.0187355,0.0193113,0.0185378,0.0187751,0.0189456,0.0186268,0.0190642,0.0164152,0.0162719,0.016645,0.0175049,0.0239643,0.0220615,0.0217453,0.0262426,0.0275127,0.027147,0.0282762,0.0310414,0.0302457,0.0298701,0.0288001,0.028128,0.0281774,0.0292968,0.0328106,0.0345552
