fips,2017,2018,2019,2020,2021,2022,2023,2024,2025
01,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01001,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01003,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01005,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01007,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01009,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01011,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01013,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01015,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01017,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01019,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01021,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01023,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01025,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01027,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01029,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01031,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01033,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01035,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01037,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01039,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01041,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01043,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01045,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01047,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01049,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01051,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01053,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01055,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01057,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01059,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01061,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01063,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01065,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01067,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01069,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01071,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01073,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01075,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01077,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01079,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01081,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01083,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01085,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01087,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01089,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01091,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01093,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01095,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01097,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01099,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01101,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01103,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01105,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01107,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01109,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01111,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01113,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01115,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01117,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01119,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01121,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01123,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01125,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01127,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01129,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01131,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
01133,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
04001,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
04003,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
04005,0.765519,0.754386,0.853671,0.798221,1.26639,1.33543,0.797707,1.08313,1.5913
