fips,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01,1.375964,1.429444,1.628084,1.593322,1.561998,1.561616,1.58148,1.6235,1.568492,1.52991,1.64451,1.50699,1.539078,1.529528,1.56047,1.64069,1.638016,1.716326,1.557796,1.492856,1.561998,1.477958,1.476812,1.48025,1.52036
01001,1.375964,1.429444,1.628084,1.593322,1.561998,1.561616,1.58148,1.6235,1.568492,1.52991,1.64451,1.50699,1.539078,1.529528,1.56047,1.64069,1.638016,1.716326,1.557796,1.492856,1.561998,1.477958,1.476812,1.48025,1.52036
01003,1.375964,1.429444,1.628084,1.593322,1.561998,1.561616,1.58148,1.6235,1.568492,1.52991,1.64451,1.50699,1.539078,1.529528,1.56047,1.64069,1.638016,1.716326,1.557796,1.492856,1.561998,1.477958,1.476812,1.48025,1.52036
01005,1.375964,1.429444,1.628084,1.593322,1.561998,1.561616,1.58148,1.6235,1.568492,1.52991,1.64451,1.50699,1.539078,1.529528,1.56047,1.64069,1.638016,1.716326,1.557796,1.492856,1.561998,1.477958,1.476812,1.48025,1.52036
01007,1.375964,1.429444,1.628084,1.593322,1.561998,1.561616,1.58148,1.6235,1.568492,1.52991,1.64451,1.50699,1.539078,1.529528,1.56047,1.64069,1.638016,1.716326,1.557796,1.492856,1.561998,1.477958,1.476812,1.48025,1.52036
01009,1.375964,1.429444,1.628084,1.593322,1.561998,1.561616,1.58148,1.6235,1.568492,1.52991,1.64451,1.50699,1.539078,1.529528,1.56047,1.64069,1.638016,1.716326,1.557796,1.492856,1.561998,1.477958,1.476812,1.48025,1.52036
01011,1.375964,1.429444,1.628084,1.593322,1.561998,1.561616,1.58148,1.6235,1.568492,1.52991,1.64451,1.50699,1.539078,1.529528,1.56047,1.64069,1.638016,1.716326,1.557796,1.492856,1.561998,1.477958,1.476812,1.48025,1.52036
01013,1.375964,1.429444,1.628084,1.593322,1.561998,1.561616,1.58148,1.6235,1.568492,1.52991,1.64451,1.50699,1.539078,1.529528,1.56047,1.64069,1.638016,1.716326,1.557796,1.492856,1.561998,1.477958,1.476812,1.48025,1.52036
01015,1.375964,1.429444,1.628084,1.593322,1.561998,1.561616,1.58148,1.6235,1.568492,1.52991,1.64451,1.50699,1.539078,1.529528,1.56047,1.64069,1.638016,1.716326,1.557796,1.492856,1.561998,1.477958,1.476812,1.48025,1.52036
01017,1.375964,1.429444,1.628084,1.593322,1.561998,1.561616,1.58148,1.6235,1.568492,1.52991,1.64451,1.50699,1.539078,1.529528,1.56047,1.64069,1.638016,1.716326,1.557796,1.492856,1.561998,1.477958,1.476812,1.48025,1.52036
