fips,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01001,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01003,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01005,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01007,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01009,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01011,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01013,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01015,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01017,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01019,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01021,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01023,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01025,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01027,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01029,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01031,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01033,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01035,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01037,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01039,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01041,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01043,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01045,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01047,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01049,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01051,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01053,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01055,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01057,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01059,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01061,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01063,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01065,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01067,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01069,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01071,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01073,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01075,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01077,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01079,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01081,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01083,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01085,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01087,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01089,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01091,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01093,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01095,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01097,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01099,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01101,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01103,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01105,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
01107,36.02,37.42,42.62,41.71,40.89,40.88,41.4,42.5,41.06,40.05,43.05,39.45,40.29,40.04,40.85,42.95,42.88,44.93,40.78,39.08,40.89,38.69,38.66,38.75,39.8
