fips,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01001,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01003,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01005,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01007,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01009,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01011,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01013,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01015,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01017,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01019,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01021,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01023,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01025,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01027,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01029,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01031,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01033,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01035,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01037,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01039,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01041,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01043,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01045,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01047,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01049,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01051,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01053,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01055,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01057,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01059,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01061,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01063,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01065,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01067,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01069,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01071,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01073,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01075,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01077,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01079,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01081,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01083,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01085,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01087,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01089,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01091,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01093,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01095,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01097,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01099,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01101,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01103,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01105,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01107,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01109,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01111,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01113,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01115,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
01117,6.08,6.23,6.72,6.42,6.35,6.18,6.15,5.98,6.18,6.47,6.94,6.65,6.42,6.72,6.75,6.7,6.38,6.52,6.3,6.3,6.45,6.42,6.89,6.47,6.5
