fips,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,140.3080742,146.9274516,148.0219118,144.9865081,148.8893777,161.2564247,160.8994946,160.9113006,168.4395616,180.9859943,204.8776557,217.0471384,226.2448587,258.5500077,224.9170962,243.2221349,272.0525195,279.1963761,279.8439665,280.3530496,250.2494679,240.5964467,252.4009492,271.1592873,273.4878048,262.2864839,292.3327672,370.667549,360.8161178
1001,138.0119746,144.1788276,145.7122414,142.9246961,147.1818975,158.5942764,158.2701074,158.8050108,165.6328889,177.6180826,202.8770317,214.3049413,224.4527569,255.6624788,222.3045674,240.627272,270.173703,276.5371281,277.3292429,276.7688458,246.4629301,236.9255283,247.6027409,264.8580259,266.6373508,255.4071251,285.1932646,361.8226591,352.173562
1003,138.0119746,144.1788276,145.7122414,142.9246961,147.1818975,158.5942764,158.2701074,158.8050108,165.6328889,177.6180826,202.8770317,214.3049413,224.4527569,255.6624788,222.3045674,240.627272,270.173703,276.5371281,277.3292429,276.7688458,246.4629301,236.9255283,247.6027409,264.8580259,266.6373508,255.4071251,285.1932646,361.8226591,352.173562
1005,138.0119746,144.1788276,145.7122414,142.9246961,147.1818975,158.5942764,158.2701074,158.8050108,165.6328889,177.6180826,202.8770317,214.3049413,224.4527569,255.6624788,222.3045674,240.627272,270.173703,276.5371281,277.3292429,276.7688458,246.4629301,236.9255283,247.6027409,264.8580259,266.6373508,255.4071251,285.1932646,361.8226591,352.173562
1007,138.0119746,144.1788276,145.7122414,142.9246961,147.1818975,158.5942764,158.2701074,158.8050108,165.6328889,177.6180826,202.8770317,214.3049413,224.4527569,255.6624788,222.3045674,240.627272,270.173703,276.5371281,277.3292429,276.7688458,246.4629301,236.9255283,247.6027409,264.8580259,266.6373508,255.4071251,285.1932646,361.8226591,352.173562
1009,138.0119746,144.1788276,145.7122414,142.9246961,147.1818975,158.5942764,158.2701074,158.8050108,165.6328889,177.6180826,202.8770317,214.3049413,224.4527569,255.6624788,222.3045674,240.627272,270.173703,276.5371281,277.3292429,276.7688458,246.4629301,236.9255283,247.6027409,264.8580259,266.6373508,255.4071251,285.1932646,361.8226591,352.173562
1011,138.0119746,144.1788276,145.7122414,142.9246961,147.1818975,158.5942764,158.2701074,158.8050108,165.6328889,177.6180826,202.8770317,214.3049413,224.4527569,255.6624788,222.3045674,240.627272,270.173703,276.5371281,277.3292429,276.7688458,246.4629301,236.9255283,247.6027409,264.8580259,266.6373508,255.4071251,285.1932646,361.8226591,352.173562
1013,138.0119746,144.1788276,145.7122414,142.9246961,147.1818975,158.5942764,158.2701074,158.8050108,165.6328889,177.6180826,202.8770317,214.3049413,224.4527569,255.6624788,222.3045674,240.627272,270.173703,276.5371281,277.3292429,276.7688458,246.4629301,236.9255283,247.6027409,264.8580259,266.6373508,255.4071251,285.1932646,361.8226591,352.173562
1015,138.0119746,144.1788276,145.7122414,142.9246961,147.1818975,158.5942764,158.2701074,158.8050108,165.6328889,177.6180826,202.8770317,214.3049413,224.4527569,255.6624788,222.3045674,240.627272,270.173703,276.5371281,277.3292429,276.7688458,246.4629301,236.9255283,247.6027409,264.8580259,266.6373508,255.4071251,285.1932646,361.8226591,352.173562
1017,138.0119746,144.1788276,145.7122414,142.9246961,147.1818975,158.5942764,158.2701074,158.8050108,165.6328889,177.6180826,202.8770317,214.3049413,224.4527569,255.6624788,222.3045674,240.627272,270.173703,276.5371281,277.3292429,276.7688458,246.4629301,236.9255283,247.6027409,264.8580259,266.6373508,255.4071251,285.1932646,361.8226591,352.173562
1019,138.0119746,144.1788276,145.7122414,142.9246961,147.1818975,158.5942764,158.2701074,158.8050108,165.6328889,177.6180826,202.8770317,214.3049413,224.4527569,255.6624788,222.3045674,240.627272,270.173703,276.5371281,277.3292429,276.7688458,246.4629301,236.9255283,247.6027409,264.8580259,266.6373508,255.4071251,285.1932646,361.8226591,352.173562
1021,138.0119746,144.1788276,145.7122414,142.9246961,147.1818975,158.5942764,158.2701074,158.8050108,165.6328889,177.6180826,202.8770317,214.3049413,224.4527569,255.6624788,222.3045674,240.627272,270.173703,276.5371281,277.3292429,276.7688458,246.4629301,236.9255283,247.6027409,264.8580259,266.6373508,255.4071251,285.1932646,361.8226591,352.173562
1023,138.0119746,144.1788276,145.7122414,142.9246961,147.1818975,158.5942764,158.2701074,158.8050108,165.6328889,177.6180826,202.8770317,214.3049413,224.4527569,255.6624788,222.3045674,240.627272,270.173703,276.5371281,277.3292429,276.7688458,246.4629301,236.9255283,247.6027409,264.8580259,266.6373508,255.4071251,285.1932646,361.8226591,352.173562
1025,138.0119746,144.1788276,145.7122414,142.9246961,147.1818975,158.5942764,158.2701074,158.8050108,165.6328889,177.6180826,202.8770317,214.3049413,224.4527569,255.6624788,222.3045674,240.627272,270.173703,276.5371281,277.3292429,276.7688458,246.4629301,236.9255283,247.6027409,264.8580259,266.6373508,255.4071251,285.1932646,361.8226591,352.173562
1027,138.0119746,144.1788276,145.7122414,142.9246961,147.1818975,158.5942764,158.2701074,158.8050108,165.6328889,177.6180826,202.8770317,214.3049413,224.4527569,255.6624788,222.3045674,240.627272,270.173703,276.5371281,277.3292429,276.7688458,246.4629301,236.9255283,247.6027409,264.8580259,266.6373508,255.4071251,285.1932646,361.8226591,352.173562
1029,138.0119746,144.1788276,145.7122414,142.9246961,147.1818975,158.5942764,158.2701074,158.8050108,165.6328889,177.6180826,202.8770317,214.3049413,224.4527569,255.6624788,222.3045674,240.627272,270.173703,276.5371281,277.3292429,276.7688458,246.4629301,236.9255283,247.6027409,264.8580259,266.6373508,255.4071251,285.1932646,361.8226591,352.173562
1031,138.0119746,144.1788276,145.7122414,142.9246961,147.1818975,158.5942764,158.2701074,158.8050108,165.6328889,177.6180826,202.8770317,214.3049413,224.4527569,255.6624788,222.3045674,240.627272,270.173703,276.5371281,277.3292429,276.7688458,246.4629301,236.9255283,247.6027409,264.8580259,266.6373508,255.4071251,285.1932646,361.8226591,352.173562
1033,138.0119746,144.1788276,145.7122414,142.9246961,147.1818975,158.5942764,158.2701074,158.8050108,165.6328889,177.6180826,202.8770317,214.3049413,224.4527569,255.6624788,222.3045674,240.627272,270.173703,276.5371281,277.3292429,276.7688458,246.4629301,236.9255283,247.6027409,264.8580259,266.6373508,255.4071251,285.1932646,361.8226591,352.173562
1035,138.0119746,144.1788276,145.7122414,142.9246961,147.1818975,158.5942764,158.2701074,158.8050108,165.6328889,177.6180826,202.8770317,214.3049413,224.4527569,255.6624788,222.3045674,240.627272,270.173703,276.5371281,277.3292429,276.7688458,246.4629301,236.9255283,247.6027409,264.8580259,266.6373508,255.4071251,285.1932646,361.8226591,352.173562
1037,138.0119746,144.1788276,145.7122414,142.9246961,147.1818975,158.5942764,158.2701074,158.8050108,165.6328889,177.6180826,202.8770317,214.3049413,224.4527569,255.6624788,222.3045674,240.627272,270.173703,276.5371281,277.3292429,276.7688458,246.4629301,236.9255283,247.6027409,264.8580259,266.6373508,255.4071251,285.1932646,361.8226591,352.173562
1039,138.0119746,144.1788276,145.7122414,142.9246961,147.1818975,158.5942764,158.2701074,158.8050108,165.6328889,177.6180826,202.8770317,214.3049413,224.4527569,255.6624788,222.3045674,240.627272,270.173703,276.5371281,277.3292429,276.7688458,246.4629301,236.9255283,247.6027409,264.8580259,266.6373508,255.4071251,285.1932646,361.8226591,352.173562
1041,138.0119746,144.1788276,145.7122414,142.9246961,147.1818975,158.5942764,158.2701074,158.8050108,165.6328889,177.6180826,202.8770317,214.3049413,224.4527569,255.6624788,222.3045674,240.627272,270.173703,276.5371281,277.3292429,276.7688458,246.4629301,236.9255283,247.6027409,264.8580259,266.6373508,255.4071251,285.1932646,361.8226591,352.173562
1043,138.0119746,144.1788276,145.7122414,142.9246961,147.1818975,158.5942764,158.2701074,158.8050108,165.6328889,177.6180826,202.8770317,214.3049413,224.4527569,255.6624788,222.3045674,240.627272,270.173703,276.5371281,277.3292429,276.7688458,246.4629301,236.9255283,247.6027409,264.8580259,266.6373508,255.4071251,285.1932646,361.8226591,352.173562
1045,138.0119746,144.1788276,145.7122414,142.9246961,147.1818975,158.5942764,158.2701074,158.8050108,165.6328889,177.6180826,202.8770317,214.3049413,224.4527569,255.6624788,222.3045674,240.627272,270.173703,276.5371281,277.3292429,276.7688458,246.4629301,236.9255283,247.6027409,264.8580259,266.6373508,255.4071251,285.1932646,361.8226591,352.173562
1047,138.0119746,144.1788276,145.7122414,142.9246961,147.1818975,158.5942764,158.2701074,158.8050108,165.6328889,177.6180826,202.8770317,214.3049413,224.4527569,255.6624788,222.3045674,240.627272,270.173703,276.5371281,277.3292429,276.7688458,246.4629301,236.9255283,247.6027409,264.8580259,266.6373508,255.4071251,285.1932646,361.8226591,352.173562
1049,138.0119746,144.1788276,145.7122414,142.9246961,147.1818975,158.5942764,158.2701074,158.8050108,165.6328889,177.6180826,202.8770317,214.3049413,224.4527569,255.6624788,222.3045674,240.627272,270.173703,276.5371281,277.3292429,276.7688458,246.4629301,236.9255283,247.6027409,264.8580259,266.6373508,255.4071251,285.1932646,361.8226591,352.173562
1051,138.0119746,144.1788276,145.7122414,142.9246961,147.1818975,158.5942764,158.2701074,158.8050108,165.6328889,177.6180826,202.8770317,214.3049413,224.4527569,255.6624788,222.3045674,240.627272,270.173703,276.5371281,277.3292429,276.7688458,246.4629301,236.9255283,247.6027409,264.8580259,266.6373508,255.4071251,285.1932646,361.8226591,352.173562
1053,138.0119746,144.1788276,145.7122414,142.9246961,147.1818975,158.5942764,158.2701074,158.8050108,165.6328889,177.6180826,202.8770317,214.3049413,224.4527569,255.6624788,222.3045674,240.627272,270.173703,276.5371281,277.3292429,276.7688458,246.4629301,236.9255283,247.6027409,264.8580259,266.6373508,255.4071251,285.1932646,361.8226591,352.173562
1055,138.0119746,144.1788276,145.7122414,142.9246961,147.1818975,158.5942764,158.2701074,158.8050108,165.6328889,177.6180826,202.8770317,214.3049413,224.4527569,255.6624788,222.3045674,240.627272,270.173703,276.5371281,277.3292429,276.7688458,246.4629301,236.9255283,247.6027409,264.8580259,266.6373508,255.4071251,285.1932646,361.8226591,352.173562
1057,138.0119746,144.1788276,145.7122414,142.9246961,147.1818975,158.5942764,158.2701074,158.8050108,165.6328889,177.6180826,202.8770317,214.3049413,224.4527569,255.6624788,222.3045674,240.627272,270.173703,276.5371281,277.3292429,276.7688458,246.4629301,236.9255283,247.6027409,264.8580259,266.6373508,255.4071251,285.1932646,361.8226591,352.173562
1059,138.0119746,144.1788276,145.7122414,142.9246961,147.1818975,158.5942764,158.2701074,158.8050108,165.6328889,177.6180826,202.8770317,214.3049413,224.4527569,255.6624788,222.3045674,240.627272,270.173703,276.5371281,277.3292429,276.7688458,246.4629301,236.9255283,247.6027409,264.8580259,266.6373508,255.4071251,285.1932646,361.8226591,352.173562
1061,138.0119746,144.1788276,145.7122414,142.9246961,147.1818975,158.5942764,158.2701074,158.8050108,165.6328889,177.6180826,202.8770317,214.3049413,224.4527569,255.6624788,222.3045674,240.627272,270.173703,276.5371281,277.3292429,276.7688458,246.4629301,236.9255283,247.6027409,264.8580259,266.6373508,255.4071251,285.1932646,361.8226591,352.173562
1063,138.0119746,144.1788276,145.7122414,142.9246961,147.1818975,158.5942764,158.2701074,158.8050108,165.6328889,177.6180826,202.8770317,214.3049413,224.4527569,255.6624788,222.3045674,240.627272,270.173703,276.5371281,277.3292429,276.7688458,246.4629301,236.9255283,247.6027409,264.8580259,266.6373508,255.4071251,285.1932646,361.8226591,352.173562
1065,138.0119746,144.1788276,145.7122414,142.9246961,147.1818975,158.5942764,158.2701074,158.8050108,165.6328889,177.6180826,202.8770317,214.3049413,224.4527569,255.6624788,222.3045674,240.627272,270.173703,276.5371281,277.3292429,276.7688458,246.4629301,236.9255283,247.6027409,264.8580259,266.6373508,255.4071251,285.1932646,361.8226591,352.173562
1067,138.0119746,144.1788276,145.7122414,142.9246961,147.1818975,158.5942764,158.2701074,158.8050108,165.6328889,177.6180826,202.8770317,214.3049413,224.4527569,255.6624788,222.3045674,240.627272,270.173703,276.5371281,277.3292429,276.7688458,246.4629301,236.9255283,247.6027409,264.8580259,266.6373508,255.4071251,285.1932646,361.8226591,352.173562
1069,138.0119746,144.1788276,145.7122414,142.9246961,147.1818975,158.5942764,158.2701074,158.8050108,165.6328889,177.6180826,202.8770317,214.3049413,224.4527569,255.6624788,222.3045674,240.627272,270.173703,276.5371281,277.3292429,276.7688458,246.4629301,236.9255283,247.6027409,264.8580259,266.6373508,255.4071251,285.1932646,361.8226591,352.173562
1071,138.0119746,144.1788276,145.7122414,142.9246961,147.1818975,158.5942764,158.2701074,158.8050108,165.6328889,177.6180826,202.8770317,214.3049413,224.4527569,255.6624788,222.3045674,240.627272,270.173703,276.5371281,277.3292429,276.7688458,246.4629301,236.9255283,247.6027409,264.8580259,266.6373508,255.4071251,285.1932646,361.8226591,352.173562
1073,138.0119746,144.1788276,145.7122414,142.9246961,147.1818975,158.5942764,158.2701074,158.8050108,165.6328889,177.6180826,202.8770317,214.3049413,224.4527569,255.6624788,222.3045674,240.627272,270.173703,276.5371281,277.3292429,276.7688458,246.4629301,236.9255283,247.6027409,264.8580259,266.6373508,255.4071251,285.1932646,361.8226591,352.173562
1075,138.0119746,144.1788276,145.7122414,142.9246961,147.1818975,158.5942764,158.2701074,158.8050108,165.6328889,177.6180826,202.8770317,214.3049413,224.4527569,255.6624788,222.3045674,240.627272,270.173703,276.5371281,277.3292429,276.7688458,246.4629301,236.9255283,247.6027409,264.8580259,266.6373508,255.4071251,285.1932646,361.8226591,352.173562
