fips,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01,2.48367,2.62317,2.614,2.70375,2.84275,2.78067,2.88425,2.75725,2.76108,3.15592,3.18683,3.08133,3.50325,3.79533,3.109,3.2585,3.57158,3.4925,3.46192,3.69367,3.41875,3.20425,3.2255,2.89583,3.03567,3.31842,3.5445,4.091,4.02742,3.98392
01001,2.48367,2.62317,2.614,2.70375,2.84275,2.78067,2.88425,2.75725,2.76108,3.15592,3.18683,3.08133,3.50325,3.79533,3.109,3.2585,3.57158,3.4925,3.46192,3.69367,3.41875,3.20425,3.2255,2.89583,3.03567,3.31842,3.5445,4.091,4.02742,3.98392
01003,2.48367,2.62317,2.614,2.70375,2.84275,2.78067,2.88425,2.75725,2.76108,3.15592,3.18683,3.08133,3.50325,3.79533,3.109,3.2585,3.57158,3.4925,3.46192,3.69367,3.41875,3.20425,3.2255,2.89583,3.03567,3.31842,3.5445,4.091,4.02742,3.98392
01005,2.48367,2.62317,2.614,2.70375,2.84275,2.78067,2.88425,2.75725,2.76108,3.15592,3.18683,3.08133,3.50325,3.79533,3.109,3.2585,3.57158,3.4925,3.46192,3.69367,3.41875,3.20425,3.2255,2.89583,3.03567,3.31842,3.5445,4.091,4.02742,3.98392
01007,2.48367,2.62317,2.614,2.70375,2.84275,2.78067,2.88425,2.75725,2.76108,3.15592,3.18683,3.08133,3.50325,3.79533,3.109,3.2585,3.57158,3.4925,3.46192,3.69367,3.41875,3.20425,3.2255,2.89583,3.03567,3.31842,3.5445,4.091,4.02742,3.98392
01009,2.48367,2.62317,2.614,2.70375,2.84275,2.78067,2.88425,2.75725,2.76108,3.15592,3.18683,3.08133,3.50325,3.79533,3.109,3.2585,3.57158,3.4925,3.46192,3.69367,3.41875,3.20425,3.2255,2.89583,3.03567,3.31842,3.5445,4.091,4.02742,3.98392
01011,2.48367,2.62317,2.614,2.70375,2.84275,2.78067,2.88425,2.75725,2.76108,3.15592,3.18683,3.08133,3.50325,3.79533,3.109,3.2585,3.57158,3.4925,3.46192,3.69367,3.41875,3.20425,3.2255,2.89583,3.03567,3.31842,3.5445,4.091,4.02742,3.98392
01013,2.48367,2.62317,2.614,2.70375,2.84275,2.78067,2.88425,2.75725,2.76108,3.15592,3.18683,3.08133,3.50325,3.79533,3.109,3.2585,3.57158,3.4925,3.46192,3.69367,3.41875,3.20425,3.2255,2.89583,3.03567,3.31842,3.5445,4.091,4.02742,3.98392
01015,2.48367,2.62317,2.614,2.70375,2.84275,2.78067,2.88425,2.75725,2.76108,3.15592,3.18683,3.08133,3.50325,3.79533,3.109,3.2585,3.57158,3.4925,3.46192,3.69367,3.41875,3.20425,3.2255,2.89583,3.03567,3.31842,3.5445,4.091,4.02742,3.98392
01017,2.48367,2.62317,2.614,2.70375,2.84275,2.78067,2.88425,2.75725,2.76108,3.15592,3.18683,3.08133,3.50325,3.79533,3.109,3.2585,3.57158,3.4925,3.46192,3.69367,3.41875,3.20425,3.2255,2.89583,3.03567,3.31842,3.5445,4.091,4.02742,3.98392
01019,2.48367,2.62317,2.614,2.70375,2.84275,2.78067,2.88425,2.75725,2.76108,3.15592,3.18683,3.08133,3.50325,3.79533,3.109,3.2585,3.57158,3.4925,3.46192,3.69367,3.41875,3.20425,3.2255,2.89583,3.03567,3.31842,3.5445,4.091,4.02742,3.98392
01021,2.48367,2.62317,2.614,2.70375,2.84275,2.78067,2.88425,2.75725,2.76108,3.15592,3.18683,3.08133,3.50325,3.79533,3.109,3.2585,3.57158,3.4925,3.46192,3.69367,3.41875,3.20425,3.2255,2.89583,3.03567,3.31842,3.5445,4.091,4.02742,3.98392
01023,2.48367,2.62317,2.614,2.70375,2.84275,2.78067,2.88425,2.75725,2.76108,3.15592,3.18683,3.08133,3.50325,3.79533,3.109,3.2585,3.57158,3.4925,3.46192,3.69367,3.41875,3.20425,3.2255,2.89583,3.03567,3.31842,3.5445,4.091,4.02742,3.98392
01025,2.48367,2.62317,2.614,2.70375,2.84275,2.78067,2.88425,2.75725,2.76108,3.15592,3.18683,3.08133,3.50325,3.79533,3.109,3.2585,3.57158,3.4925,3.46192,3.69367,3.41875,3.20425,3.2255,2.89583,3.03567,3.31842,3.5445,4.091,4.02742,3.98392
01027,2.48367,2.62317,2.614,2.70375,2.84275,2.78067,2.88425,2.75725,2.76108,3.15592,3.18683,3.08133,3.50325,3.79533,3.109,3.2585,3.57158,3.4925,3.46192,3.69367,3.41875,3.20425,3.2255,2.89583,3.03567,3.31842,3.5445,4.091,4.02742,3.98392
01029,2.48367,2.62317,2.614,2.70375,2.84275,2.78067,2.88425,2.75725,2.76108,3.15592,3.18683,3.08133,3.50325,3.79533,3.109,3.2585,3.57158,3.4925,3.46192,3.69367,3.41875,3.20425,3.2255,2.89583,3.03567,3.31842,3.5445,4.091,4.02742,3.98392
