fips,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
01,37.75,38.25,38.4,40.3,40.2,40.75,41.3,42.1,43.15,44.15,46.15,48.4,50.55,54.85,97.7,110.5,95.15,101.55,105.75,117.25,130.75,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01001,37.75,38.25,38.4,40.3,40.2,40.75,41.3,42.1,43.15,44.15,46.15,48.4,50.55,54.85,97.7,110.5,95.15,101.55,105.75,117.25,130.75,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01003,37.75,38.25,38.4,40.3,40.2,40.75,41.3,42.1,43.15,44.15,46.15,48.4,50.55,54.85,97.7,110.5,95.15,101.55,105.75,117.25,130.75,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01005,37.75,38.25,38.4,40.3,40.2,40.75,41.3,42.1,43.15,44.15,46.15,48.4,50.55,54.85,97.7,110.5,95.15,101.55,105.75,117.25,130.75,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01007,37.75,38.25,38.4,40.3,40.2,40.75,41.3,42.1,43.15,44.15,46.15,48.4,50.55,54.85,97.7,110.5,95.15,101.55,105.75,117.25,130.75,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01009,37.75,38.25,38.4,40.3,40.2,40.75,41.3,42.1,43.15,44.15,46.15,48.4,50.55,54.85,97.7,110.5,95.15,101.55,105.75,117.25,130.75,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01011,37.75,38.25,38.4,40.3,40.2,40.75,41.3,42.1,43.15,44.15,46.15,48.4,50.55,54.85,97.7,110.5,95.15,101.55,105.75,117.25,130.75,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01013,37.75,38.25,38.4,40.3,40.2,40.75,41.3,42.1,43.15,44.15,46.15,48.4,50.55,54.85,97.7,110.5,95.15,101.55,105.75,117.25,130.75,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01015,37.75,38.25,38.4,40.3,40.2,40.75,41.3,42.1,43.15,44.15,46.15,48.4,50.55,54.85,97.7,110.5,95.15,101.55,105.75,117.25,130.75,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01017,37.75,38.25,38.4,40.3,40.2,40.75,41.3,42.1,43.15,44.15,46.15,48.4,50.55,54.85,97.7,110.5,95.15,101.55,105.75,117.25,130.75,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01019,37.75,38.25,38.4,40.3,40.2,40.75,41.3,42.1,43.15,44.15,46.15,48.4,50.55,54.85,97.7,110.5,95.15,101.55,105.75,117.25,130.75,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01021,37.75,38.25,38.4,40.3,40.2,40.75,41.3,42.1,43.15,44.15,46.15,48.4,50.55,54.85,97.7,110.5,95.15,101.55,105.75,117.25,130.75,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01023,37.75,38.25,38.4,40.3,40.2,40.75,41.3,42.1,43.15,44.15,46.15,48.4,50.55,54.85,97.7,110.5,95.15,101.55,105.75,117.25,130.75,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01025,37.75,38.25,38.4,40.3,40.2,40.75,41.3,42.1,43.15,44.15,46.15,48.4,50.55,54.85,97.7,110.5,95.15,101.55,105.75,117.25,130.75,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
